document,artifact_type,label,manuscript_asset,experiment_family_or_source
main,figure,fig:pose_reuse_workflow,schematic_pose_reuse_framework.pdf,00_figure_table_rendering
main,figure,fig:mars_pose_training,source_assets/pose_model_training_curves.png,01_mars_yolo_sppf
main,figure,fig:stream_decomposition,source_assets/input_stream_decomposition_mouse061.png,01_mars_yolo_sppf
main,figure,fig:stream_ablation_design,schematic_stream_ablation_design.pdf,01_mars_yolo_sppf
main,figure,fig:fly_pose_training,source_assets/fly_pose_model_training_curves.png,06_fly_v_fly
main,figure,fig:yolo_pose_quality,fig2_yolo_pose_quality.pdf,01_mars_yolo_sppf
main,figure,fig:yolo_training_stability,fig3_yolo_neural_training_stability.pdf,01_mars_yolo_sppf
main,figure,fig:yolo_head_capacity,fig6_yolo_temporal_head_capacity_full_stream.pdf,01_mars_yolo_sppf
main,figure,fig:yolo_stream_ablation,fig4_yolo_stream_ablation_headline.pdf,01_mars_yolo_sppf
main,figure,fig:yolo_paired_effects,fig7_yolo_per_video_paired_effects.pdf,01_mars_yolo_sppf
main,figure,fig:yolo_classical_baselines,fig7_yolo_classical_baselines.pdf,01_mars_yolo_sppf;02_classical_baselines
main,figure,fig:mobilenet_cross_backbone,fig_mobilenet_portability.pdf,03_mobilenetv3_backbone
main,figure,fig:mobilenet_ethogram_bout,fig_mobilenet_ethogram_bout_detail.pdf,03_mobilenetv3_backbone
main,figure,fig:dlc_heldout_summary,dlc_heldout_summary_multiplot.pdf,04_dlc_hrnet_topdown
main,figure,fig:descriptor_provenance,fig_descriptor_provenance_multiplot.pdf,05_descriptor_provenance
main,figure,fig:yolo_bout_examples,fig5_yolo_ethogram_bout_examples.pdf,01_mars_yolo_sppf
main,figure,fig:yolo_ethogram_transition,fig8_yolo_full_video_ethogram_lstm_attention.pdf,01_mars_yolo_sppf
main,figure,fig:yolo_undersegmentation,fig9_yolo_bout_undersegmentation_merge_audit.pdf,01_mars_yolo_sppf
main,figure,fig:yolo_sequence_structure,fig10_yolo_ethogram_sequence_structure.pdf,01_mars_yolo_sppf
main,figure,fig:yolo_operating_envelope,fig11_yolo_operating_envelope.pdf,01_mars_yolo_sppf
main,figure,fig:fly_pose_profile,fig_fly_v_fly_pose_profile.pdf,06_fly_v_fly
main,figure,fig:fly_short_bout,fig_fly_v_fly_short_bout_adaptation.pdf,06_fly_v_fly
main,table,tab:final_experiment_matrix,manuscript table,all_reported_experiments
main,table,tab:model_parameter_counts,manuscript table,00_manuscript_tables/model_parameters
main,table,tab:mars_fixed_settings,manuscript table,01_mars_yolo_sppf;03_mobilenetv3_backbone
main,table,tab:fly_gt_bout_distribution,manuscript table,00_manuscript_tables/fly_v_fly
main,table,tab:route_portability,manuscript table,01_mars_yolo_sppf;03_mobilenetv3_backbone;04_dlc_hrnet_topdown;06_fly_v_fly
main,table,tab:failure_mode_taxonomy,manuscript table,all_reported_experiments
main,table,tab:feature_tap_rubric,manuscript table,all_descriptor_routes
supplement,figure,supp_yolo_full_ablation_matrix,supplemental figure,01_mars_yolo_sppf
supplement,figure,supp_mars_model_type_ethograms,supplemental figure,01_mars_yolo_sppf;03_mobilenetv3_backbone
supplement,figure,supp_yolo_training_throughput,supplemental figure,01_mars_yolo_sppf
supplement,figure,supp_yolo_bout_fragmentation_audit,supplemental figure,01_mars_yolo_sppf
supplement,figure,supp_yolo_bout_fragmentation_audit_all_capacities,supplemental figure,01_mars_yolo_sppf
supplement,figure,supp_yolo_bout_sequence_ngram_audit,supplemental figure,01_mars_yolo_sppf
supplement,figure,supp_dlc_heldout_metrics,supplemental figure,04_dlc_hrnet_topdown
supplement,figure,supp_dlc_confusion,supplemental figure,04_dlc_hrnet_topdown
supplement,figure,fig:supp_end_to_end_benchmark_throughput,supp_end_to_end_benchmark_throughput.pdf,07_deployment_and_gui
supplement,figure,fig:supp_end_to_end_benchmark_stage_timing,supp_end_to_end_benchmark_stage_timing.pdf,07_deployment_and_gui
supplement,figure,gui_screenshots,supplemental GUI screenshots,07_deployment_and_gui
supplement,table,tab:supp_model_parameter_family_summary,supplemental table,00_manuscript_tables/model_parameters
supplement,table,supplemental_mars_gt_bout_duration_tables,supplemental tables,00_manuscript_tables/supplement
supplement,table,supplemental_descriptor_route_component_tables,supplemental tables,00_manuscript_tables/descriptor_provenance
supplement,table,supplemental_fly_primary_eval_and_annotation_modes,supplemental tables,00_manuscript_tables/fly_v_fly
supplement,table,tab:supp_end_to_end_benchmark_summary,supplemental table,07_deployment_and_gui
