frame_index_in_window,total_feature_variance,mean_feature_variance
18,189.91026,0.13188213
8,189.33191,0.13148049
14,189.07983,0.13130544
15,188.90634,0.13118497
12,188.8724,0.13116139
9,188.83119,0.13113277
0,188.55891,0.13094369
17,188.49875,0.1309019
7,188.32237,0.13077943
16,188.23889,0.13072145
1,188.08731,0.13061619
10,187.96912,0.13053411
13,187.9024,0.13048778
31,187.27455,0.13005178
5,187.25443,0.1300378
11,187.12595,0.12994857
19,186.85506,0.12976046
29,186.77286,0.12970337
30,186.56918,0.12956193
20,186.3406,0.1294032
3,186.12584,0.12925406
23,186.06892,0.12921453
2,185.8913,0.12909117
28,185.86382,0.1290721
6,185.6739,0.12894021
4,184.89052,0.1283962
24,184.82596,0.12835136
26,184.64459,0.12822542
27,184.5786,0.12817958
21,183.29355,0.12728718
22,182.8331,0.12696743
25,182.67789,0.12685965
