pc1,pc2,label,video_id,sample_id
7.0486965,4.046751,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000144
9.908431,-6.2259235,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000160
2.1879814,-12.762685,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000176
-13.116256,3.1675425,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000384
-13.160552,-0.4367733,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000400
-0.9128341,-15.528432,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000560
-24.001474,-7.3010674,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000624
-27.357313,-8.365173,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000640
-3.756205,5.635477,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000784
11.308116,-6.365883,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f001008
7.4953747,-3.9710846,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f001040
-18.880869,9.22566,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f001360
8.007847,7.444677,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f001648
6.729256,9.298524,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f001856
6.880075,-3.3730493,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f002176
15.319544,33.59402,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f002336
14.197056,34.250237,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f002352
20.773787,-13.555887,other,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f002704
-0.43198723,26.742832,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f002896
-3.093467,27.21171,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f002912
-0.55819553,31.145397,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f003008
-22.128853,12.278525,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f003424
11.628434,25.161993,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f003584
22.219017,-1.5041832,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f003648
17.294123,-16.635046,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f003680
-17.890097,12.726337,other,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f004064
12.325991,10.925825,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f004352
12.053326,7.466349,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f004416
8.145506,-0.30289245,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f004480
-11.04,-0.053437646,other,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f004528
-4.992826,-14.042223,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f004992
-7.231815,-13.092395,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f005024
12.935446,7.067382,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f005056
-14.868555,-10.827547,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f005104
-18.77214,-1.7176145,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f005152
17.072533,-17.252518,other,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f005536
-14.362514,1.6967076,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f005904
-11.535707,15.239369,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f006096
-12.610318,2.6909337,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f006176
-15.941674,6.3989477,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f006992
-5.498374,0.79133403,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f007024
-4.258755,-6.865879,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f007216
-6.3200197,-14.792826,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f007280
