sample_id,video_id,start_frame,label,top16_pc_leverage
Mouse627_20181026_17-29-36_16209-22286_f003984,Mouse627_20181026_17-29-36_16209-22286,3984,investigation,4720.2036
Mouse630_20181025_18-44-29_01807-21458_f012336,Mouse630_20181025_18-44-29_01807-21458,12336,mount,3703.8064
Mouse162_20161017_19-58-28_f012608,Mouse162_20161017_19-58-28,12608,investigation,3679.6455
Mouse835-female_20200325_18-28-49_10767-24391_f011952,Mouse835-female_20200325_18-28-49_10767-24391,11952,mount,3654.3833
Mouse630_20181025_18-44-29_01807-21458_f012352,Mouse630_20181025_18-44-29_01807-21458,12352,mount,3605.6594
Mouse835-female_20200325_18-28-49_10767-24391_f011408,Mouse835-female_20200325_18-28-49_10767-24391,11408,mount,3537.0493
Mouse630_20181025_18-44-29_21460-30528_f000240,Mouse630_20181025_18-44-29_21460-30528,240,mount,3504.2593
Mouse835-female_20200325_18-28-49_10767-24391_f008288,Mouse835-female_20200325_18-28-49_10767-24391,8288,mount,3459.6829
Mouse627_20181026_17-29-36_10191-15523_f003104,Mouse627_20181026_17-29-36_10191-15523,3104,mount,3443.9314
Mouse162_20161017_19-58-28_f006288,Mouse162_20161017_19-58-28,6288,other,3425.5854
Mouse630_20181025_18-44-29_01807-21458_f007856,Mouse630_20181025_18-44-29_01807-21458,7856,mount,3423.9998
Mouse627_20181026_17-29-36_10191-15523_f003040,Mouse627_20181026_17-29-36_10191-15523,3040,mount,3405.8267
Mouse630_20181025_18-44-29_01807-21458_f007776,Mouse630_20181025_18-44-29_01807-21458,7776,mount,3388.3445
Mouse839-female_20200322_20-15-11_12885-24623_f004320,Mouse839-female_20200322_20-15-11_12885-24623,4320,mount,3387.9036
Mouse630_20181025_18-44-29_01807-21458_f007760,Mouse630_20181025_18-44-29_01807-21458,7760,mount,3377.563
Mouse835-female_20200325_18-28-49_10767-24391_f011280,Mouse835-female_20200325_18-28-49_10767-24391,11280,mount,3376.2463
Mouse630_20181025_18-44-29_01807-21458_f012320,Mouse630_20181025_18-44-29_01807-21458,12320,mount,3376.0344
Mouse835-female_20200325_18-28-49_10767-24391_f011424,Mouse835-female_20200325_18-28-49_10767-24391,11424,mount,3374.331
Mouse630_20181025_18-44-29_01807-21458_f012464,Mouse630_20181025_18-44-29_01807-21458,12464,mount,3373.8618
Mouse839-female_20200322_20-15-11_12885-24623_f004352,Mouse839-female_20200322_20-15-11_12885-24623,4352,mount,3357.5103
Mouse061_20160526_18-38-49_f016896,Mouse061_20160526_18-38-49,16896,mount,3329.5112
Mouse835-female_20200325_18-28-49_10767-24391_f011792,Mouse835-female_20200325_18-28-49_10767-24391,11792,mount,3318.4893
Mouse627_20181026_17-29-36_01994-09560_f004848,Mouse627_20181026_17-29-36_01994-09560,4848,mount,3316.507
Mouse630_20181025_18-44-29_21460-30528_f002032,Mouse630_20181025_18-44-29_21460-30528,2032,mount,3287.9487
Mouse627_20181026_17-29-36_10191-15523_f004512,Mouse627_20181026_17-29-36_10191-15523,4512,mount,3226.7065
Mouse630_20181025_18-44-29_01807-21458_f007936,Mouse630_20181025_18-44-29_01807-21458,7936,mount,3218.1357
Mouse630_20181025_18-44-29_21460-30528_f000064,Mouse630_20181025_18-44-29_21460-30528,64,mount,3212.4644
Mouse630_20181025_18-44-29_01807-21458_f007984,Mouse630_20181025_18-44-29_01807-21458,7984,mount,3209.9998
Mouse835-female_20200325_18-28-49_10767-24391_f011216,Mouse835-female_20200325_18-28-49_10767-24391,11216,mount,3191.3198
Mouse630_20181025_18-44-29_01807-21458_f006304,Mouse630_20181025_18-44-29_01807-21458,6304,mount,3189.366
Mouse630_20181025_18-44-29_21460-30528_f001984,Mouse630_20181025_18-44-29_21460-30528,1984,mount,3168.7092
Mouse077_20160709_18-29-34_f000592,Mouse077_20160709_18-29-34,592,other,3168.5222
Mouse627_20181026_17-29-36_10191-15523_f003648,Mouse627_20181026_17-29-36_10191-15523,3648,mount,3150.0632
Mouse630_20181025_18-44-29_21460-30528_f002416,Mouse630_20181025_18-44-29_21460-30528,2416,mount,3143.3135
Mouse062_20160526_18-56-26_f001872,Mouse062_20160526_18-56-26,1872,investigation,3122.2615
Mouse835-female_20200325_18-28-49_10767-24391_f008304,Mouse835-female_20200325_18-28-49_10767-24391,8304,mount,3118.2693
Mouse630_20181025_18-44-29_01807-21458_f015984,Mouse630_20181025_18-44-29_01807-21458,15984,mount,3099.4302
Mouse630_20181025_18-44-29_21460-30528_f002336,Mouse630_20181025_18-44-29_21460-30528,2336,mount,3081.9272
Mouse630_20181025_18-44-29_01807-21458_f018704,Mouse630_20181025_18-44-29_01807-21458,18704,mount,3070.6597
Mouse630_20181025_18-44-29_01807-21458_f012288,Mouse630_20181025_18-44-29_01807-21458,12288,mount,3070.1006
Mouse630_20181025_18-44-29_01807-21458_f018064,Mouse630_20181025_18-44-29_01807-21458,18064,mount,3040.9287
Mouse630_20181025_18-44-29_01807-21458_f007648,Mouse630_20181025_18-44-29_01807-21458,7648,mount,3031.691
Mouse839-female_20200322_20-15-11_12885-24623_f001168,Mouse839-female_20200322_20-15-11_12885-24623,1168,mount,3024.103
Mouse835-female_20200325_18-28-49_10767-24391_f008160,Mouse835-female_20200325_18-28-49_10767-24391,8160,mount,2987.0203
Mouse630_20181025_18-44-29_21460-30528_f001424,Mouse630_20181025_18-44-29_21460-30528,1424,mount,2985.017
Mouse630_20181025_18-44-29_01807-21458_f004576,Mouse630_20181025_18-44-29_01807-21458,4576,mount,2980.0315
Mouse061_20160526_18-38-49_f015968,Mouse061_20160526_18-38-49,15968,other,2971.5447
Mouse630_20181025_18-44-29_01807-21458_f000656,Mouse630_20181025_18-44-29_01807-21458,656,mount,2958.0322
Mouse162_20161017_19-58-28_f014240,Mouse162_20161017_19-58-28,14240,other,2923.9885
