video_id,n_windows,mean_top16_pc_leverage,total_top16_pc_leverage
Mouse627_20181026_17-29-36_16209-22286,26,1681.7155,43724.6
Mouse630_20181025_18-44-29_21460-30528,60,1479.8197,88789.18
Mouse630_20181025_18-44-29_01807-21458,132,1403.0767,185206.12
Mouse835-female_20200325_18-28-49_10767-24391,77,1369.8873,105481.32
Mouse627_20181026_17-29-36_10191-15523,24,1303.1061,31274.545
Mouse162_20161017_19-58-28,90,1267.7081,114093.73
Mouse836-female_20200322_19-33-17_14594-23870,49,1218.0967,59686.74
Mouse839-female_20200322_20-15-11_12885-24623,57,1216.2015,69323.484
Mouse061_20160526_18-38-49,146,1179.8677,172260.67
Mouse062_20160526_18-56-26,132,1169.2639,154342.84
Mouse627_20181026_17-29-36_01994-09560,40,1134.9656,45398.62
Mouse060_20160526_18-16-27,100,1128.8665,112886.65
Mouse063_20160526_19-14-46,93,1002.81824,93262.09
Mouse155_20151129_22-41-43,26,980.3512,25489.13
Mouse155_20151124_21-11-28,30,960.0077,28800.23
Mouse159_20151129_20-57-31,19,954.8758,18142.64
Mouse069_20160709_16-02-03,115,952.18524,109501.305
Mouse836-female_20200322_19-33-17_00957-13323,63,912.6211,57495.13
Mouse155_20151124_20-56-05,45,900.5171,40523.27
Mouse156_20151012_20-16-37,91,897.7148,81692.05
Mouse159_20151129_20-48-38,51,894.41675,45615.254
Mouse163_20161018_18-22-45,35,891.32996,31196.549
Mouse155_20151124_20-48-31,32,884.5361,28305.154
Mouse077_20160709_18-29-34,155,870.33167,134901.4
Mouse074_20160709_19-15-23,105,854.84784,89759.02
Mouse158_20151129_21-12-54,39,825.6246,32199.357
Mouse070_20160709_16-58-36,143,806.23895,115292.17
Mouse156_20151124_21-53-46,25,721.73627,18043.406
