frame_index_in_window,total_feature_variance,mean_feature_variance
24,14.440016,0.0050138943
22,14.408102,0.0050028134
8,14.402151,0.005000747
25,14.399551,0.0049998444
3,14.374027,0.004990982
31,14.373619,0.00499084
23,14.3685055,0.0049890643
9,14.3650255,0.004987856
0,14.362166,0.004986863
27,14.358333,0.0049855323
7,14.357683,0.004985307
2,14.342772,0.004980129
1,14.340991,0.004979511
28,14.326485,0.0049744737
30,14.315771,0.004970754
5,14.269875,0.0049548177
20,14.258301,0.004950799
29,14.255174,0.004949713
21,14.254859,0.0049496037
4,14.249783,0.004947841
14,14.238952,0.0049440805
26,14.238415,0.004943894
16,14.233137,0.0049420614
6,14.229439,0.0049407776
10,14.219041,0.004937167
12,14.213143,0.0049351193
17,14.207131,0.0049330317
15,14.195536,0.0049290056
18,14.168018,0.0049194507
13,14.152107,0.004913926
19,14.134263,0.00490773
11,14.091164,0.004892765
