pc1,pc2,label,video_id,sample_id
-34.81882,19.330572,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000144
-24.967978,16.58013,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000160
-20.715254,16.878548,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000176
-16.018913,12.888809,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000384
-0.008634443,10.456345,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000400
-13.5220375,14.95613,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000560
20.932533,5.5804977,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000624
16.221312,8.804438,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000640
-21.781954,11.994746,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000784
-34.36945,18.533611,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f001008
-46.90896,22.03412,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f001040
-13.435593,8.692722,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f001360
-33.864944,16.763735,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f001648
-6.6800356,9.182888,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f001856
-3.6919458,8.879832,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f002176
-11.646171,8.803889,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f002336
-13.985813,9.703638,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f002352
-14.500385,13.334237,other,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f002704
34.224922,-2.4244199,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f002896
36.369446,-2.681176,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f002912
41.933323,-5.509842,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f003008
28.534775,-2.154222,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f003424
20.909767,3.6922355,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f003584
31.958082,0.41501576,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f003648
42.014362,2.3887937,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f003680
