channel_index,fisher_ratio,z_variance
2744,149.92940202192102,1.0
1784,145.45793456373366,1.0
1842,143.93088127844604,1.0
2802,131.11964512633014,1.0
2438,114.1019802469176,1.0000001192092896
1337,112.3059153004581,1.0
1731,111.41752557852097,1.0000001192092896
2691,111.31302101029196,1.0
1187,110.97804666340764,0.9999999403953552
2871,107.38291415412417,1.0
1160,105.08877515173268,0.9999999403953552
2120,104.81644773721725,1.0
1643,103.46675778600728,1.0
2548,101.374509717559,1.0
2147,100.987082111317,0.9999998807907104
1922,100.77834867403271,1.0
962,100.72087131772729,1.0
1330,100.65135047207347,1.0
146,100.45077963505354,1.0
2238,100.2475035172666,1.0
749,99.8491761806502,1.0
2606,99.58593077655816,0.9999999403953552
2097,99.25641348273754,1.0
1478,99.02868194953388,1.0
318,98.97198268288892,1.0
2297,97.42228629097269,1.0
2029,95.71055982880462,1.0
1848,94.812114868875,1.0
1137,93.85908732421163,1.0
1276,92.91287846631484,1.0
