sample_id,video_id,start_frame,label,top16_pc_leverage
Mouse627_20181026_17-29-36_01994-09560_f007392,Mouse627_20181026_17-29-36_01994-09560,7392,mount,17324.756
Mouse836-female_20200322_19-33-17_00957-13323_f007776,Mouse836-female_20200322_19-33-17_00957-13323,7776,other,15904.315
Mouse627_20181026_17-29-36_01994-09560_f007408,Mouse627_20181026_17-29-36_01994-09560,7408,mount,15507.152
Mouse063_20160526_19-14-46_f013072,Mouse063_20160526_19-14-46,13072,mount,15435.969
Mouse060_20160526_18-16-27_f009136,Mouse060_20160526_18-16-27,9136,mount,14629.034
Mouse060_20160526_18-16-27_f005024,Mouse060_20160526_18-16-27,5024,mount,14144.6045
Mouse070_20160709_16-58-36_f020144,Mouse070_20160709_16-58-36,20144,other,14045.568
Mouse074_20160709_19-15-23_f017184,Mouse074_20160709_19-15-23,17184,other,13028.402
Mouse162_20161017_19-58-28_f001712,Mouse162_20161017_19-58-28,1712,attack,12674.52
Mouse162_20161017_19-58-28_f015520,Mouse162_20161017_19-58-28,15520,other,12393.643
Mouse627_20181026_17-29-36_01994-09560_f005584,Mouse627_20181026_17-29-36_01994-09560,5584,mount,12341.437
Mouse835-female_20200325_18-28-49_10767-24391_f003424,Mouse835-female_20200325_18-28-49_10767-24391,3424,investigation,11766.854
Mouse074_20160709_19-15-23_f015376,Mouse074_20160709_19-15-23,15376,other,11418.439
Mouse077_20160709_18-29-34_f001920,Mouse077_20160709_18-29-34,1920,investigation,11344.801
Mouse060_20160526_18-16-27_f009168,Mouse060_20160526_18-16-27,9168,mount,11154.388
Mouse162_20161017_19-58-28_f013552,Mouse162_20161017_19-58-28,13552,investigation,10988.023
Mouse156_20151012_20-16-37_f004288,Mouse156_20151012_20-16-37,4288,investigation,10642.947
Mouse062_20160526_18-56-26_f014304,Mouse062_20160526_18-56-26,14304,mount,10285.665
Mouse077_20160709_18-29-34_f004304,Mouse077_20160709_18-29-34,4304,other,10283.249
Mouse070_20160709_16-58-36_f000048,Mouse070_20160709_16-58-36,48,attack,10046.964
Mouse069_20160709_16-02-03_f014176,Mouse069_20160709_16-02-03,14176,other,9827.719
Mouse627_20181026_17-29-36_01994-09560_f007456,Mouse627_20181026_17-29-36_01994-09560,7456,mount,9397.916
Mouse162_20161017_19-58-28_f016864,Mouse162_20161017_19-58-28,16864,investigation,9321.383
Mouse156_20151012_20-16-37_f003120,Mouse156_20151012_20-16-37,3120,attack,9286.06
Mouse839-female_20200322_20-15-11_12885-24623_f002016,Mouse839-female_20200322_20-15-11_12885-24623,2016,mount,8855.644
Mouse627_20181026_17-29-36_01994-09560_f004864,Mouse627_20181026_17-29-36_01994-09560,4864,mount,8696.57
Mouse060_20160526_18-16-27_f009184,Mouse060_20160526_18-16-27,9184,mount,8659.086
Mouse062_20160526_18-56-26_f015056,Mouse062_20160526_18-56-26,15056,mount,8535.421
Mouse156_20151012_20-16-37_f004240,Mouse156_20151012_20-16-37,4240,attack,8230.428
Mouse063_20160526_19-14-46_f012816,Mouse063_20160526_19-14-46,12816,mount,8161.2036
Mouse060_20160526_18-16-27_f024176,Mouse060_20160526_18-16-27,24176,investigation,8030.669
Mouse162_20161017_19-58-28_f005744,Mouse162_20161017_19-58-28,5744,investigation,8006.128
Mouse835-female_20200325_18-28-49_10767-24391_f003440,Mouse835-female_20200325_18-28-49_10767-24391,3440,investigation,7666.1084
