video_id,n_windows,mean_top16_pc_leverage,total_top16_pc_leverage
Mouse627_20181026_17-29-36_01994-09560,40,3728.8242,149152.97
Mouse162_20161017_19-58-28,90,3564.4563,320801.06
Mouse163_20161018_18-22-45,35,2743.7278,96030.48
Mouse062_20160526_18-56-26,132,2709.337,357632.47
Mouse156_20151012_20-16-37,91,2514.4375,228813.81
Mouse839-female_20200322_20-15-11_12885-24623,57,2512.5603,143215.94
Mouse060_20160526_18-16-27,100,2499.703,249970.3
Mouse836-female_20200322_19-33-17_00957-13323,63,2446.7788,154147.06
Mouse835-female_20200325_18-28-49_10767-24391,77,2322.0361,178796.78
Mouse836-female_20200322_19-33-17_14594-23870,49,2318.5227,113607.62
Mouse627_20181026_17-29-36_10191-15523,24,1973.8545,47372.508
Mouse070_20160709_16-58-36,143,1902.273,272025.03
Mouse077_20160709_18-29-34,155,1857.6127,287929.97
Mouse061_20160526_18-38-49,146,1857.5159,271197.3
Mouse074_20160709_19-15-23,105,1821.9076,191300.3
Mouse627_20181026_17-29-36_16209-22286,26,1802.9204,46875.93
Mouse063_20160526_19-14-46,93,1802.4285,167625.84
Mouse069_20160709_16-02-03,115,1593.1571,183213.06
Mouse630_20181025_18-44-29_01807-21458,132,1583.6226,209038.17
Mouse630_20181025_18-44-29_21460-30528,60,1537.8685,92272.11
Mouse156_20151124_21-53-46,25,1325.2351,33130.88
Mouse158_20151129_21-12-54,39,1248.6251,48696.38
Mouse155_20151124_21-11-28,30,1214.7975,36443.926
Mouse155_20151129_22-41-43,26,1148.7501,29867.504
Mouse159_20151129_20-57-31,19,1145.1641,21758.117
Mouse155_20151124_20-56-05,45,1073.8624,48323.81
Mouse155_20151124_20-48-31,32,1037.5569,33201.82
Mouse159_20151129_20-48-38,51,1016.8384,51858.758
