video_id,n_windows,n_classes,visual_fisher_ratio,route
Mouse060_20160526_18-16-27,72,3,5.42131395212339,YOLO-SPPF
Mouse061_20160526_18-38-49,84,3,5.908928353852942,YOLO-SPPF
Mouse062_20160526_18-56-26,80,3,14.075505299988631,YOLO-SPPF
Mouse063_20160526_19-14-46,52,3,5.493081255677132,YOLO-SPPF
Mouse069_20160709_16-02-03,56,3,3.7251870077544647,YOLO-SPPF
Mouse070_20160709_16-58-36,97,3,3.3914541771359166,YOLO-SPPF
Mouse074_20160709_19-15-23,66,3,3.3614964978719324,YOLO-SPPF
Mouse077_20160709_18-29-34,91,3,3.692949241860127,YOLO-SPPF
Mouse155_20151124_20-48-31,18,3,2.3460308778908945,YOLO-SPPF
Mouse155_20151124_20-56-05,38,3,3.9551984082914693,YOLO-SPPF
Mouse155_20151124_21-11-28,22,3,2.421567687398588,YOLO-SPPF
Mouse155_20151129_22-41-43,15,3,1.4409199756833766,YOLO-SPPF
Mouse156_20151012_20-16-37,46,4,3.34216950361553,YOLO-SPPF
Mouse156_20151124_21-53-46,12,3,2.9192952160748,YOLO-SPPF
Mouse158_20151129_21-12-54,17,3,1.9900724513721917,YOLO-SPPF
Mouse159_20151129_20-48-38,21,3,2.443965053538618,YOLO-SPPF
Mouse162_20161017_19-58-28,54,3,1.659532782292674,YOLO-SPPF
Mouse163_20161018_18-22-45,19,3,1.1482254523735314,YOLO-SPPF
Mouse627_20181026_17-29-36_01994-09560,22,3,4.721695967595435,YOLO-SPPF
Mouse627_20181026_17-29-36_16209-22286,26,3,2.0680663683687293,YOLO-SPPF
Mouse630_20181025_18-44-29_01807-21458,73,3,3.509498511659392,YOLO-SPPF
Mouse630_20181025_18-44-29_21460-30528,39,3,2.9463537736006105,YOLO-SPPF
Mouse835-female_20200325_18-28-49_10767-24391,44,3,5.776979514991746,YOLO-SPPF
Mouse836-female_20200322_19-33-17_00957-13323,44,3,2.0348008874112273,YOLO-SPPF
Mouse836-female_20200322_19-33-17_14594-23870,42,3,4.012616496157425,YOLO-SPPF
Mouse839-female_20200322_20-15-11_12885-24623,32,3,3.2784117357389,YOLO-SPPF
Mouse060_20160526_18-16-27,72,3,4.26307712181364,MobileNetV3
Mouse061_20160526_18-38-49,84,3,3.4043494192654262,MobileNetV3
Mouse062_20160526_18-56-26,80,3,10.665765324055014,MobileNetV3
Mouse063_20160526_19-14-46,52,3,5.228740712307404,MobileNetV3
Mouse069_20160709_16-02-03,56,3,3.851049441663192,MobileNetV3
Mouse070_20160709_16-58-36,97,3,2.41093141997685,MobileNetV3
Mouse074_20160709_19-15-23,66,3,2.0893052920378175,MobileNetV3
Mouse077_20160709_18-29-34,91,3,2.3645265948161502,MobileNetV3
Mouse155_20151124_20-48-31,18,3,2.838286946275034,MobileNetV3
Mouse155_20151124_20-56-05,38,3,2.3851092452262765,MobileNetV3
Mouse155_20151124_21-11-28,22,3,1.4267273165603382,MobileNetV3
Mouse155_20151129_22-41-43,15,3,0.8622041699451568,MobileNetV3
Mouse156_20151012_20-16-37,46,4,4.8974570372959745,MobileNetV3
Mouse156_20151124_21-53-46,12,3,2.0606309210239098,MobileNetV3
Mouse158_20151129_21-12-54,17,3,1.4343087704971218,MobileNetV3
Mouse159_20151129_20-48-38,21,3,1.8849539531385209,MobileNetV3
Mouse162_20161017_19-58-28,54,3,0.9751840708904542,MobileNetV3
Mouse163_20161018_18-22-45,19,3,1.054255251490391,MobileNetV3
Mouse627_20181026_17-29-36_01994-09560,22,3,6.921803980644251,MobileNetV3
Mouse627_20181026_17-29-36_16209-22286,26,3,1.046304243538139,MobileNetV3
Mouse630_20181025_18-44-29_01807-21458,73,3,2.182382414562324,MobileNetV3
Mouse630_20181025_18-44-29_21460-30528,39,3,1.7250387119005404,MobileNetV3
Mouse835-female_20200325_18-28-49_10767-24391,44,3,3.3272108422370406,MobileNetV3
Mouse836-female_20200322_19-33-17_00957-13323,44,3,1.4232082445663459,MobileNetV3
Mouse836-female_20200322_19-33-17_14594-23870,42,3,2.534520318731027,MobileNetV3
Mouse839-female_20200322_20-15-11_12885-24623,32,3,3.5977308757801154,MobileNetV3
