split,video_id,seed,head,delta_frame_macro_f1_present_behaviors,delta_bout_macro_f1_iou25_present_behaviors,delta_bout_macro_f1_iou50_present_behaviors,bout_count_error_reduction,MobileNetV3,YOLO-SPPF,mobilenet_minus_yolo_visual_fisher
test_1,Mouse060_20160526_18-16-27,42,attention,-0.0825071231558849,-0.126482623201245,-0.1931985160040943,-11,4.26307712181364,5.42131395212339,-1.1582368303097503
test_1,Mouse061_20160526_18-38-49,42,attention,-0.1332991588092027,-0.3402605244996549,-0.3274844720496894,-18,3.4043494192654262,5.908928353852942,-2.504578934587516
test_1,Mouse062_20160526_18-56-26,42,attention,-0.0120339427956759,-0.0506153846153846,-0.0489487179487178,7,10.665765324055014,14.075505299988631,-3.4097399759336167
test_1,Mouse063_20160526_19-14-46,42,attention,-0.3132294068014043,-0.2568778383457245,-0.2125733766411314,-13,5.228740712307404,5.493081255677132,-0.2643405433697277
test_1,Mouse069_20160709_16-02-03,42,attention,-0.0420453005042115,-0.0299403965066615,-0.0464301651048639,-8,3.851049441663192,3.7251870077544647,0.1258624339087273
test_1,Mouse070_20160709_16-58-36,42,attention,-0.0213836635826992,-0.015113225929094,-0.0467254974178626,26,2.41093141997685,3.3914541771359166,-0.9805227571590667
test_1,Mouse074_20160709_19-15-23,42,attention,-0.0026491484215688,0.0395888388522127,0.0269689600007644,16,2.0893052920378175,3.3614964978719324,-1.272191205834115
test_1,Mouse077_20160709_18-29-34,42,attention,0.057787402432576,0.0876795148575915,0.0390429008052524,33,2.3645265948161502,3.692949241860127,-1.3284226470439768
test_1,Mouse162_20161017_19-58-28,42,attention,-0.0063781278090677,-0.0536442687747035,-0.0251185770750987,-7,0.9751840708904542,1.659532782292674,-0.6843487114022198
test_1,Mouse163_20161018_18-22-45,42,attention,-0.4510401785404831,-0.618499012508229,-0.4743252139565504,-27,1.054255251490391,1.1482254523735314,-0.09397020088314045
test_2,Mouse155_20151124_20-48-31,42,attention,-0.0269187802852984,-0.0166177908113392,-0.0185728250244379,-2,2.838286946275034,2.3460308778908945,0.4922560683841395
test_2,Mouse155_20151124_20-56-05,42,attention,0.0209938943025516,0.0635098235098233,0.1368231768231768,5,2.3851092452262765,3.9551984082914693,-1.5700891630651927
test_2,Mouse155_20151124_21-11-28,42,attention,-0.0744858622669791,-0.1285381285381285,-0.2055167055167054,-7,1.4267273165603382,2.421567687398588,-0.9948403708382496
test_2,Mouse155_20151129_22-41-43,42,attention,-0.2732919065198218,-0.3695652173913043,-0.3577075098814229,-3,0.8622041699451568,1.4409199756833766,-0.5787158057382198
test_2,Mouse156_20151012_20-16-37,42,attention,0.034661730957173,0.0691744563176876,0.2038619905208017,-4,4.8974570372959745,3.34216950361553,1.5552875336804446
test_2,Mouse156_20151124_21-53-46,42,attention,-0.1136027280102849,0.0099378881987577,-0.1678571428571428,3,2.0606309210239098,2.9192952160748,-0.85866429505089
test_2,Mouse158_20151129_21-12-54,42,attention,0.0209778549999997,0.0210526315789475,0.0234100877192983,8,1.4343087704971218,1.9900724513721917,-0.5557636808750699
test_2,Mouse159_20151129_20-48-38,42,attention,0.0332800168665464,0.0650388101368493,0.0778843523941563,4,1.8849539531385209,2.443965053538618,-0.559011100400097
test_2,Mouse627_20181026_17-29-36_01994-09560,42,attention,-0.0108154323028457,-0.0368359531206743,-0.0382970869605341,-1,6.921803980644251,4.721695967595435,2.2001080130488155
test_2,Mouse627_20181026_17-29-36_16209-22286,42,attention,-0.0057014148278002,-0.0118421052631578,-0.1099282296650716,-1,1.046304243538139,2.0680663683687293,-1.0217621248305904
test_2,Mouse630_20181025_18-44-29_01807-21458,42,attention,-0.007063722159368,-0.0034716542546916,-0.0479662743530325,-4,2.182382414562324,3.509498511659392,-1.327116097097068
test_2,Mouse630_20181025_18-44-29_21460-30528,42,attention,-0.0065696087511468,0.0012765957446809,-0.0199999999999999,0,1.7250387119005404,2.9463537736006105,-1.22131506170007
test_2,Mouse835-female_20200325_18-28-49_10767-24391,42,attention,-0.0940381856550343,-0.1521038685744566,-0.3483094859565447,1,3.3272108422370406,5.776979514991746,-2.4497686727547054
test_2,Mouse836-female_20200322_19-33-17_00957-13323,42,attention,-0.3470018668402144,-0.2158730158730158,-0.2317460317460318,-1,1.4232082445663459,2.0348008874112273,-0.6115926428448815
test_2,Mouse836-female_20200322_19-33-17_14594-23870,42,attention,-0.0933326734468356,-0.0874236874236873,-0.2941391941391942,-6,2.534520318731027,4.012616496157425,-1.4780961774263979
test_2,Mouse839-female_20200322_20-15-11_12885-24623,42,attention,-0.2612250722486944,-0.3434565939621551,-0.3664668496316626,-14,3.5977308757801154,3.2784117357389,0.3193191400412152
