frame_index_in_window,total_feature_variance,mean_feature_variance
22,13.461702,0.017528258
9,13.457951,0.017523373
8,13.450052,0.017513089
3,13.420263,0.017474301
7,13.402517,0.017451195
20,13.39449,0.017440742
23,13.385748,0.01742936
6,13.366165,0.017403862
21,13.365044,0.017402401
10,13.355084,0.017389433
2,13.354437,0.01738859
11,13.353054,0.017386789
25,13.345179,0.017376535
4,13.337437,0.017366454
14,13.336231,0.017364884
18,13.326508,0.017352223
24,13.323961,0.017348908
17,13.322665,0.01734722
28,13.320693,0.017344652
16,13.312073,0.017333427
12,13.30898,0.0173294
1,13.2932415,0.017308908
27,13.290716,0.01730562
19,13.289906,0.017304564
5,13.284907,0.017298056
0,13.28075,0.017292643
13,13.276493,0.0172871
30,13.273987,0.017283836
29,13.257687,0.017262613
31,13.251677,0.017254787
26,13.240484,0.017240213
15,13.218988,0.017212225
