pc1,pc2,label,video_id,sample_id
8.000994,9.26271,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000144
3.4942863,7.436375,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000160
3.2884157,7.803349,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000176
-0.28672674,10.811706,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000384
-5.488369,6.534567,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000400
-0.69344467,6.3709936,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000560
-4.61756,4.933022,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000624
-6.289588,8.163003,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000640
3.8263159,17.209702,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f000784
9.098307,7.6383467,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f001008
18.495022,12.109774,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f001040
2.587937,23.733646,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f001360
10.214569,23.739084,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f001648
-1.1296318,5.0537395,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f001856
-4.6408052,12.564617,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f002176
1.4490532,4.6235538,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f002336
1.3278785,6.2465696,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f002352
5.917644,12.112125,other,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f002704
-15.007224,9.502821,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f002896
-15.1019335,9.642932,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f002912
-16.865543,9.592874,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f003008
-11.78584,12.422679,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f003424
-8.202896,9.674473,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f003584
-9.8902235,3.8259037,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f003648
-15.215385,2.1828916,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f003680
2.271571,17.281986,other,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f004064
-4.0615997,-1.4485494,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f004352
-13.011041,-0.7725674,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f004416
-10.50878,-1.2749742,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f004480
4.4684653,8.600535,other,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f004528
-15.9871,1.4358778,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f004992
-24.23382,-2.840258,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f005024
-26.222336,-2.8017113,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f005056
-14.135265,1.6869475,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f005104
-24.908958,-2.046142,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f005152
-0.8083324,8.697939,other,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f005536
1.2605987,16.711782,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f005904
-12.40102,11.414962,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f006096
-13.452497,10.175445,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f006176
-3.5861406,5.701139,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f006992
-2.4012861,5.3679047,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f007024
-9.985892,11.548758,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f007216
-21.15674,8.301217,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f007280
-25.437391,5.7188168,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f007312
-1.1305759,12.369995,other,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f007504
4.900347,12.514084,other,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f007856
-33.59931,-4.667771,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f009136
-30.002419,-0.99374396,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f009168
-26.456354,1.6174425,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f009184
-14.206103,7.300568,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f009200
-3.6104007,5.965271,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f009600
-8.8441515,5.211144,other,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f010016
-3.5042033,4.3738136,other,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f010160
-0.98101395,7.6348534,investigation,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f010256
-9.28999,6.2563267,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f010336
6.610652,11.772173,other,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f010720
3.0198188,9.43574,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f010896
-1.4277985,9.1496525,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f010912
-1.8310312,9.318956,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f010944
2.993635,16.581028,other,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f011312
-4.67125,9.185322,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f011920
-10.069169,6.89875,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f011952
-12.8693695,5.9922543,mount,Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27_f011968
