channel_index,fisher_ratio,z_variance
709,476.07665274504234,1.0
645,464.4981685377368,1.0
615,445.22169721349803,1.0
453,441.4743370831387,1.0
389,419.7956392441731,1.0000001192092896
359,398.75649890537454,1.0
734,396.6164260420324,1.0000001192092896
478,394.5234291625129,1.0
716,386.8707748574742,1.0
460,381.7337036870872,1.0
542,355.9825228227055,1.0000001192092896
754,304.9903357301528,0.9999999403953552
286,303.4029998749638,1.0000001192092896
498,299.4350653207199,1.0
33,295.99989731621235,1.0
564,289.00230163426255,1.0
636,286.12495937544827,1.0
619,266.3040940696482,1.0
363,240.86525776176669,1.0
296,233.77581560145373,1.0
380,226.95346047710728,1.0
308,225.69890958507335,1.0
554,225.23605850958148,1.0
552,223.43148725666225,1.0
298,222.26151386652197,0.9999998807907104
534,206.59902821655504,1.0
682,205.5311670160306,1.0
767,199.99838931946908,1.0
278,196.98681239527423,1.0
627,195.15347620659367,1.0
