sample_id,video_id,start_frame,label,top16_pc_leverage
Mouse627_20181026_17-29-36_01994-09560_f007392,Mouse627_20181026_17-29-36_01994-09560,7392,mount,2659.435
Mouse627_20181026_17-29-36_01994-09560_f007408,Mouse627_20181026_17-29-36_01994-09560,7408,mount,2282.9321
Mouse074_20160709_19-15-23_f017184,Mouse074_20160709_19-15-23,17184,other,1885.5542
Mouse060_20160526_18-16-27_f009136,Mouse060_20160526_18-16-27,9136,mount,1805.7203
Mouse630_20181025_18-44-29_01807-21458_f018736,Mouse630_20181025_18-44-29_01807-21458,18736,mount,1760.201
Mouse063_20160526_19-14-46_f013072,Mouse063_20160526_19-14-46,13072,mount,1698.4043
Mouse836-female_20200322_19-33-17_00957-13323_f007776,Mouse836-female_20200322_19-33-17_00957-13323,7776,other,1696.7863
Mouse627_20181026_17-29-36_01994-09560_f007456,Mouse627_20181026_17-29-36_01994-09560,7456,mount,1676.7891
Mouse162_20161017_19-58-28_f013552,Mouse162_20161017_19-58-28,13552,investigation,1645.3905
Mouse074_20160709_19-15-23_f015376,Mouse074_20160709_19-15-23,15376,other,1639.0847
Mouse069_20160709_16-02-03_f014176,Mouse069_20160709_16-02-03,14176,other,1565.1017
Mouse061_20160526_18-38-49_f012272,Mouse061_20160526_18-38-49,12272,mount,1511.8572
Mouse062_20160526_18-56-26_f015056,Mouse062_20160526_18-56-26,15056,mount,1487.0571
Mouse061_20160526_18-38-49_f013408,Mouse061_20160526_18-38-49,13408,mount,1461.1942
Mouse061_20160526_18-38-49_f012288,Mouse061_20160526_18-38-49,12288,mount,1446.1882
Mouse060_20160526_18-16-27_f009168,Mouse060_20160526_18-16-27,9168,mount,1436.9756
Mouse070_20160709_16-58-36_f020144,Mouse070_20160709_16-58-36,20144,other,1400.8564
Mouse156_20151012_20-16-37_f003120,Mouse156_20151012_20-16-37,3120,attack,1372.903
Mouse162_20161017_19-58-28_f015520,Mouse162_20161017_19-58-28,15520,other,1371.5549
Mouse061_20160526_18-38-49_f013424,Mouse061_20160526_18-38-49,13424,mount,1359.501
Mouse156_20151012_20-16-37_f004848,Mouse156_20151012_20-16-37,4848,attack,1357.9204
Mouse836-female_20200322_19-33-17_00957-13323_f008016,Mouse836-female_20200322_19-33-17_00957-13323,8016,other,1334.1853
