video_id,n_windows,mean_top16_pc_leverage,total_top16_pc_leverage
Mouse836-female_20200322_19-33-17_00957-13323,63,774.3118,48781.645
Mouse835-female_20200325_18-28-49_10767-24391,77,750.42377,57782.63
Mouse162_20161017_19-58-28,90,741.2066,66708.59
Mouse836-female_20200322_19-33-17_14594-23870,49,728.0814,35675.99
Mouse627_20181026_17-29-36_01994-09560,40,701.8004,28072.018
Mouse839-female_20200322_20-15-11_12885-24623,57,693.9988,39557.93
Mouse062_20160526_18-56-26,132,677.4502,89423.42
Mouse163_20161018_18-22-45,35,658.25085,23038.78
Mouse061_20160526_18-38-49,146,643.4764,93947.555
Mouse627_20181026_17-29-36_16209-22286,26,606.81586,15777.213
Mouse060_20160526_18-16-27,100,602.6505,60265.05
Mouse630_20181025_18-44-29_21460-30528,60,551.80115,33108.07
Mouse156_20151012_20-16-37,91,538.8476,49035.133
Mouse630_20181025_18-44-29_01807-21458,132,531.91876,70213.27
Mouse063_20160526_19-14-46,93,511.27933,47548.977
Mouse627_20181026_17-29-36_10191-15523,24,509.36508,12224.762
Mouse069_20160709_16-02-03,115,473.09253,54405.64
Mouse070_20160709_16-58-36,143,466.80475,66753.08
Mouse074_20160709_19-15-23,105,458.01822,48091.914
Mouse077_20160709_18-29-34,155,441.16345,68380.336
Mouse155_20151124_21-11-28,30,380.3144,11409.432
Mouse155_20151124_20-48-31,32,376.67734,12053.675
Mouse159_20151129_20-57-31,19,376.5598,7154.6367
Mouse158_20151129_21-12-54,39,375.47125,14643.379
Mouse156_20151124_21-53-46,25,367.49298,9187.324
Mouse155_20151129_22-41-43,26,362.3264,9420.486
Mouse159_20151129_20-48-38,51,362.01547,18462.79
Mouse155_20151124_20-56-05,45,361.40335,16263.15
