source,run,window,track,seed,prediction_type,movie_id,gt_sequence_length,pred_sequence_length,sequence_length_ratio_pred_over_gt,n,ngram_tp,pred_ngram_total,gt_ngram_total,ngram_precision,ngram_recall,ngram_f1
model,fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,16-frame window,0,raw,6,699,213,0.30472103004291845,1,212,213,699,0.9953051643192489,0.3032904148783977,0.46491228070175444
model,fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,16-frame window,0,raw,6,699,213,0.30472103004291845,2,205,212,698,0.9669811320754716,0.29369627507163326,0.4505494505494506
model,fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,16-frame window,0,raw,6,699,213,0.30472103004291845,3,193,211,697,0.9146919431279621,0.2769010043041607,0.42511013215859034
model,fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,16-frame window,0,raw,6,699,213,0.30472103004291845,4,175,210,696,0.8333333333333334,0.2514367816091954,0.38631346578366443
model,fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,0,raw,6,699,402,0.575107296137339,1,388,402,699,0.9651741293532339,0.5550786838340487,0.7048138056312444
model,fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,0,raw,6,699,402,0.575107296137339,2,369,401,698,0.9201995012468828,0.5286532951289399,0.6715195632393085
model,fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,0,raw,6,699,402,0.575107296137339,3,345,400,697,0.8625,0.4949784791965567,0.6289881494986327
model,fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,0,raw,6,699,402,0.575107296137339,4,314,399,696,0.7869674185463659,0.4511494252873563,0.5735159817351598
model,fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,16-frame window,0,raw,7,424,182,0.42924528301886794,1,142,182,424,0.7802197802197802,0.33490566037735847,0.46864686468646866
model,fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,16-frame window,0,raw,7,424,182,0.42924528301886794,2,118,181,423,0.6519337016574586,0.2789598108747045,0.390728476821192
model,fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,16-frame window,0,raw,7,424,182,0.42924528301886794,3,99,180,422,0.55,0.23459715639810427,0.3289036544850498
model,fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,16-frame window,0,raw,7,424,182,0.42924528301886794,4,87,179,421,0.4860335195530726,0.20665083135391923,0.29
model,fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,0,raw,7,424,348,0.8207547169811321,1,265,348,424,0.7614942528735632,0.625,0.6865284974093264
model,fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,0,raw,7,424,348,0.8207547169811321,2,214,347,423,0.6167146974063401,0.5059101654846335,0.5558441558441558
model,fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,0,raw,7,424,348,0.8207547169811321,3,178,346,422,0.5144508670520231,0.4218009478672986,0.4635416666666667
model,fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,0,raw,7,424,348,0.8207547169811321,4,150,345,421,0.43478260869565216,0.35629453681710216,0.391644908616188
model,fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,16-frame window,0,raw,8,626,316,0.5047923322683706,1,315,316,626,0.9968354430379747,0.5031948881789138,0.6687898089171975
model,fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,16-frame window,0,raw,8,626,316,0.5047923322683706,2,304,315,625,0.9650793650793651,0.4864,0.6468085106382979
model,fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,16-frame window,0,raw,8,626,316,0.5047923322683706,3,289,314,624,0.9203821656050956,0.46314102564102566,0.6162046908315565
model,fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,16-frame window,0,raw,8,626,316,0.5047923322683706,4,248,313,623,0.792332268370607,0.39807383627608345,0.5299145299145299
model,fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,0,raw,8,626,476,0.7603833865814696,1,461,476,626,0.9684873949579832,0.7364217252396166,0.8366606170598911
