track,backbone,head,seed,from_behavior,to_behavior,transition_count,transition_probability
Ground truth,ground_truth,,,attack,attack,24,0.06741573033707865
Ground truth,ground_truth,,,attack,investigation,330,0.9269662921348315
Ground truth,ground_truth,,,attack,mount,2,0.0056179775280898875
Ground truth,ground_truth,,,investigation,attack,328,0.22714681440443213
Ground truth,ground_truth,,,investigation,investigation,910,0.6301939058171745
Ground truth,ground_truth,,,investigation,mount,206,0.14265927977839335
Ground truth,ground_truth,,,mount,attack,1,0.0049261083743842365
Ground truth,ground_truth,,,mount,investigation,202,0.9950738916256158
Ground truth,ground_truth,,,mount,mount,0,0.0
YOLO/SPPF Attention-256,yolo_sppf,attention,42,attack,attack,92,0.3382352941176471
YOLO/SPPF Attention-256,yolo_sppf,attention,42,attack,investigation,166,0.6102941176470589
YOLO/SPPF Attention-256,yolo_sppf,attention,42,attack,mount,14,0.051470588235294115
YOLO/SPPF Attention-256,yolo_sppf,attention,42,investigation,attack,166,0.1925754060324826
YOLO/SPPF Attention-256,yolo_sppf,attention,42,investigation,investigation,511,0.5928074245939675
YOLO/SPPF Attention-256,yolo_sppf,attention,42,investigation,mount,185,0.21461716937354988
YOLO/SPPF Attention-256,yolo_sppf,attention,42,mount,attack,11,0.055
YOLO/SPPF Attention-256,yolo_sppf,attention,42,mount,investigation,183,0.915
YOLO/SPPF Attention-256,yolo_sppf,attention,42,mount,mount,6,0.03
YOLO/SPPF Attention-256,yolo_sppf,attention,43,attack,attack,85,0.32196969696969696
YOLO/SPPF Attention-256,yolo_sppf,attention,43,attack,investigation,173,0.6553030303030303
YOLO/SPPF Attention-256,yolo_sppf,attention,43,attack,mount,6,0.022727272727272728
YOLO/SPPF Attention-256,yolo_sppf,attention,43,investigation,attack,170,0.19675925925925927
YOLO/SPPF Attention-256,yolo_sppf,attention,43,investigation,investigation,518,0.5995370370370371
YOLO/SPPF Attention-256,yolo_sppf,attention,43,investigation,mount,176,0.2037037037037037
YOLO/SPPF Attention-256,yolo_sppf,attention,43,mount,attack,7,0.03867403314917127
YOLO/SPPF Attention-256,yolo_sppf,attention,43,mount,investigation,170,0.9392265193370166
YOLO/SPPF Attention-256,yolo_sppf,attention,43,mount,mount,4,0.022099447513812154
YOLO/SPPF Attention-256,yolo_sppf,attention,44,attack,attack,72,0.2696629213483146
YOLO/SPPF Attention-256,yolo_sppf,attention,44,attack,investigation,183,0.6853932584269663
YOLO/SPPF Attention-256,yolo_sppf,attention,44,attack,mount,12,0.0449438202247191
YOLO/SPPF Attention-256,yolo_sppf,attention,44,investigation,attack,182,0.19739696312364424
YOLO/SPPF Attention-256,yolo_sppf,attention,44,investigation,investigation,550,0.596529284164859
YOLO/SPPF Attention-256,yolo_sppf,attention,44,investigation,mount,190,0.20607375271149675
YOLO/SPPF Attention-256,yolo_sppf,attention,44,mount,attack,10,0.04950495049504951
YOLO/SPPF Attention-256,yolo_sppf,attention,44,mount,investigation,187,0.9257425742574258
YOLO/SPPF Attention-256,yolo_sppf,attention,44,mount,mount,5,0.024752475247524754
YOLO/SPPF LSTM-256,yolo_sppf,lstm,42,attack,attack,105,0.3442622950819672
YOLO/SPPF LSTM-256,yolo_sppf,lstm,42,attack,investigation,185,0.6065573770491803
YOLO/SPPF LSTM-256,yolo_sppf,lstm,42,attack,mount,15,0.04918032786885246
YOLO/SPPF LSTM-256,yolo_sppf,lstm,42,investigation,attack,180,0.21505376344086022
YOLO/SPPF LSTM-256,yolo_sppf,lstm,42,investigation,investigation,469,0.5603345280764636
YOLO/SPPF LSTM-256,yolo_sppf,lstm,42,investigation,mount,188,0.22461170848267623
YOLO/SPPF LSTM-256,yolo_sppf,lstm,42,mount,attack,19,0.09268292682926829
YOLO/SPPF LSTM-256,yolo_sppf,lstm,42,mount,investigation,179,0.8731707317073171
YOLO/SPPF LSTM-256,yolo_sppf,lstm,42,mount,mount,7,0.03414634146341464
YOLO/SPPF LSTM-256,yolo_sppf,lstm,43,attack,attack,72,0.277992277992278
YOLO/SPPF LSTM-256,yolo_sppf,lstm,43,attack,investigation,179,0.6911196911196911
YOLO/SPPF LSTM-256,yolo_sppf,lstm,43,attack,mount,8,0.03088803088803089
YOLO/SPPF LSTM-256,yolo_sppf,lstm,43,investigation,attack,175,0.19863791146424517
YOLO/SPPF LSTM-256,yolo_sppf,lstm,43,investigation,investigation,523,0.5936435868331441
YOLO/SPPF LSTM-256,yolo_sppf,lstm,43,investigation,mount,183,0.20771850170261066
YOLO/SPPF LSTM-256,yolo_sppf,lstm,43,mount,attack,10,0.05235602094240838
YOLO/SPPF LSTM-256,yolo_sppf,lstm,43,mount,investigation,177,0.9267015706806283
YOLO/SPPF LSTM-256,yolo_sppf,lstm,43,mount,mount,4,0.020942408376963352
YOLO/SPPF LSTM-256,yolo_sppf,lstm,44,attack,attack,67,0.24452554744525548
YOLO/SPPF LSTM-256,yolo_sppf,lstm,44,attack,investigation,196,0.7153284671532847
YOLO/SPPF LSTM-256,yolo_sppf,lstm,44,attack,mount,11,0.040145985401459854
YOLO/SPPF LSTM-256,yolo_sppf,lstm,44,investigation,attack,187,0.1997863247863248
YOLO/SPPF LSTM-256,yolo_sppf,lstm,44,investigation,investigation,552,0.5897435897435898
YOLO/SPPF LSTM-256,yolo_sppf,lstm,44,investigation,mount,197,0.21047008547008547
YOLO/SPPF LSTM-256,yolo_sppf,lstm,44,mount,attack,19,0.09134615384615384
YOLO/SPPF LSTM-256,yolo_sppf,lstm,44,mount,investigation,186,0.8942307692307693
YOLO/SPPF LSTM-256,yolo_sppf,lstm,44,mount,mount,3,0.014423076923076924
MobileNetV3 Attention-256,mobilenetv3_native,attention,42,attack,attack,60,0.22304832713754646
MobileNetV3 Attention-256,mobilenetv3_native,attention,42,attack,investigation,204,0.758364312267658
MobileNetV3 Attention-256,mobilenetv3_native,attention,42,attack,mount,5,0.01858736059479554
MobileNetV3 Attention-256,mobilenetv3_native,attention,42,investigation,attack,200,0.21052631578947367
MobileNetV3 Attention-256,mobilenetv3_native,attention,42,investigation,investigation,597,0.628421052631579
MobileNetV3 Attention-256,mobilenetv3_native,attention,42,investigation,mount,153,0.16105263157894736
MobileNetV3 Attention-256,mobilenetv3_native,attention,42,mount,attack,6,0.038461538461538464
MobileNetV3 Attention-256,mobilenetv3_native,attention,42,mount,investigation,149,0.9551282051282052
MobileNetV3 Attention-256,mobilenetv3_native,attention,42,mount,mount,1,0.00641025641025641
MobileNetV3 Attention-256,mobilenetv3_native,attention,43,attack,attack,79,0.2851985559566787
MobileNetV3 Attention-256,mobilenetv3_native,attention,43,attack,investigation,182,0.6570397111913358
MobileNetV3 Attention-256,mobilenetv3_native,attention,43,attack,mount,16,0.05776173285198556
MobileNetV3 Attention-256,mobilenetv3_native,attention,43,investigation,attack,183,0.21378504672897197
MobileNetV3 Attention-256,mobilenetv3_native,attention,43,investigation,investigation,515,0.6016355140186916
MobileNetV3 Attention-256,mobilenetv3_native,attention,43,investigation,mount,158,0.18457943925233644
MobileNetV3 Attention-256,mobilenetv3_native,attention,43,mount,attack,14,0.07650273224043716
MobileNetV3 Attention-256,mobilenetv3_native,attention,43,mount,investigation,156,0.8524590163934426
MobileNetV3 Attention-256,mobilenetv3_native,attention,43,mount,mount,13,0.07103825136612021
MobileNetV3 Attention-256,mobilenetv3_native,attention,44,attack,attack,68,0.26666666666666666
MobileNetV3 Attention-256,mobilenetv3_native,attention,44,attack,investigation,176,0.6901960784313725
MobileNetV3 Attention-256,mobilenetv3_native,attention,44,attack,mount,11,0.043137254901960784
MobileNetV3 Attention-256,mobilenetv3_native,attention,44,investigation,attack,175,0.20710059171597633
MobileNetV3 Attention-256,mobilenetv3_native,attention,44,investigation,investigation,508,0.6011834319526628
MobileNetV3 Attention-256,mobilenetv3_native,attention,44,investigation,mount,162,0.19171597633136095
MobileNetV3 Attention-256,mobilenetv3_native,attention,44,mount,attack,11,0.06043956043956044
MobileNetV3 Attention-256,mobilenetv3_native,attention,44,mount,investigation,156,0.8571428571428571
MobileNetV3 Attention-256,mobilenetv3_native,attention,44,mount,mount,15,0.08241758241758242
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,42,attack,attack,72,0.27586206896551724
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,42,attack,investigation,182,0.6973180076628352
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,42,attack,mount,7,0.02681992337164751
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,42,investigation,attack,180,0.19845644983461963
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,42,investigation,investigation,555,0.6119073869900772
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,42,investigation,mount,172,0.18963616317530319
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,42,mount,attack,6,0.03296703296703297
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,42,mount,investigation,169,0.9285714285714286
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,42,mount,mount,7,0.038461538461538464
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,43,attack,attack,68,0.2556390977443609
MobileNetV3 LSTM-256,mobilenetv3_native,lstm,43,attack,investigation,192,0.7218045112781954
