model_name,stream,head,capacity,seed,prediction_type,best_validation_macroF1,mean_frame_macro_f1_present_behaviors,mean_bout_macro_f1_iou25_present_behaviors,mean_bout_macro_f1_iou50_present_behaviors,pred_bouts_total,cpu_pct,ram_gb_used,gpu_util_pct,vram_gb_used,gpu_power_w
yolo_sppf_animal_visual_only_attention256_seed42,animal_visual_only,attention,256,42,smoothed_frames,0.7591312108179467,0.6764464812625145,0.5758133054416537,0.4120592409353971,1566,50.7,9.22,8.0,1.14,14.4
yolo_sppf_animal_visual_only_attention256_seed43,animal_visual_only,attention,256,43,smoothed_frames,0.7607951252486402,0.6803262948617345,0.5824483594328279,0.4140574442876505,1506,50.7,9.15,8.0,1.14,15.4
yolo_sppf_animal_visual_only_attention256_seed44,animal_visual_only,attention,256,44,smoothed_frames,0.7646526190876213,0.6832330929534948,0.5829377189995956,0.4162283453216394,1582,50.7,9.17,9.0,1.14,14.8
yolo_sppf_animal_visual_only_attention512_seed42,animal_visual_only,attention,512,42,smoothed_frames,0.7454729075326374,0.6654954347813848,0.5408099201900163,0.3976063675323017,1632,50.7,9.1,9.0,1.15,13.7
yolo_sppf_animal_visual_only_attention512_seed43,animal_visual_only,attention,512,43,smoothed_frames,0.7614943632606388,0.6827803567341132,0.5845500465547343,0.3929390112926127,1582,50.7,9.17,9.0,1.15,15.7
yolo_sppf_animal_visual_only_attention512_seed44,animal_visual_only,attention,512,44,smoothed_frames,0.7590873291173788,0.6789900437905837,0.576044341588501,0.4116011876798971,1658,50.7,9.08,9.0,1.15,14.6
yolo_sppf_animal_visual_only_attention896_seed42,animal_visual_only,attention,896,42,smoothed_frames,0.7571912274614687,0.6757016370338735,0.5605041473419915,0.399173128422769,1563,50.7,9.31,10.0,1.16,15.4
yolo_sppf_animal_visual_only_attention896_seed43,animal_visual_only,attention,896,43,smoothed_frames,0.7606007591588502,0.6829322645382181,0.5829124006898966,0.4171798292515443,1560,50.9,9.12,10.0,1.16,15.5
yolo_sppf_animal_visual_only_attention896_seed44,animal_visual_only,attention,896,44,smoothed_frames,0.767681383628599,0.666326305901072,0.5781930486322705,0.3968892506915394,1633,50.8,9.18,10.0,1.16,15.9
yolo_sppf_animal_visual_only_lstm256_seed42,animal_visual_only,lstm,256,42,smoothed_frames,0.7254755249105811,0.611050703088018,0.5305582682781255,0.3399761427312301,1754,50.7,9.15,8.0,1.02,16.0
yolo_sppf_animal_visual_only_lstm256_seed43,animal_visual_only,lstm,256,43,smoothed_frames,0.7504741008996499,0.6536878657620229,0.5791551303211365,0.3798503169316468,1597,50.8,9.07,8.0,1.02,15.3
yolo_sppf_animal_visual_only_lstm256_seed44,animal_visual_only,lstm,256,44,smoothed_frames,0.7594508678867967,0.6484089272516734,0.562236655609308,0.3976591626237648,1571,50.8,9.19,8.0,1.02,15.3
yolo_sppf_animal_visual_only_lstm512_seed42,animal_visual_only,lstm,512,42,smoothed_frames,0.7324038832207656,0.6335733008501702,0.5471091529968464,0.3685211062442546,1598,50.8,9.18,10.0,1.05,15.1
yolo_sppf_animal_visual_only_lstm512_seed43,animal_visual_only,lstm,512,43,smoothed_frames,0.7350391431795924,0.6155357140866575,0.5393357522665326,0.3775499557366048,1450,51.0,9.12,10.0,1.05,16.2
yolo_sppf_animal_visual_only_lstm512_seed44,animal_visual_only,lstm,512,44,smoothed_frames,0.7528366431686072,0.6513591044064689,0.5635512229285801,0.3777796904885142,1782,50.9,9.01,10.0,1.05,15.1
yolo_sppf_animal_visual_only_lstm896_seed42,animal_visual_only,lstm,896,42,smoothed_frames,0.7437266641093107,0.6510421074754322,0.5598033453649339,0.3923850641424845,1692,50.4,9.25,23.0,1.13,15.2
yolo_sppf_animal_visual_only_lstm896_seed43,animal_visual_only,lstm,896,43,smoothed_frames,0.7398058822092527,0.6051448632703531,0.5192805229849591,0.3527941862515248,1670,50.8,9.09,22.0,1.13,20.0
yolo_sppf_animal_visual_only_lstm896_seed44,animal_visual_only,lstm,896,44,smoothed_frames,0.7509734996200188,0.651334412536621,0.5566868302183546,0.3868589632510053,1745,50.7,9.25,23.0,1.13,17.5
yolo_sppf_full_attention256_seed42,full,attention,256,42,smoothed_frames,0.839591944945388,0.7574996495656833,0.6905859231369221,0.5485878103086234,1362,50.8,9.17,20.0,1.24,17.9
yolo_sppf_full_attention256_seed43,full,attention,256,43,smoothed_frames,0.8328338484569577,0.7518410525613002,0.6683549697442859,0.5340042575115437,1337,50.7,8.98,21.0,1.24,17.6
yolo_sppf_full_attention256_seed44,full,attention,256,44,smoothed_frames,0.8354369646842588,0.7461950411183075,0.6795822797900676,0.5297194815638712,1419,50.7,9.15,20.0,1.24,17.8
yolo_sppf_full_attention512_seed42,full,attention,512,42,smoothed_frames,0.819044062212335,0.7327005673669351,0.6528970043012073,0.5028071925872424,1397,50.7,9.01,19.0,1.31,18.2
yolo_sppf_full_attention512_seed43,full,attention,512,43,smoothed_frames,0.8354521359030737,0.7425548301726651,0.6678768825807637,0.5213525488373872,1412,50.6,9.0,20.0,1.31,18.8
yolo_sppf_full_attention512_seed44,full,attention,512,44,smoothed_frames,0.8347494073120139,0.739210170808651,0.6713003212284779,0.5230978358291557,1383,50.8,9.15,20.0,1.31,17.5
yolo_sppf_full_attention896_seed42,full,attention,896,42,smoothed_frames,0.8415685156173377,0.7433724478005181,0.6767602951748781,0.53346505782857,1371,40.8,9.17,25.0,1.41,20.2
yolo_sppf_full_attention896_seed43,full,attention,896,43,smoothed_frames,0.8401199580134042,0.7461206645321468,0.6687450156366339,0.5190756747738604,1424,51.0,9.25,31.0,1.42,17.2
yolo_sppf_full_attention896_seed44,full,attention,896,44,smoothed_frames,0.831596561367896,0.7399386743594951,0.6659988501195897,0.5066545369768701,1420,50.8,9.26,30.0,1.42,21.2
yolo_sppf_full_lstm256_seed42,full,lstm,256,42,smoothed_frames,0.8272902569031055,0.7519064630128556,0.6706020749192384,0.5474456683946922,1375,50.9,9.18,11.0,1.18,16.2
yolo_sppf_full_lstm256_seed43,full,lstm,256,43,smoothed_frames,0.824184066701277,0.7402378325308347,0.67456869530558,0.5398920047158678,1359,50.9,9.25,10.0,1.18,16.3
yolo_sppf_full_lstm256_seed44,full,lstm,256,44,smoothed_frames,0.8181819595220676,0.7478108053794527,0.6715028119446137,0.5375892303334573,1446,51.0,9.21,10.0,1.18,15.8
yolo_sppf_full_lstm512_seed42,full,lstm,512,42,smoothed_frames,0.8218104569511947,0.7311520906740132,0.6638318014054986,0.4982170516387928,1419,51.0,9.43,16.0,1.25,15.2
yolo_sppf_full_lstm512_seed43,full,lstm,512,43,smoothed_frames,0.8247929015347861,0.7273078754636982,0.6467486930869702,0.5087085207722272,1364,50.8,9.31,16.0,1.25,16.3
yolo_sppf_full_lstm512_seed44,full,lstm,512,44,smoothed_frames,0.8234814335963562,0.7330721999612365,0.6678195279667685,0.4984383976327166,1426,50.8,9.18,16.0,1.25,15.9
yolo_sppf_full_lstm896_seed42,full,lstm,896,42,smoothed_frames,0.8254273307945642,0.7288091964030852,0.6477945812062357,0.4901981963557612,1400,50.8,9.19,27.0,1.4,20.3
yolo_sppf_full_lstm896_seed43,full,lstm,896,43,smoothed_frames,0.8281378056341211,0.7268236913796047,0.6461935549611061,0.4806314374594703,1418,50.7,9.25,30.0,1.4,20.0
yolo_sppf_full_lstm896_seed44,full,lstm,896,44,smoothed_frames,0.8128658103197466,0.7204502830993679,0.6359053920821164,0.4726040696667142,1441,50.7,9.18,28.0,1.4,20.2
yolo_sppf_no_group_visual_attention256_seed42,no_group_visual,attention,256,42,smoothed_frames,0.8258455076026936,0.7341658954715246,0.656377524028399,0.5073746965579017,1400,50.7,8.64,13.0,1.21,17.2
yolo_sppf_no_group_visual_attention256_seed43,no_group_visual,attention,256,43,smoothed_frames,0.8290388134739791,0.7463871689929898,0.6702425956477417,0.5274269004968252,1368,49.0,8.91,5.0,1.21,14.1
yolo_sppf_no_group_visual_attention256_seed44,no_group_visual,attention,256,44,smoothed_frames,0.8346133863347829,0.7338420706898782,0.6671279413636597,0.5073427056167485,1460,50.7,8.66,14.0,1.21,17.0
yolo_sppf_no_group_visual_attention512_seed42,no_group_visual,attention,512,42,smoothed_frames,0.8278149223924698,0.7334179901310264,0.6553203207975916,0.5110873286534198,1393,50.7,8.84,22.0,1.25,17.8
yolo_sppf_no_group_visual_attention512_seed43,no_group_visual,attention,512,43,smoothed_frames,0.8388286552119272,0.7425974244841281,0.6704262518921249,0.5171192044991503,1409,50.7,8.71,14.0,1.25,16.6
yolo_sppf_no_group_visual_attention512_seed44,no_group_visual,attention,512,44,smoothed_frames,0.839087955323145,0.741493098904832,0.6731192080054461,0.5179526922142874,1399,50.7,8.65,22.0,1.26,17.1
yolo_sppf_no_group_visual_attention896_seed42,no_group_visual,attention,896,42,smoothed_frames,0.8334341677556758,0.729917104726573,0.6505781551662583,0.5046760554165622,1376,50.7,8.63,25.0,1.36,18.7
yolo_sppf_no_group_visual_attention896_seed43,no_group_visual,attention,896,43,smoothed_frames,0.8375746527760789,0.7375773488605615,0.6646782138149089,0.5078786787053493,1380,50.6,8.71,25.0,1.36,19.4
