track,head,capacity,seed,prediction_type,threshold,class,duration_bin,gt_bouts,matched_bouts,recall
Attention-256,attention,256,42,raw_windows,0.25,attack,<0.25,26,4,0.15384615384615385
Attention-256,attention,256,42,raw_windows,0.25,attack,0.25-0.5,46,10,0.21739130434782608
Attention-256,attention,256,42,raw_windows,0.25,attack,0.5-1,77,16,0.2077922077922078
Attention-256,attention,256,42,raw_windows,0.25,attack,1-2,91,24,0.26373626373626374
Attention-256,attention,256,42,raw_windows,0.25,attack,2-4,78,15,0.19230769230769232
Attention-256,attention,256,42,raw_windows,0.25,attack,4-8,36,8,0.2222222222222222
Attention-256,attention,256,42,raw_windows,0.25,attack,>=8,2,0,0.0
Attention-256,attention,256,42,raw_windows,0.25,investigation,<0.25,220,46,0.20909090909090908
Attention-256,attention,256,42,raw_windows,0.25,investigation,0.25-0.5,301,89,0.2956810631229236
Attention-256,attention,256,42,raw_windows,0.25,investigation,0.5-1,379,128,0.33773087071240104
Attention-256,attention,256,42,raw_windows,0.25,investigation,1-2,238,97,0.40756302521008403
Attention-256,attention,256,42,raw_windows,0.25,investigation,2-4,165,71,0.4303030303030303
Attention-256,attention,256,42,raw_windows,0.25,investigation,4-8,111,63,0.5675675675675675
Attention-256,attention,256,42,raw_windows,0.25,investigation,>=8,53,37,0.6981132075471698
Attention-256,attention,256,42,raw_windows,0.25,mount,<0.25,5,1,0.2
Attention-256,attention,256,42,raw_windows,0.25,mount,0.25-0.5,13,3,0.23076923076923078
Attention-256,attention,256,42,raw_windows,0.25,mount,0.5-1,25,3,0.12
Attention-256,attention,256,42,raw_windows,0.25,mount,1-2,34,6,0.17647058823529413
Attention-256,attention,256,42,raw_windows,0.25,mount,2-4,62,8,0.12903225806451613
Attention-256,attention,256,42,raw_windows,0.25,mount,4-8,30,7,0.23333333333333334
Attention-256,attention,256,42,raw_windows,0.25,mount,>=8,39,12,0.3076923076923077
Attention-256,attention,256,42,raw_windows,0.5,attack,<0.25,26,2,0.07692307692307693
Attention-256,attention,256,42,raw_windows,0.5,attack,0.25-0.5,46,6,0.13043478260869565
Attention-256,attention,256,42,raw_windows,0.5,attack,0.5-1,77,11,0.14285714285714285
Attention-256,attention,256,42,raw_windows,0.5,attack,1-2,91,13,0.14285714285714285
Attention-256,attention,256,42,raw_windows,0.5,attack,2-4,78,11,0.14102564102564102
Attention-256,attention,256,42,raw_windows,0.5,attack,4-8,36,7,0.19444444444444445
Attention-256,attention,256,42,raw_windows,0.5,attack,>=8,2,0,0.0
Attention-256,attention,256,42,raw_windows,0.5,investigation,<0.25,220,29,0.1318181818181818
Attention-256,attention,256,42,raw_windows,0.5,investigation,0.25-0.5,301,61,0.2026578073089701
Attention-256,attention,256,42,raw_windows,0.5,investigation,0.5-1,379,90,0.23746701846965698
Attention-256,attention,256,42,raw_windows,0.5,investigation,1-2,238,75,0.31512605042016806
Attention-256,attention,256,42,raw_windows,0.5,investigation,2-4,165,57,0.34545454545454546
Attention-256,attention,256,42,raw_windows,0.5,investigation,4-8,111,54,0.4864864864864865
Attention-256,attention,256,42,raw_windows,0.5,investigation,>=8,53,31,0.5849056603773585
Attention-256,attention,256,42,raw_windows,0.5,mount,<0.25,5,1,0.2
Attention-256,attention,256,42,raw_windows,0.5,mount,0.25-0.5,13,2,0.15384615384615385
Attention-256,attention,256,42,raw_windows,0.5,mount,0.5-1,25,2,0.08
Attention-256,attention,256,42,raw_windows,0.5,mount,1-2,34,6,0.17647058823529413
Attention-256,attention,256,42,raw_windows,0.5,mount,2-4,62,8,0.12903225806451613
Attention-256,attention,256,42,raw_windows,0.5,mount,4-8,30,6,0.2
Attention-256,attention,256,42,raw_windows,0.5,mount,>=8,39,12,0.3076923076923077
Attention-256,attention,256,42,smoothed_frames,0.25,attack,<0.25,26,4,0.15384615384615385
