track,prediction_type,threshold,class,target_recall,first_duration_bin_reaching_target,approx_duration_s
Attention-256,raw_windows,0.25,attack,0.8,not reached,
Attention-256,raw_windows,0.25,investigation,0.8,not reached,
Attention-256,raw_windows,0.25,mount,0.8,not reached,
Attention-256,raw_windows,0.5,attack,0.8,not reached,
Attention-256,raw_windows,0.5,investigation,0.8,not reached,
Attention-256,raw_windows,0.5,mount,0.8,not reached,
Attention-256,smoothed_frames,0.25,attack,0.8,not reached,
Attention-256,smoothed_frames,0.25,investigation,0.8,not reached,
Attention-256,smoothed_frames,0.25,mount,0.8,not reached,
Attention-256,smoothed_frames,0.5,attack,0.8,not reached,
Attention-256,smoothed_frames,0.5,investigation,0.8,not reached,
Attention-256,smoothed_frames,0.5,mount,0.8,not reached,
LSTM-256,raw_windows,0.25,attack,0.8,not reached,
LSTM-256,raw_windows,0.25,investigation,0.8,not reached,
LSTM-256,raw_windows,0.25,mount,0.8,not reached,
LSTM-256,raw_windows,0.5,attack,0.8,not reached,
LSTM-256,raw_windows,0.5,investigation,0.8,not reached,
LSTM-256,raw_windows,0.5,mount,0.8,not reached,
LSTM-256,smoothed_frames,0.25,attack,0.8,not reached,
LSTM-256,smoothed_frames,0.25,investigation,0.8,not reached,
LSTM-256,smoothed_frames,0.25,mount,0.8,not reached,
LSTM-256,smoothed_frames,0.5,attack,0.8,not reached,
LSTM-256,smoothed_frames,0.5,investigation,0.8,not reached,
LSTM-256,smoothed_frames,0.5,mount,0.8,not reached,
