split,video_id,prediction_type_first,predictions_csv_first,annot_path_first,n_frames_first,fps_first,annot_fps_first,accuracy_first,frame_macro_f1_present_behaviors_first,bout_macro_f1_iou10_present_behaviors_first,bout_macro_f1_iou25_present_behaviors_first,bout_macro_f1_iou50_present_behaviors_first,gt_bouts_total_first,pred_bouts_total_first,stream_first,head_first,capacity_first,seed_first,model_name_first,eval_dir_first,train_dir_first,prediction_type_second,predictions_csv_second,annot_path_second,n_frames_second,fps_second,annot_fps_second,accuracy_second,frame_macro_f1_present_behaviors_second,bout_macro_f1_iou10_present_behaviors_second,bout_macro_f1_iou25_present_behaviors_second,bout_macro_f1_iou50_present_behaviors_second,gt_bouts_total_second,pred_bouts_total_second,stream_second,head_second,capacity_second,seed_second,model_name_second,eval_dir_second,train_dir_second,delta_frame_macro_f1_present_behaviors,delta_bout_macro_f1_iou25_present_behaviors,delta_bout_macro_f1_iou50_present_behaviors,bout_count_error_reduction,video_label
test_1,Mouse061_20160526_18-38-49,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42\test_1\Mouse061_20160526_18-38-49\Mouse061_20160526_18-38-49.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_1\Mouse061_20160526_18-38-49\Mouse061_20160526_18-38-49_anno.annot,18640,30.0,30.0,0.9100858369098712,0.9135558117653886,0.8407738095238095,0.8303571428571428,0.7202380952380952,63,55,full,attention,256,42,yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed42,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42\test_1\Mouse061_20160526_18-38-49\Mouse061_20160526_18-38-49.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_1\Mouse061_20160526_18-38-49\Mouse061_20160526_18-38-49_anno.annot,18640,30.0,30.0,0.922049356223176,0.9224087045211424,0.8406840684068406,0.801080108010801,0.7713771377137714,63,63,pose_relations_only,attention,256,42,yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention256_seed42,-0.00885289275575385,0.02927703484634181,-0.05113904247567613,-8,Mouse061
test_2,Mouse627_20181026_17-29-36_16209-22286,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42\test_2\Mouse627_20181026_17-29-36_16209-22286\Mouse627_20181026_17-29-36_16209-22286.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_2\Mouse627_20181026_17-29-36_16209-22286\Mouse627_20181026_17-29-36_16209-22286_XW_tk_final.annot,6064,30.0,30.0,0.8802770448548812,0.6812914522589035,0.7795454545454545,0.7295454545454545,0.7295454545454545,32,31,full,attention,256,42,yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed42,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42\test_2\Mouse627_20181026_17-29-36_16209-22286\Mouse627_20181026_17-29-36_16209-22286.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_2\Mouse627_20181026_17-29-36_16209-22286\Mouse627_20181026_17-29-36_16209-22286_XW_tk_final.annot,6064,30.0,30.0,0.8842348284960422,0.6880165964258877,0.7472283813747228,0.7472283813747228,0.6740576496674058,32,32,pose_relations_only,attention,256,42,yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention256_seed42,-0.0067251441669842205,-0.01768292682926831,0.05548780487804872,-1,Mouse627
test_2,Mouse630_20181025_18-44-29_01807-21458,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42\test_2\Mouse630_20181025_18-44-29_01807-21458\Mouse630_20181025_18-44-29_01807-21458.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_2\Mouse630_20181025_18-44-29_01807-21458\Mouse630_20181025_18-44-29_01807-21458_XW_tk_final.annot,19648,30.0,30.0,0.8786135993485342,0.8448197200812624,0.8860553445469344,0.8551275094953881,0.7932718393922952,76,79,full,attention,256,42,yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed42,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42\test_2\Mouse630_20181025_18-44-29_01807-21458\Mouse630_20181025_18-44-29_01807-21458.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_2\Mouse630_20181025_18-44-29_01807-21458\Mouse630_20181025_18-44-29_01807-21458_XW_tk_final.annot,19648,30.0,30.0,0.880038680781759,0.8461927234569535,0.8936842105263159,0.8536842105263158,0.756140350877193,76,83,pose_relations_only,attention,256,42,yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention256_seed42,-0.0013730033756911286,0.0014432989690722486,0.03713148851510217,4,Mouse630
test_2,Mouse155_20151124_20-48-31,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42\test_2\Mouse155_20151124_20-48-31\Mouse155_20151124_20-48-31.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_2\Mouse155_20151124_20-48-31\Mouse155_20151124_20-48-31_Front-XiaoAnn.annot,9952,30.0,30.0,0.9592041800643086,0.8496558916587735,0.7316017316017316,0.670995670995671,0.6406926406926406,25,15,full,attention,256,42,yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed42,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42\test_2\Mouse155_20151124_20-48-31\Mouse155_20151124_20-48-31.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_2\Mouse155_20151124_20-48-31\Mouse155_20151124_20-48-31_Front-XiaoAnn.annot,9952,30.0,30.0,0.9621181672025724,0.850378302128751,0.7410714285714285,0.7410714285714285,0.6473214285714285,25,14,pose_relations_only,attention,256,42,yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention256_seed42,-0.0007224104699774525,-0.07007575757575746,-0.006628787878787845,1,Mouse155
test_2,Mouse155_20151129_22-41-43,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42\test_2\Mouse155_20151129_22-41-43\Mouse155_20151129_22-41-43.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_2\Mouse155_20151129_22-41-43\Mouse155_20151129_22-41-43_actions.annot,4816,30.0,30.0,0.8274501661129569,0.8258157039149867,0.8985507246376812,0.8695652173913043,0.7971014492753623,33,19,full,attention,256,42,yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed42,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42\test_2\Mouse155_20151129_22-41-43\Mouse155_20151129_22-41-43.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_2\Mouse155_20151129_22-41-43\Mouse155_20151129_22-41-43_actions.annot,4816,30.0,30.0,0.8280730897009967,0.8213111075561613,0.8936170212765958,0.8652482269503546,0.8085106382978724,33,20,pose_relations_only,attention,256,42,yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention256_seed42,0.004504596358825386,0.004316990440949686,-0.011409189022510091,-1,Mouse155
test_2,Mouse836-female_20200322_19-33-17_14594-23870,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42\test_2\Mouse836-female_20200322_19-33-17_14594-23870\Mouse836-female_20200322_19-33-17_14594-23870.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_2\Mouse836-female_20200322_19-33-17_14594-23870\Mouse836-female_20200322_19-33-17_14594-23870_TK_withUSV.annot,9264,30.0,30.0,0.9152633851468048,0.91324349757885,0.9,0.8857142857142857,0.8428571428571429,45,35,full,attention,256,42,yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed42,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42\test_2\Mouse836-female_20200322_19-33-17_14594-23870\Mouse836-female_20200322_19-33-17_14594-23870.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_2\Mouse836-female_20200322_19-33-17_14594-23870\Mouse836-female_20200322_19-33-17_14594-23870_TK_withUSV.annot,9264,30.0,30.0,0.9098661485319516,0.9073775315028458,0.7916666666666666,0.7916666666666666,0.7499999999999999,45,41,pose_relations_only,attention,256,42,yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention256_seed42,0.005865966076004203,0.09404761904761905,0.09285714285714297,-6,Mouse836
test_2,Mouse630_20181025_18-44-29_21460-30528,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42\test_2\Mouse630_20181025_18-44-29_21460-30528\Mouse630_20181025_18-44-29_21460-30528.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_2\Mouse630_20181025_18-44-29_21460-30528\Mouse630_20181025_18-44-29_21460-30528_XW_tk_final.annot,9056,30.0,30.0,0.8864840989399293,0.7937616561301478,0.8829787234042554,0.8617021276595744,0.7553191489361702,33,39,full,attention,256,42,yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed42,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42\test_2\Mouse630_20181025_18-44-29_21460-30528\Mouse630_20181025_18-44-29_21460-30528.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_2\Mouse630_20181025_18-44-29_21460-30528\Mouse630_20181025_18-44-29_21460-30528_XW_tk_final.annot,9056,30.0,30.0,0.8862632508833922,0.7872026539250313,0.855,0.8341666666666667,0.73,33,42,pose_relations_only,attention,256,42,yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention256_seed42,0.006559002205116515,0.027535460992907712,0.025319148936170266,3,Mouse630
test_2,Mouse835-female_20200325_18-28-49_10767-24391,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42\test_2\Mouse835-female_20200325_18-28-49_10767-24391\Mouse835-female_20200325_18-28-49_10767-24391.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_2\Mouse835-female_20200325_18-28-49_10767-24391\Mouse835-female_20200325_18-28-49_10767-24391_TK_withUSV.annot,13616,30.0,30.0,0.9095916568742656,0.9010655776855102,0.8918918918918919,0.8783783783783783,0.7702702702702703,49,43,full,attention,256,42,yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed42,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42\test_2\Mouse835-female_20200325_18-28-49_10767-24391\Mouse835-female_20200325_18-28-49_10767-24391.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_2\Mouse835-female_20200325_18-28-49_10767-24391\Mouse835-female_20200325_18-28-49_10767-24391_TK_withUSV.annot,13616,30.0,30.0,0.9011457109283196,0.8941621419101877,0.8572549019607844,0.843921568627451,0.7505882352941177,49,47,pose_relations_only,attention,256,42,yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention256_seed42,0.006903435775322486,0.03445680975092724,0.019682034976152618,-4,Mouse835
test_2,Mouse627_20181026_17-29-36_01994-09560,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42\test_2\Mouse627_20181026_17-29-36_01994-09560\Mouse627_20181026_17-29-36_01994-09560.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_2\Mouse627_20181026_17-29-36_01994-09560\Mouse627_20181026_17-29-36_01994-09560_XW_tk_final.annot,7552,30.0,30.0,0.8918167372881356,0.8819811764536898,0.8898305084745763,0.8898305084745763,0.8050847457627119,39,39,full,attention,256,42,yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed42,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42\test_2\Mouse627_20181026_17-29-36_01994-09560\Mouse627_20181026_17-29-36_01994-09560.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_2\Mouse627_20181026_17-29-36_01994-09560\Mouse627_20181026_17-29-36_01994-09560_XW_tk_final.annot,7552,30.0,30.0,0.8854608050847458,0.8738181389211701,0.9000000000000001,0.8833333333333333,0.7444444444444445,39,40,pose_relations_only,attention,256,42,yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention256_seed42,0.008163037532519679,0.006497175141243039,0.060640301318267475,1,Mouse627
test_1,Mouse062_20160526_18-56-26,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42\test_1\Mouse062_20160526_18-56-26\Mouse062_20160526_18-56-26.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_1\Mouse062_20160526_18-56-26\Mouse062_20160526_18-56-26_anno.annot,19632,30.0,30.0,0.9378565607171964,0.952790801023416,0.7679487179487179,0.7679487179487179,0.7262820512820511,79,54,full,attention,256,42,yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_full_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed42,smoothed_frames,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42\test_1\Mouse062_20160526_18-56-26\Mouse062_20160526_18-56-26.behavior.smoothed_frames.csv,<MARS_DATA_ROOT>\test_1\Mouse062_20160526_18-56-26\Mouse062_20160526_18-56-26_anno.annot,19632,30.0,30.0,0.9302159739201304,0.9416921762910788,0.7718253968253967,0.763888888888889,0.6378968253968255,79,69,pose_relations_only,attention,256,42,yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_pose_relations_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention256_seed42,0.011098624732337137,0.004059829059828934,0.08838522588522568,-15,Mouse062
