track,from_behavior,to_behavior,model_probability,ground_truth_probability,difference_model_minus_ground_truth
Full attention-256,attack,attack,0.3382352941176471,0.06741573033707865,0.27081956378056843
Full attention-256,attack,investigation,0.6102941176470589,0.9269662921348315,-0.31667217448777263
Full attention-256,attack,mount,0.051470588235294115,0.0056179775280898875,0.04585261070720423
Full attention-256,investigation,attack,0.1925754060324826,0.22714681440443213,-0.034571408371949525
Full attention-256,investigation,investigation,0.5928074245939675,0.6301939058171745,-0.03738648122320698
Full attention-256,investigation,mount,0.21461716937354988,0.14265927977839335,0.07195788959515653
Full attention-256,mount,attack,0.055,0.0049261083743842365,0.05007389162561576
Full attention-256,mount,investigation,0.915,0.9950738916256158,-0.08007389162561573
Full attention-256,mount,mount,0.03,0.0,0.03
Full LSTM-256,attack,attack,0.3442622950819672,0.06741573033707865,0.27684656474488856
Full LSTM-256,attack,investigation,0.6065573770491803,0.9269662921348315,-0.32040891508565117
Full LSTM-256,attack,mount,0.04918032786885246,0.0056179775280898875,0.04356235034076257
Full LSTM-256,investigation,attack,0.21505376344086022,0.22714681440443213,-0.01209305096357191
Full LSTM-256,investigation,investigation,0.5603345280764636,0.6301939058171745,-0.06985937774071094
Full LSTM-256,investigation,mount,0.22461170848267623,0.14265927977839335,0.08195242870428288
Full LSTM-256,mount,attack,0.09268292682926829,0.0049261083743842365,0.08775681845488406
Full LSTM-256,mount,investigation,0.8731707317073171,0.9950738916256158,-0.1219031599182987
Full LSTM-256,mount,mount,0.03414634146341464,0.0,0.03414634146341464
