track,from_behavior,to_behavior,transition_count
Ground truth,attack,attack,0
Ground truth,attack,investigation,15
Ground truth,attack,mount,0
Ground truth,attack,other,341
Ground truth,investigation,attack,15
Ground truth,investigation,investigation,0
Ground truth,investigation,mount,16
Ground truth,investigation,other,1434
Ground truth,mount,attack,0
Ground truth,mount,investigation,19
Ground truth,mount,mount,0
Ground truth,mount,other,187
Ground truth,other,attack,341
Ground truth,other,investigation,1433
Ground truth,other,mount,192
Ground truth,other,other,0
Full attention-256,attack,attack,0
Full attention-256,attack,investigation,98
Full attention-256,attack,mount,13
Full attention-256,attack,other,162
Full attention-256,investigation,attack,131
Full attention-256,investigation,investigation,0
Full attention-256,investigation,mount,163
Full attention-256,investigation,other,587
Full attention-256,mount,attack,11
Full attention-256,mount,investigation,140
Full attention-256,mount,mount,0
Full attention-256,mount,other,52
Full attention-256,other,attack,127
Full attention-256,other,investigation,631
Full attention-256,other,mount,29
Full attention-256,other,other,0
Full LSTM-256,attack,attack,0
Full LSTM-256,attack,investigation,107
Full LSTM-256,attack,mount,14
Full LSTM-256,attack,other,189
Full LSTM-256,investigation,attack,149
Full LSTM-256,investigation,investigation,0
Full LSTM-256,investigation,mount,168
Full LSTM-256,investigation,other,535
Full LSTM-256,mount,attack,17
Full LSTM-256,mount,investigation,135
Full LSTM-256,mount,mount,0
Full LSTM-256,mount,other,56
Full LSTM-256,other,attack,139
Full LSTM-256,other,investigation,599
Full LSTM-256,other,mount,28
Full LSTM-256,other,other,0
