split,video_id,prediction_type,class,start_frame,end_frame,duration_frames,model_name,track,head,capacity,seed
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,6,22,17,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,49,123,75,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,152,293,142,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,313,689,377,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,716,1090,375,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,1117,1288,172,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,1306,1602,297,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,1653,1780,128,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,1801,1967,167,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,2178,2323,146,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,mount,2325,2421,97,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,2559,2597,39,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,mount,2599,2664,66,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,2666,2680,15,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,2820,2848,29,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,mount,2850,3106,257,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,3108,3138,31,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,3295,3311,17,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,mount,3313,3435,123,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,3437,3460,24,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,3537,3566,30,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,mount,3568,3632,65,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,3634,3689,56,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,mount,3691,3734,44,ground_truth,Ground truth,ground_truth,0,0
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,3736,3800,65,ground_truth,Ground truth,ground_truth,0,0
