track,head,capacity,seed,class,n_bouts,median_duration_frames,mean_duration_frames,total_duration_frames
Attention-256,attention,256,42,attack,273,64.0,90.1978021978022,24624
Attention-256,attention,256,42,investigation,884,48.0,96.0,84864
Attention-256,attention,256,42,mount,205,80.0,182.3219512195122,37376
Attention-256,attention,256,43,attack,266,64.0,85.23308270676692,22672
Attention-256,attention,256,43,investigation,885,48.0,94.62598870056497,83744
Attention-256,attention,256,43,mount,186,80.0,182.79569892473117,34000
Attention-256,attention,256,44,attack,268,64.0,89.67164179104478,24032
Attention-256,attention,256,44,investigation,944,48.0,97.67796610169492,92208
Attention-256,attention,256,44,mount,207,80.0,179.78743961352657,37216
Attention-512,attention,512,42,attack,333,64.0,90.61861861861861,30176
Attention-512,attention,512,42,investigation,875,48.0,94.93942857142856,83072
Attention-512,attention,512,42,mount,189,80.0,186.15873015873015,35184
Attention-512,attention,512,43,attack,285,64.0,90.27368421052631,25728
Attention-512,attention,512,43,investigation,936,48.0,97.93162393162393,91664
Attention-512,attention,512,43,mount,191,80.0,180.27225130890054,34432
Attention-512,attention,512,44,attack,288,80.0,95.72222222222223,27568
Attention-512,attention,512,44,investigation,898,48.0,98.49443207126949,88448
Attention-512,attention,512,44,mount,197,80.0,184.2030456852792,36288
Attention-896,attention,896,42,attack,287,64.0,93.71428571428571,26896
Attention-896,attention,896,42,investigation,852,48.0,92.97652582159624,79216
Attention-896,attention,896,42,mount,232,80.0,172.27586206896552,39968
Attention-896,attention,896,43,attack,265,80.0,93.94716981132075,24896
Attention-896,attention,896,43,investigation,974,48.0,99.08829568788501,96512
Attention-896,attention,896,43,mount,185,80.0,182.4,33744
Attention-896,attention,896,44,attack,282,64.0,95.09219858156028,26816
Attention-896,attention,896,44,investigation,950,48.0,99.43578947368421,94464
Attention-896,attention,896,44,mount,188,80.0,181.7872340425532,34176
Ground truth,ground_truth,0,0,attack,356,39.0,53.561797752808985,19068
Ground truth,ground_truth,0,0,investigation,1467,21.0,52.29652351738241,76719
Ground truth,ground_truth,0,0,mount,208,74.5,169.61057692307693,35279
LSTM-256,lstm,256,42,attack,310,48.0,75.35483870967742,23360
LSTM-256,lstm,256,42,investigation,855,48.0,97.25380116959064,83152
LSTM-256,lstm,256,42,mount,210,80.0,176.68571428571428,37104
LSTM-256,lstm,256,43,attack,261,64.0,75.89272030651341,19808
LSTM-256,lstm,256,43,investigation,903,48.0,92.95238095238095,83936
LSTM-256,lstm,256,43,mount,195,80.0,182.15384615384616,35520
LSTM-256,lstm,256,44,attack,276,64.0,77.6231884057971,21424
LSTM-256,lstm,256,44,investigation,958,48.0,92.91022964509395,89008
LSTM-256,lstm,256,44,mount,212,80.0,171.24528301886792,36304
LSTM-512,lstm,512,42,attack,278,64.0,87.19424460431655,24240
LSTM-512,lstm,512,42,investigation,943,48.0,97.3913043478261,91840
LSTM-512,lstm,512,42,mount,198,80.0,172.44444444444446,34144
LSTM-512,lstm,512,43,attack,254,64.0,76.7244094488189,19488
LSTM-512,lstm,512,43,investigation,912,48.0,90.21052631578948,82272
LSTM-512,lstm,512,43,mount,198,80.0,171.87878787878788,34032
LSTM-512,lstm,512,44,attack,260,64.0,87.32307692307693,22704
LSTM-512,lstm,512,44,investigation,979,48.0,100.60878447395301,98496
LSTM-512,lstm,512,44,mount,187,80.0,182.67379679144386,34160
LSTM-896,lstm,896,42,attack,285,64.0,89.03859649122808,25376
LSTM-896,lstm,896,42,investigation,917,48.0,96.43620501635769,88432
LSTM-896,lstm,896,42,mount,198,80.0,163.23232323232324,32320
LSTM-896,lstm,896,43,attack,248,80.0,92.25806451612904,22880
LSTM-896,lstm,896,43,investigation,966,48.0,95.42028985507247,92176
LSTM-896,lstm,896,43,mount,204,80.0,156.31372549019608,31888
LSTM-896,lstm,896,44,attack,264,64.0,89.15151515151516,23536
LSTM-896,lstm,896,44,investigation,981,48.0,101.79001019367992,99856
LSTM-896,lstm,896,44,mount,196,80.0,156.0,30576
