track,head,capacity,seed,model_name,from_behavior,to_behavior,same_class,gap_frames,gap_s,current_duration_frames,next_duration_frames,split,video_id
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,26,0.8666666666666667,17,75,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,28,0.9333333333333333,75,142,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,19,0.6333333333333333,142,377,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,26,0.8666666666666667,377,375,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,26,0.8666666666666667,375,172,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,17,0.5666666666666667,172,297,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,50,1.6666666666666667,297,128,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,20,0.6666666666666666,128,167,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,210,7.0,167,146,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,146,97,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,137,4.566666666666666,97,39,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,39,66,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,1,0.03333333333333333,66,15,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,139,4.633333333333334,15,29,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,29,257,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,1,0.03333333333333333,257,31,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,156,5.2,31,17,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,17,123,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,1,0.03333333333333333,123,24,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,76,2.533333333333333,24,30,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,30,65,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,1,0.03333333333333333,65,56,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,56,44,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,1,0.03333333333333333,44,65,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,65,15,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,1,0.03333333333333333,15,21,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,20,0.6666666666666666,21,123,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,18,0.6,123,56,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,234,7.8,56,57,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,57,154,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,110,3.6666666666666665,154,74,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,74,24,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,1,0.03333333333333333,24,7,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,246,8.2,7,62,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,62,156,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,729,24.3,156,84,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,84,325,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,595,19.833333333333332,325,28,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,28,35,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,1,0.03333333333333333,35,65,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,131,4.366666666666666,65,59,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,59,216,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,323,10.766666666666667,216,8,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,217,7.233333333333333,8,11,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,15,0.5,11,9,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,242,8.066666666666666,9,61,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,706,23.533333333333335,61,53,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,53,249,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,1,0.03333333333333333,249,7,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,191,6.366666666666666,7,23,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,23,76,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,267,8.9,76,12,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,335,11.166666666666666,12,69,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,69,49,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,1,0.03333333333333333,49,191,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,295,9.833333333333334,191,117,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,878,29.266666666666666,117,37,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,37,171,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,85,2.8333333333333335,171,19,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,19,131,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,1,0.03333333333333333,131,6,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,236,7.866666666666666,6,12,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,521,17.366666666666667,12,58,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,58,40,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,1,0.03333333333333333,40,10,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,292,9.733333333333333,10,16,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,77,2.566666666666667,16,16,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,16,103,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,1,0.03333333333333333,103,11,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,158,5.266666666666667,11,39,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,307,10.233333333333333,39,17,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,319,10.633333333333333,17,63,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,506,16.866666666666667,63,227,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,95,3.1666666666666665,227,8,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,597,19.9,8,24,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,293,9.766666666666667,24,24,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,74,2.466666666666667,24,53,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,299,9.966666666666667,53,159,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,105,3.5,159,87,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,195,6.5,87,31,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,95,3.1666666666666665,31,25,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,499,16.633333333333333,25,4,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,344,11.466666666666667,4,19,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,19,188,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,482,16.066666666666666,188,40,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,40,74,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,1,0.03333333333333333,74,23,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,473,15.766666666666667,23,6,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,584,19.466666666666665,6,5,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,63,2.1,5,116,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,214,7.133333333333334,116,12,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,57,1.9,12,45,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,45,12,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,124,4.133333333333334,12,9,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,214,7.133333333333334,9,27,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,27,43,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,1,0.03333333333333333,43,56,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,13,0.43333333333333335,56,27,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,158,5.266666666666667,27,24,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,42,1.4,24,34,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,522,17.4,34,20,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,36,1.2,20,9,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,593,19.766666666666666,9,48,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,195,6.5,48,40,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,mount,False,1,0.03333333333333333,40,38,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,mount,investigation,False,1,0.03333333333333333,38,11,test_1,Mouse060_20160526_18-16-27
Ground truth,ground_truth,0,0,ground_truth,investigation,investigation,True,390,13.0,11,48,test_1,Mouse060_20160526_18-16-27
