track,head,capacity,class,n_seeds,gt_bouts_with_any_overlap_mean,gt_bouts_split_by_multiple_predictions_mean,fraction_gt_bouts_split_mean,mean_gt_coverage_fraction_mean,gt_bouts_with_any_overlap_sd,gt_bouts_split_by_multiple_predictions_sd,fraction_gt_bouts_split_sd,mean_gt_coverage_fraction_sd
Attention-256,attention,256,attack,3,325.0,18.0,0.05056179775280898,0.8356552973566949,2.0,3.0,0.008426966292134831,0.017725805392225423
Attention-256,attention,256,investigation,3,951.0,18.333333333333332,0.012497159736423541,0.5644909878441379,45.033320996790806,3.511884584284246,0.002393922688673651,0.032131865104455946
Attention-256,attention,256,mount,3,177.33333333333334,4.0,0.019230769230769232,0.7656783498562261,9.291573243177568,4.358898943540674,0.020956244920868623,0.058366217291662595
Attention-512,attention,512,attack,3,337.0,13.666666666666666,0.038389513108614236,0.8972711102075187,3.4641016151377544,3.055050463303893,0.008581602425010935,0.020319158581389617
Attention-512,attention,512,investigation,3,945.0,25.666666666666668,0.017496023630992955,0.5658250697572389,50.86255990411808,9.29157324317757,0.006333724092145583,0.041047829320434694
Attention-512,attention,512,mount,3,172.33333333333334,5.333333333333333,0.025641025641025644,0.7365623391972348,4.725815626252605,3.055050463303893,0.014687742612037952,0.032089763895350946
Attention-896,attention,896,attack,3,333.3333333333333,14.333333333333334,0.04026217228464419,0.8858943438548886,2.3094010767585114,2.0816659994661326,0.005847376402994758,0.009498348432409326
Attention-896,attention,896,investigation,3,968.3333333333334,21.333333333333332,0.014542149511474665,0.5807976565384557,93.17903913076874,11.846237095944574,0.008075144578012661,0.08000853158549454
Attention-896,attention,896,mount,3,178.0,6.333333333333333,0.03044871794871795,0.7674399983481157,16.46207763315433,3.7859388972001824,0.018201629313462416,0.1105779272005126
LSTM-256,lstm,256,attack,3,310.6666666666667,17.333333333333332,0.04868913857677903,0.7647914418450045,9.073771725877465,4.041451884327381,0.011352392933503878,0.03544535874672858
LSTM-256,lstm,256,investigation,3,929.0,20.333333333333332,0.01386048625312429,0.5437196538101682,39.50949253027682,4.163331998932265,0.0028379904559865487,0.028670282466285085
LSTM-256,lstm,256,mount,3,177.66666666666666,2.6666666666666665,0.012820512820512822,0.7495464420208428,5.131601439446887,1.5275252316519468,0.007343871306018975,0.028273659133581434
LSTM-512,lstm,512,attack,3,315.6666666666667,16.666666666666668,0.04681647940074907,0.7986514713110022,14.977761292440645,2.081665999466133,0.005847376402994753,0.05928250464097958
LSTM-512,lstm,512,investigation,3,975.3333333333334,19.0,0.012951601908657124,0.5784343102640702,70.46512139586032,7.211102550927978,0.004915543661164267,0.06048260155294439
LSTM-512,lstm,512,mount,3,170.33333333333334,7.333333333333333,0.035256410256410256,0.6855850022472719,4.163331998932267,2.516611478423583,0.012099093646267227,0.021809792979745623
LSTM-896,lstm,896,attack,3,323.0,15.333333333333334,0.04307116104868913,0.838191613133502,7.54983443527075,1.1547005383792517,0.003243540838143966,0.02793516683366405
LSTM-896,lstm,896,investigation,3,986.3333333333334,17.333333333333332,0.011815496478073166,0.5906304725881032,62.06716791777543,7.767453465154029,0.005294787638141807,0.04520522239326211
LSTM-896,lstm,896,mount,3,163.0,13.666666666666666,0.06570512820512821,0.6348975450567625,4.58257569495584,1.1547005383792517,0.005551444896054088,0.03336182499073437
