track,head,capacity,seed,model_name,from_behavior,to_behavior,same_class,gap_frames,gap_s,current_duration_frames,next_duration_frames,split,video_id
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,investigation,True,16,0.5333333333333333,1088,672,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,attack,False,0,0.0,672,16,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,attack,investigation,False,0,0.0,16,176,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,investigation,True,192,6.4,176,160,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,mount,False,0,0.0,160,96,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,mount,investigation,False,0,0.0,96,32,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,investigation,True,112,3.7333333333333334,32,32,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,mount,False,0,0.0,32,80,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,mount,investigation,False,0,0.0,80,16,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,investigation,True,128,4.266666666666667,16,32,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,mount,False,0,0.0,32,272,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,mount,investigation,False,0,0.0,272,32,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,investigation,True,128,4.266666666666667,32,32,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,mount,False,0,0.0,32,128,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,mount,investigation,False,0,0.0,128,64,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,investigation,True,32,1.0666666666666667,64,32,test_1,Mouse060_20160526_18-16-27
