track,head,capacity,from_behavior,n_seeds,same_class_transitions_mean,median_same_class_gap_frames_mean,p25_same_class_gap_frames_mean,p75_same_class_gap_frames_mean,fraction_same_class_gap_le_15_frames_mean,same_class_transitions_sd,median_same_class_gap_frames_sd,p25_same_class_gap_frames_sd,p75_same_class_gap_frames_sd,fraction_same_class_gap_le_15_frames_sd
Ground truth,ground_truth,0,attack,1,24.0,14.0,8.75,38.25,0.5833333333333334,0.0,0.0,0.0,0.0,0.0
Ground truth,ground_truth,0,investigation,1,910.0,103.0,36.0,236.75,0.08351648351648351,0.0,0.0,0.0,0.0,0.0
Attention-256,attention,256,attack,3,83.0,48.0,32.0,92.0,0.0,10.14889156509222,0.0,0.0,10.583005244258363,0.0
Attention-256,attention,256,investigation,3,526.3333333333334,144.0,65.33333333333333,309.3333333333333,0.0,20.792626898334245,0.0,2.309401076758505,9.237604307034008,0.0
Attention-256,attention,256,mount,3,5.0,128.0,120.0,309.3333333333333,0.0,1.0,0.0,13.856406460551018,103.87171575233239,0.0
Attention-512,attention,512,attack,3,95.66666666666667,50.666666666666664,32.0,106.66666666666667,0.0,16.802777548171413,4.618802153517007,0.0,9.237604307034012,0.0
Attention-512,attention,512,investigation,3,525.3333333333334,144.0,74.66666666666667,309.3333333333333,0.0,23.028967265887832,0.0,9.237604307034012,9.23760430703402,0.0
Attention-512,attention,512,mount,3,4.666666666666667,112.0,86.66666666666667,278.6666666666667,0.0,1.5275252316519465,27.712812921102035,28.37839553839035,155.03977984160494,0.0
Attention-896,attention,896,attack,3,85.0,48.0,32.0,92.0,0.0,19.519221295943137,0.0,0.0,17.435595774162696,0.0
Attention-896,attention,896,investigation,3,542.0,144.0,69.33333333333333,304.0,0.0,64.5832795698701,0.0,9.237604307034013,0.0,0.0
Attention-896,attention,896,mount,3,4.666666666666667,112.0,96.0,190.66666666666666,0.0,4.618802153517007,13.856406460551018,6.928203230275509,129.32646029847618,0.0
LSTM-256,lstm,256,attack,3,81.33333333333333,64.0,48.0,108.0,0.0,20.647840887931437,0.0,0.0,6.928203230275509,0.0
LSTM-256,lstm,256,investigation,3,514.6666666666666,144.0,64.0,320.0,0.0,42.122836245121654,0.0,0.0,0.0,0.0
LSTM-256,lstm,256,mount,3,4.666666666666667,154.66666666666666,102.66666666666667,224.0,0.0,2.081665999466133,60.57502235520292,37.16629297271028,69.74238309665078,0.0
LSTM-512,lstm,512,attack,3,70.33333333333333,64.0,42.666666666666664,106.66666666666667,0.0,13.05118130030126,0.0,9.237604307034013,6.110100926607786,0.0
LSTM-512,lstm,512,investigation,3,558.0,144.0,64.0,310.6666666666667,0.0,27.055498516937366,0.0,0.0,8.326663997864536,0.0
LSTM-512,lstm,512,mount,3,2.3333333333333335,202.66666666666666,186.66666666666666,249.33333333333334,0.0,1.5275252316519468,157.24291186992605,170.9424854544163,130.25103966315714,0.0
LSTM-896,lstm,896,attack,3,70.33333333333333,53.333333333333336,32.0,93.33333333333333,0.0,23.180451534284945,9.237604307034013,0.0,16.65332799572906,0.0
LSTM-896,lstm,896,investigation,3,555.0,144.0,69.33333333333333,320.0,0.0,20.8806130178211,0.0,9.237604307034013,0.0,0.0
LSTM-896,lstm,896,mount,1,3.0,144.0,104.0,264.0,0.0,,,,,
