track,class,gt_start_frame,gt_end_frame,gt_duration_frames,overlapping_pred_bouts,covered_gt_frames,gt_coverage_fraction,split,video_id
Full attention-256,investigation,6,22,17,1,17,1.0,test_1,Mouse060_20160526_18-16-27
Full attention-256,investigation,49,123,75,1,75,1.0,test_1,Mouse060_20160526_18-16-27
Full attention-256,investigation,152,293,142,1,142,1.0,test_1,Mouse060_20160526_18-16-27
Full attention-256,investigation,313,689,377,1,377,1.0,test_1,Mouse060_20160526_18-16-27
Full attention-256,investigation,716,1090,375,1,372,0.992,test_1,Mouse060_20160526_18-16-27
Full attention-256,investigation,1117,1288,172,1,172,1.0,test_1,Mouse060_20160526_18-16-27
Full attention-256,investigation,1306,1602,297,1,297,1.0,test_1,Mouse060_20160526_18-16-27
Full attention-256,investigation,1653,1780,128,1,123,0.9609375,test_1,Mouse060_20160526_18-16-27
Full attention-256,investigation,1801,1967,167,1,167,1.0,test_1,Mouse060_20160526_18-16-27
Full attention-256,investigation,2178,2323,146,1,142,0.9726027397260274,test_1,Mouse060_20160526_18-16-27
Full attention-256,mount,2325,2421,97,1,91,0.9381443298969072,test_1,Mouse060_20160526_18-16-27
Full attention-256,investigation,2559,2597,39,1,32,0.8205128205128205,test_1,Mouse060_20160526_18-16-27
Full attention-256,mount,2599,2664,66,1,66,1.0,test_1,Mouse060_20160526_18-16-27
Full attention-256,investigation,2666,2680,15,1,9,0.6,test_1,Mouse060_20160526_18-16-27
Full attention-256,investigation,2820,2848,29,1,28,0.9655172413793104,test_1,Mouse060_20160526_18-16-27
Full attention-256,mount,2850,3106,257,1,257,1.0,test_1,Mouse060_20160526_18-16-27
Full attention-256,investigation,3108,3138,31,1,19,0.6129032258064516,test_1,Mouse060_20160526_18-16-27
Full attention-256,investigation,3295,3311,17,1,17,1.0,test_1,Mouse060_20160526_18-16-27
Full attention-256,mount,3313,3435,123,1,123,1.0,test_1,Mouse060_20160526_18-16-27
Full attention-256,investigation,3437,3460,24,1,21,0.875,test_1,Mouse060_20160526_18-16-27
Full attention-256,investigation,3537,3566,30,1,30,1.0,test_1,Mouse060_20160526_18-16-27
Full attention-256,mount,3568,3632,65,1,64,0.9846153846153847,test_1,Mouse060_20160526_18-16-27
Full attention-256,investigation,3634,3689,56,1,46,0.8214285714285714,test_1,Mouse060_20160526_18-16-27
