model_name,head,capacity,seed,track,split,video_id,gt_sequence_length,pred_sequence_length,sequence_length_ratio_pred_over_gt,levenshtein_distance,normalized_edit_similarity,n,ngram_tp,pred_ngram_total,gt_ngram_total,ngram_precision,ngram_recall,ngram_f1
yolo_sppf_full_attention256_seed42,attention,256,42,Attention-256,test_1,Mouse060_20160526_18-16-27,109,104,0.9541284403669725,21,0.8073394495412844,1,99,104,109,0.9519230769230769,0.908256880733945,0.9295774647887324
yolo_sppf_full_attention256_seed42,attention,256,42,Attention-256,test_1,Mouse060_20160526_18-16-27,109,104,0.9541284403669725,21,0.8073394495412844,2,94,103,108,0.912621359223301,0.8703703703703703,0.8909952606635072
yolo_sppf_full_attention256_seed42,attention,256,42,Attention-256,test_1,Mouse060_20160526_18-16-27,109,104,0.9541284403669725,21,0.8073394495412844,3,83,102,107,0.8137254901960784,0.7757009345794392,0.7942583732057417
yolo_sppf_full_attention256_seed42,attention,256,42,Attention-256,test_1,Mouse060_20160526_18-16-27,109,104,0.9541284403669725,21,0.8073394495412844,4,76,101,106,0.7524752475247525,0.7169811320754716,0.7342995169082124
yolo_sppf_full_attention256_seed43,attention,256,43,Attention-256,test_1,Mouse060_20160526_18-16-27,109,101,0.926605504587156,20,0.8165137614678899,1,99,101,109,0.9801980198019802,0.908256880733945,0.9428571428571428
yolo_sppf_full_attention256_seed43,attention,256,43,Attention-256,test_1,Mouse060_20160526_18-16-27,109,101,0.926605504587156,20,0.8165137614678899,2,97,100,108,0.97,0.8981481481481481,0.9326923076923077
yolo_sppf_full_attention256_seed43,attention,256,43,Attention-256,test_1,Mouse060_20160526_18-16-27,109,101,0.926605504587156,20,0.8165137614678899,3,84,99,107,0.8484848484848485,0.7850467289719626,0.8155339805825242
yolo_sppf_full_attention256_seed43,attention,256,43,Attention-256,test_1,Mouse060_20160526_18-16-27,109,101,0.926605504587156,20,0.8165137614678899,4,77,98,106,0.7857142857142857,0.7264150943396226,0.7549019607843137
yolo_sppf_full_attention256_seed44,attention,256,44,Attention-256,test_1,Mouse060_20160526_18-16-27,109,111,1.018348623853211,19,0.8288288288288288,1,104,111,109,0.9369369369369369,0.9541284403669725,0.9454545454545454
yolo_sppf_full_attention256_seed44,attention,256,44,Attention-256,test_1,Mouse060_20160526_18-16-27,109,111,1.018348623853211,19,0.8288288288288288,2,97,110,108,0.8818181818181818,0.8981481481481481,0.8899082568807339
yolo_sppf_full_attention256_seed44,attention,256,44,Attention-256,test_1,Mouse060_20160526_18-16-27,109,111,1.018348623853211,19,0.8288288288288288,3,87,109,107,0.7981651376146789,0.8130841121495327,0.8055555555555556
yolo_sppf_full_attention256_seed44,attention,256,44,Attention-256,test_1,Mouse060_20160526_18-16-27,109,111,1.018348623853211,19,0.8288288288288288,4,82,108,106,0.7592592592592593,0.7735849056603774,0.7663551401869159
yolo_sppf_full_attention512_seed42,attention,512,42,Attention-512,test_1,Mouse060_20160526_18-16-27,109,123,1.128440366972477,32,0.7398373983739837,1,101,123,109,0.8211382113821138,0.926605504587156,0.8706896551724138
yolo_sppf_full_attention512_seed42,attention,512,42,Attention-512,test_1,Mouse060_20160526_18-16-27,109,123,1.128440366972477,32,0.7398373983739837,2,82,122,108,0.6721311475409836,0.7592592592592593,0.7130434782608696
yolo_sppf_full_attention512_seed42,attention,512,42,Attention-512,test_1,Mouse060_20160526_18-16-27,109,123,1.128440366972477,32,0.7398373983739837,3,68,121,107,0.5619834710743802,0.6355140186915887,0.5964912280701754
yolo_sppf_full_attention512_seed42,attention,512,42,Attention-512,test_1,Mouse060_20160526_18-16-27,109,123,1.128440366972477,32,0.7398373983739837,4,56,120,106,0.4666666666666667,0.5283018867924528,0.49557522123893805
yolo_sppf_full_attention512_seed43,attention,512,43,Attention-512,test_1,Mouse060_20160526_18-16-27,109,114,1.0458715596330275,22,0.8070175438596492,1,104,114,109,0.9122807017543859,0.9541284403669725,0.9327354260089685
yolo_sppf_full_attention512_seed43,attention,512,43,Attention-512,test_1,Mouse060_20160526_18-16-27,109,114,1.0458715596330275,22,0.8070175438596492,2,96,113,108,0.8495575221238938,0.8888888888888888,0.8687782805429864
yolo_sppf_full_attention512_seed43,attention,512,43,Attention-512,test_1,Mouse060_20160526_18-16-27,109,114,1.0458715596330275,22,0.8070175438596492,3,83,112,107,0.7410714285714286,0.7757009345794392,0.7579908675799087
yolo_sppf_full_attention512_seed43,attention,512,43,Attention-512,test_1,Mouse060_20160526_18-16-27,109,114,1.0458715596330275,22,0.8070175438596492,4,77,111,106,0.6936936936936937,0.7264150943396226,0.7096774193548386
yolo_sppf_full_attention512_seed44,attention,512,44,Attention-512,test_1,Mouse060_20160526_18-16-27,109,116,1.0642201834862386,25,0.7844827586206897,1,104,116,109,0.896551724137931,0.9541284403669725,0.9244444444444444
yolo_sppf_full_attention512_seed44,attention,512,44,Attention-512,test_1,Mouse060_20160526_18-16-27,109,116,1.0642201834862386,25,0.7844827586206897,2,96,115,108,0.8347826086956521,0.8888888888888888,0.8609865470852016
yolo_sppf_full_attention512_seed44,attention,512,44,Attention-512,test_1,Mouse060_20160526_18-16-27,109,116,1.0642201834862386,25,0.7844827586206897,3,83,114,107,0.7280701754385965,0.7757009345794392,0.751131221719457
yolo_sppf_full_attention512_seed44,attention,512,44,Attention-512,test_1,Mouse060_20160526_18-16-27,109,116,1.0642201834862386,25,0.7844827586206897,4,76,113,106,0.672566371681416,0.7169811320754716,0.6940639269406392
yolo_sppf_full_attention896_seed42,attention,896,42,Attention-896,test_1,Mouse060_20160526_18-16-27,109,103,0.944954128440367,26,0.7614678899082569,1,90,103,109,0.8737864077669902,0.8256880733944955,0.8490566037735849
yolo_sppf_full_attention896_seed42,attention,896,42,Attention-896,test_1,Mouse060_20160526_18-16-27,109,103,0.944954128440367,26,0.7614678899082569,2,82,102,108,0.803921568627451,0.7592592592592593,0.780952380952381
yolo_sppf_full_attention896_seed42,attention,896,42,Attention-896,test_1,Mouse060_20160526_18-16-27,109,103,0.944954128440367,26,0.7614678899082569,3,73,101,107,0.7227722772277227,0.6822429906542056,0.7019230769230769
