stream,head,capacity,seed,class,threshold,tp,fp,fn,bout_precision,bout_recall,bout_f1
animal_visual_only,attention,256,42,attack,0.1,209.0,178.0,147.0,0.5400516795865633,0.5870786516853933,0.5625841184387618
animal_visual_only,attention,256,42,attack,0.25,173.0,214.0,183.0,0.4470284237726098,0.4859550561797753,0.4656796769851952
animal_visual_only,attention,256,42,attack,0.5,99.0,288.0,257.0,0.2558139534883721,0.27808988764044945,0.26648721399730824
animal_visual_only,attention,256,42,investigation,0.1,678.0,279.0,789.0,0.7084639498432602,0.4621676891615542,0.5594059405940595
animal_visual_only,attention,256,42,investigation,0.25,592.0,365.0,875.0,0.6185997910135841,0.40354464894342196,0.4884488448844884
animal_visual_only,attention,256,42,investigation,0.5,364.0,593.0,1103.0,0.38035527690700105,0.24812542603953647,0.3003300330033003
animal_visual_only,attention,256,42,mount,0.1,158.0,64.0,50.0,0.7117117117117117,0.7596153846153846,0.7348837209302327
animal_visual_only,attention,256,42,mount,0.25,152.0,70.0,56.0,0.6846846846846847,0.7307692307692307,0.7069767441860465
animal_visual_only,attention,256,42,mount,0.5,126.0,96.0,82.0,0.5675675675675675,0.6057692307692307,0.5860465116279069
animal_visual_only,attention,256,43,attack,0.1,211.0,126.0,145.0,0.6261127596439169,0.5926966292134831,0.6089466089466089
animal_visual_only,attention,256,43,attack,0.25,177.0,160.0,179.0,0.5252225519287834,0.49719101123595505,0.5108225108225108
animal_visual_only,attention,256,43,attack,0.5,104.0,233.0,252.0,0.3086053412462908,0.29213483146067415,0.3001443001443001
animal_visual_only,attention,256,43,investigation,0.1,679.0,277.0,788.0,0.7102510460251046,0.46284935241990455,0.5604622368964094
animal_visual_only,attention,256,43,investigation,0.25,594.0,362.0,873.0,0.6213389121338913,0.4049079754601227,0.4903012794056955
animal_visual_only,attention,256,43,investigation,0.5,367.0,589.0,1100.0,0.38389121338912136,0.2501704158145876,0.30293025175402394
animal_visual_only,attention,256,43,mount,0.1,156.0,57.0,52.0,0.7323943661971831,0.75,0.7410926365795726
animal_visual_only,attention,256,43,mount,0.25,150.0,63.0,58.0,0.704225352112676,0.7211538461538461,0.7125890736342041
animal_visual_only,attention,256,43,mount,0.5,128.0,85.0,80.0,0.6009389671361502,0.6153846153846154,0.6080760095011877
animal_visual_only,attention,256,44,attack,0.1,219.0,136.0,137.0,0.6169014084507042,0.6151685393258427,0.6160337552742616
animal_visual_only,attention,256,44,attack,0.25,184.0,171.0,172.0,0.5183098591549296,0.5168539325842697,0.5175808720112517
animal_visual_only,attention,256,44,attack,0.5,102.0,253.0,254.0,0.28732394366197184,0.28651685393258425,0.2869198312236287
animal_visual_only,attention,256,44,investigation,0.1,701.0,304.0,766.0,0.6975124378109453,0.4778459441036128,0.5671521035598706
animal_visual_only,attention,256,44,investigation,0.25,591.0,414.0,876.0,0.5880597014925373,0.40286298568507156,0.4781553398058252
animal_visual_only,attention,256,44,investigation,0.5,354.0,651.0,1113.0,0.3522388059701492,0.24130879345603273,0.28640776699029125
animal_visual_only,attention,256,44,mount,0.1,161.0,61.0,47.0,0.7252252252252253,0.7740384615384616,0.7488372093023257
animal_visual_only,attention,256,44,mount,0.25,155.0,67.0,53.0,0.6981981981981982,0.7451923076923077,0.7209302325581396
animal_visual_only,attention,256,44,mount,0.5,139.0,83.0,69.0,0.6261261261261262,0.6682692307692307,0.6465116279069767
animal_visual_only,attention,512,42,attack,0.1,188.0,260.0,168.0,0.41964285714285715,0.5280898876404494,0.46766169154228854
animal_visual_only,attention,512,42,attack,0.25,143.0,305.0,213.0,0.31919642857142855,0.40168539325842695,0.35572139303482586
animal_visual_only,attention,512,42,attack,0.5,74.0,374.0,282.0,0.16517857142857142,0.20786516853932585,0.18407960199004975
animal_visual_only,attention,512,42,investigation,0.1,655.0,309.0,812.0,0.6794605809128631,0.44648943421949555,0.5388728918140683
animal_visual_only,attention,512,42,investigation,0.25,536.0,428.0,931.0,0.5560165975103735,0.36537150647580097,0.4409707939119704
animal_visual_only,attention,512,42,investigation,0.5,341.0,623.0,1126.0,0.3537344398340249,0.23244717109747784,0.2805429864253393
animal_visual_only,attention,512,42,mount,0.1,155.0,65.0,53.0,0.7045454545454546,0.7451923076923077,0.7242990654205609
animal_visual_only,attention,512,42,mount,0.25,150.0,70.0,58.0,0.6818181818181818,0.7211538461538461,0.7009345794392523
animal_visual_only,attention,512,42,mount,0.5,128.0,92.0,80.0,0.5818181818181818,0.6153846153846154,0.5981308411214953
animal_visual_only,attention,512,43,attack,0.1,216.0,118.0,140.0,0.6467065868263473,0.6067415730337079,0.6260869565217392
animal_visual_only,attention,512,43,attack,0.25,177.0,157.0,179.0,0.5299401197604791,0.49719101123595505,0.5130434782608695
animal_visual_only,attention,512,43,attack,0.5,99.0,235.0,257.0,0.2964071856287425,0.27808988764044945,0.28695652173913044
animal_visual_only,attention,512,43,investigation,0.1,725.0,307.0,742.0,0.7025193798449613,0.4942058623040218,0.5802320928371348
animal_visual_only,attention,512,43,investigation,0.25,618.0,414.0,849.0,0.5988372093023255,0.4212678936605317,0.49459783913565425
