stream,head,capacity,seed,class,threshold,matched_bouts,median_tiou,mean_tiou,median_abs_start_offset_frames,median_abs_end_offset_frames,median_abs_mean_boundary_offset_frames,q75_abs_mean_boundary_offset_frames,median_duration_error_frames,median_abs_duration_error_frames,median_pred_duration_frames,median_gt_duration_frames
animal_visual_only,attention,256,42,attack,0.1,209,0.46875,0.48632294545510785,23.0,18.0,26.0,47.5,38.0,44.0,111.0,58.0
animal_visual_only,attention,256,42,attack,0.25,173,0.5368852459016393,0.5485055213340222,22.0,16.0,23.0,38.5,33.0,39.0,111.0,68.0
animal_visual_only,attention,256,42,attack,0.5,99,0.6770833333333334,0.6826259490800568,16.0,11.0,16.0,25.5,22.0,29.0,111.0,85.0
animal_visual_only,attention,256,42,investigation,0.1,678,0.5247950819672131,0.531610797094942,12.0,13.0,15.0,29.375,16.0,24.0,63.0,43.5
animal_visual_only,attention,256,42,investigation,0.25,592,0.5625,0.5830989368055441,11.0,12.0,13.5,26.0,14.0,22.0,63.0,53.0
animal_visual_only,attention,256,42,investigation,0.5,364,0.7020976200080677,0.7124621363891731,10.0,9.0,11.5,20.125,10.5,16.0,79.0,65.0
animal_visual_only,attention,256,42,mount,0.1,158,0.7436026285272517,0.6923749451927957,9.0,14.0,13.25,23.75,-4.5,18.5,87.0,100.5
animal_visual_only,attention,256,42,mount,0.25,152,0.7719907407407407,0.7209508599001894,9.0,13.0,12.0,21.125,-2.5,18.0,95.0,99.5
animal_visual_only,attention,256,42,mount,0.5,126,0.8125,0.7913438143689498,8.5,10.5,10.5,18.375,1.0,15.0,111.0,100.5
animal_visual_only,attention,256,43,attack,0.1,211,0.4901960784313725,0.49692506291900473,22.0,18.0,23.0,46.0,32.0,40.0,111.0,58.0
animal_visual_only,attention,256,43,attack,0.25,177,0.55,0.557128373085918,20.0,16.0,21.0,41.5,30.0,35.0,111.0,65.0
animal_visual_only,attention,256,43,attack,0.5,104,0.6714638157894737,0.6843046756981097,14.0,11.5,14.5,21.0,21.0,23.5,95.0,70.5
animal_visual_only,attention,256,43,investigation,0.1,679,0.5263157894736842,0.533765965716182,11.0,13.0,14.0,28.0,14.0,23.0,63.0,42.0
animal_visual_only,attention,256,43,investigation,0.25,594,0.5786303107165505,0.5860674102455277,11.0,11.5,12.5,25.5,12.0,20.0,63.0,51.0
animal_visual_only,attention,256,43,investigation,0.5,367,0.7125,0.7140397262940171,10.0,9.0,10.5,20.0,10.0,16.0,79.0,64.0
animal_visual_only,attention,256,43,mount,0.1,156,0.7462731444848869,0.6914438300130832,9.0,14.0,13.5,23.0,-2.5,19.0,79.0,101.5
animal_visual_only,attention,256,43,mount,0.25,150,0.7602918586789554,0.7200494933951742,9.0,13.0,13.0,22.375,-0.5,19.0,95.0,99.5
animal_visual_only,attention,256,43,mount,0.5,128,0.8067121597655948,0.7851741918085049,9.0,11.0,11.25,19.5,1.0,15.5,111.0,101.0
animal_visual_only,attention,256,44,attack,0.1,219,0.4583333333333333,0.4803950060527627,22.0,18.0,22.5,46.5,34.0,40.0,95.0,57.0
animal_visual_only,attention,256,44,attack,0.25,184,0.53125,0.5371117803658051,20.0,16.0,20.25,41.5,31.0,37.0,95.0,64.5
animal_visual_only,attention,256,44,attack,0.5,102,0.65,0.6751252756129121,15.5,13.0,15.75,22.5,23.0,29.0,95.0,73.0
animal_visual_only,attention,256,44,investigation,0.1,701,0.5,0.5133673012628615,13.0,13.0,16.0,31.0,21.0,26.0,63.0,40.0
animal_visual_only,attention,256,44,investigation,0.25,591,0.5570175438596491,0.5753702393541189,12.0,12.0,14.5,28.0,19.0,24.0,63.0,50.0
animal_visual_only,attention,256,44,investigation,0.5,354,0.7038712686567165,0.7128435737294964,10.0,9.0,11.0,22.875,14.0,17.0,79.0,67.5
animal_visual_only,attention,256,44,mount,0.1,161,0.7634408602150538,0.7214286226962837,8.0,14.0,12.5,21.5,0.0,19.0,95.0,101.0
animal_visual_only,attention,256,44,mount,0.25,155,0.7777777777777778,0.7461684395586439,8.0,13.0,12.0,20.25,1.0,18.0,111.0,101.0
animal_visual_only,attention,256,44,mount,0.5,139,0.7956730769230769,0.7887952811464097,8.0,13.0,11.0,19.25,2.0,17.0,111.0,110.0
animal_visual_only,attention,512,42,attack,0.1,188,0.42782738095238093,0.44879520120998945,24.5,22.0,31.5,64.125,45.5,48.0,127.0,61.0
animal_visual_only,attention,512,42,attack,0.25,143,0.5147058823529411,0.5363975653272332,22.0,19.0,26.0,50.25,38.0,42.0,127.0,71.0
animal_visual_only,attention,512,42,attack,0.5,74,0.6576298701298702,0.685705563612002,16.5,12.5,17.75,23.875,22.5,29.0,111.0,86.5
animal_visual_only,attention,512,42,investigation,0.1,655,0.5,0.5112958840135426,12.0,15.0,16.0,32.0,15.0,25.0,63.0,44.0
animal_visual_only,attention,512,42,investigation,0.25,536,0.5743103956022382,0.5879425029491827,11.5,13.0,14.0,27.125,13.0,23.0,63.0,58.0
animal_visual_only,attention,512,42,investigation,0.5,341,0.6918918918918919,0.7096335816614177,9.0,10.0,11.5,22.0,10.0,18.0,79.0,70.0
animal_visual_only,attention,512,42,mount,0.1,155,0.75,0.7080803196958843,9.0,13.0,12.5,21.75,-3.0,21.0,95.0,102.0
animal_visual_only,attention,512,42,mount,0.25,150,0.7648222819593787,0.7334661399962111,9.0,13.0,12.25,20.75,-2.5,20.0,95.0,101.5
animal_visual_only,attention,512,42,mount,0.5,128,0.8095522150640261,0.7910163712636455,9.0,11.0,11.0,17.75,0.5,18.0,111.0,104.0
animal_visual_only,attention,512,43,attack,0.1,216,0.4583333333333333,0.48644814013461585,21.0,18.0,24.25,44.5,31.0,41.0,95.0,57.5
animal_visual_only,attention,512,43,attack,0.25,177,0.54,0.5515760547490742,19.0,15.0,22.0,41.0,28.0,36.0,95.0,66.0
animal_visual_only,attention,512,43,attack,0.5,99,0.6956521739130435,0.6966143078657526,14.0,10.0,14.5,23.0,21.0,26.0,95.0,77.0
animal_visual_only,attention,512,43,investigation,0.1,725,0.5,0.5121812944681725,12.0,14.0,15.0,30.5,19.0,26.0,63.0,40.0
animal_visual_only,attention,512,43,investigation,0.25,618,0.5619517543859649,0.574341168721182,11.0,12.0,13.5,26.5,17.0,24.0,63.0,48.0
animal_visual_only,attention,512,43,investigation,0.5,375,0.6875,0.7078357962610349,10.0,9.0,11.5,19.75,11.0,18.0,79.0,64.0
animal_visual_only,attention,512,43,mount,0.1,152,0.7559523809523809,0.6778622653679118,8.5,15.0,13.5,25.5,-7.0,21.0,79.0,102.5
animal_visual_only,attention,512,43,mount,0.25,144,0.7784237726098191,0.7209151718956694,8.5,13.5,13.25,22.625,-6.0,20.0,87.0,101.0
animal_visual_only,attention,512,43,mount,0.5,120,0.8130296610169492,0.7879047774872274,8.0,12.0,11.25,19.625,-0.5,15.5,111.0,111.5
animal_visual_only,attention,512,44,attack,0.1,212,0.43626308007279346,0.4650195073258148,23.0,19.0,26.0,50.625,37.0,43.5,95.0,58.0
animal_visual_only,attention,512,44,attack,0.25,171,0.5181818181818182,0.5326474308244025,21.0,18.0,22.5,42.5,32.0,40.0,95.0,68.0
animal_visual_only,attention,512,44,attack,0.5,93,0.6530612244897959,0.6760765099938761,14.0,14.0,17.5,24.0,22.0,30.0,95.0,78.0
animal_visual_only,attention,512,44,investigation,0.1,710,0.4894725177304964,0.49991658898279767,14.0,15.0,16.5,32.5,21.0,26.0,63.0,40.0
animal_visual_only,attention,512,44,investigation,0.25,590,0.5446428571428571,0.5664724588862996,13.0,12.0,14.5,28.0,19.0,24.0,63.0,49.5
animal_visual_only,attention,512,44,investigation,0.5,352,0.6875,0.699770533371939,12.0,9.0,11.5,22.0,14.5,19.0,79.0,65.5
animal_visual_only,attention,512,44,mount,0.1,164,0.7763888888888889,0.7276733584968762,8.0,13.5,11.75,20.25,1.5,17.5,95.0,99.5
animal_visual_only,attention,512,44,mount,0.25,159,0.7857142857142857,0.7564321605758546,8.0,13.0,11.5,19.5,2.0,17.0,111.0,100.0
animal_visual_only,attention,512,44,mount,0.5,143,0.8125,0.7974752880907909,8.0,12.0,10.5,18.5,2.0,16.0,111.0,105.0
animal_visual_only,attention,896,42,attack,0.1,198,0.42912946428571425,0.4642102932574232,23.5,20.0,30.0,57.875,41.5,47.0,127.0,60.5
animal_visual_only,attention,896,42,attack,0.25,160,0.5052742616033755,0.5318080549804487,22.0,18.5,23.5,44.75,35.5,40.5,127.0,70.5
animal_visual_only,attention,896,42,attack,0.5,82,0.6770833333333334,0.6889220650588697,15.0,12.0,15.75,23.0,22.0,28.0,111.0,82.0
animal_visual_only,attention,896,42,investigation,0.1,659,0.515625,0.5158138830056228,12.0,15.0,16.0,31.0,14.0,24.0,63.0,44.0
animal_visual_only,attention,896,42,investigation,0.25,562,0.5654739246288543,0.5769067114467321,11.0,13.0,14.0,27.5,13.0,22.0,63.0,55.0
animal_visual_only,attention,896,42,investigation,0.5,346,0.6875,0.7053018569875403,10.0,10.0,11.5,22.5,10.5,16.0,79.0,68.0
animal_visual_only,attention,896,42,mount,0.1,162,0.7482394366197183,0.6979982190737097,9.5,13.0,13.0,22.0,-0.5,21.0,95.0,99.5
animal_visual_only,attention,896,42,mount,0.25,157,0.7547169811320755,0.7277023503460509,10.0,13.0,13.0,20.0,-1.0,20.0,95.0,100.0
animal_visual_only,attention,896,42,mount,0.5,134,0.793426724137931,0.7859195882688211,10.0,11.0,12.0,18.375,1.0,18.5,111.0,101.5
animal_visual_only,attention,896,43,attack,0.1,211,0.46875,0.48812656302681734,22.0,18.0,24.0,47.25,34.0,40.0,95.0,58.0
animal_visual_only,attention,896,43,attack,0.25,173,0.5424836601307189,0.5535493953780543,20.0,16.0,20.0,38.5,31.0,36.0,95.0,68.0
animal_visual_only,attention,896,43,attack,0.5,98,0.679712918660287,0.6901325105332188,14.0,10.0,15.5,22.125,22.0,28.0,95.0,77.5
animal_visual_only,attention,896,43,investigation,0.1,688,0.5,0.5174056446756595,12.0,14.0,15.5,30.625,19.0,25.0,63.0,42.0
animal_visual_only,attention,896,43,investigation,0.25,588,0.5625,0.5781144006102613,12.0,12.0,14.0,27.0,17.0,23.5,63.0,52.5
animal_visual_only,attention,896,43,investigation,0.5,359,0.696969696969697,0.707731026536453,10.0,9.0,11.5,21.5,12.0,19.0,79.0,65.0
animal_visual_only,attention,896,43,mount,0.1,157,0.7678571428571429,0.7139701015114203,8.0,14.0,12.5,22.5,-6.0,17.0,95.0,102.0
animal_visual_only,attention,896,43,mount,0.25,151,0.7792792792792793,0.7453439944359068,9.0,13.0,12.0,19.75,-3.0,17.0,95.0,101.0
animal_visual_only,attention,896,43,mount,0.5,135,0.8053435114503816,0.7896780912273391,9.0,12.0,10.5,18.5,-3.0,15.0,95.0,103.0
animal_visual_only,attention,896,44,attack,0.1,216,0.46875,0.4824674010588233,21.0,18.0,25.0,46.5,32.5,41.0,95.0,58.0
animal_visual_only,attention,896,44,attack,0.25,179,0.5375,0.5432262463813108,19.0,17.0,22.0,40.25,30.0,37.0,95.0,66.0
animal_visual_only,attention,896,44,attack,0.5,102,0.6511022286821706,0.6708446269946757,13.5,13.0,16.25,24.0,21.0,28.0,95.0,75.0
animal_visual_only,attention,896,44,investigation,0.1,735,0.4776119402985074,0.48418084265203204,15.0,14.0,18.5,34.5,27.0,31.0,63.0,38.0
animal_visual_only,attention,896,44,investigation,0.25,590,0.5384615384615384,0.5626043282289372,13.0,12.5,15.5,29.875,23.0,27.0,79.0,47.0
animal_visual_only,attention,896,44,investigation,0.5,350,0.6875,0.6974482083847329,12.0,9.0,12.0,25.5,17.0,20.0,95.0,69.0
animal_visual_only,attention,896,44,mount,0.1,155,0.7790697674418605,0.7181981535222719,8.0,13.0,11.0,22.75,-4.0,19.0,95.0,102.0
animal_visual_only,attention,896,44,mount,0.25,151,0.7894736842105263,0.744013897205962,8.0,12.0,11.0,21.75,-3.0,18.0,95.0,102.0
animal_visual_only,attention,896,44,mount,0.5,132,0.8146743978590545,0.7973256542785987,7.0,10.5,10.25,18.125,-1.0,15.0,111.0,104.0
animal_visual_only,lstm,256,42,attack,0.1,209,0.5,0.5181076762213807,12.0,14.0,16.0,37.5,12.0,26.0,63.0,56.0
animal_visual_only,lstm,256,42,attack,0.25,181,0.5446428571428571,0.573400621503977,10.0,13.0,13.5,30.5,9.0,21.0,63.0,59.0
animal_visual_only,lstm,256,42,attack,0.5,109,0.7083333333333334,0.7048973253371722,7.0,9.0,10.0,15.5,8.0,16.0,63.0,58.0
animal_visual_only,lstm,256,42,investigation,0.1,800,0.4145833333333333,0.45336730158654676,17.0,14.0,21.0,42.0,33.0,36.0,79.0,34.0
animal_visual_only,lstm,256,42,investigation,0.25,621,0.5114503816793893,0.5356628428022706,15.0,12.0,17.0,36.0,26.0,30.0,79.0,42.0
animal_visual_only,lstm,256,42,investigation,0.5,329,0.671875,0.6936921695152991,12.0,8.0,11.5,28.0,18.0,21.0,79.0,65.0
animal_visual_only,lstm,256,42,mount,0.1,141,0.7058823529411765,0.6497595115453859,8.0,20.0,14.5,29.5,-19.0,24.0,79.0,105.0
animal_visual_only,lstm,256,42,mount,0.25,134,0.7169589552238806,0.6866222072679928,8.0,19.0,14.25,23.5,-18.0,24.0,79.0,104.0
animal_visual_only,lstm,256,42,mount,0.5,109,0.75,0.7562256978614429,8.0,16.0,13.0,21.0,-17.0,22.0,111.0,105.0
animal_visual_only,lstm,256,43,attack,0.1,213,0.4651162790697674,0.49967174174721846,14.0,18.0,20.5,38.0,16.0,33.0,79.0,56.0
animal_visual_only,lstm,256,43,attack,0.25,184,0.5208333333333334,0.5506543399183726,13.0,17.0,17.5,33.5,15.0,26.0,71.0,59.5
animal_visual_only,lstm,256,43,attack,0.5,98,0.7088178294573644,0.7112226619516391,9.0,10.0,11.75,17.875,12.5,17.5,79.0,62.5
animal_visual_only,lstm,256,43,investigation,0.1,761,0.5,0.5097785888752192,13.0,12.0,16.0,31.5,23.0,26.0,63.0,37.0
animal_visual_only,lstm,256,43,investigation,0.25,645,0.5625,0.5729121338403343,12.0,10.0,13.5,27.5,19.0,23.0,63.0,42.0
animal_visual_only,lstm,256,43,investigation,0.5,390,0.6971726190476191,0.7102819632365432,9.0,8.0,10.0,20.0,14.0,16.0,79.0,61.5
animal_visual_only,lstm,256,43,mount,0.1,150,0.7808689024390244,0.6997525381608278,8.0,14.0,13.0,23.0,-7.0,19.0,87.0,104.0
animal_visual_only,lstm,256,43,mount,0.25,142,0.7931014150943396,0.7331212129852945,8.0,13.0,12.0,21.125,-7.0,17.5,95.0,101.5
animal_visual_only,lstm,256,43,mount,0.5,119,0.821917808219178,0.7998603723824902,7.0,12.0,10.5,16.5,-6.0,15.0,95.0,110.0
animal_visual_only,lstm,256,44,attack,0.1,199,0.4609375,0.49357477102944713,14.0,17.0,21.0,40.0,13.0,35.0,63.0,57.0
animal_visual_only,lstm,256,44,attack,0.25,170,0.5208333333333334,0.5495568737555973,12.5,14.0,16.5,33.375,12.0,26.0,63.0,59.5
animal_visual_only,lstm,256,44,attack,0.5,92,0.7083333333333334,0.700336862506245,8.5,9.5,10.5,16.75,11.0,16.0,63.0,57.0
animal_visual_only,lstm,256,44,investigation,0.1,759,0.4875,0.4966655923139318,14.0,12.0,16.5,34.5,24.0,26.0,63.0,37.0
animal_visual_only,lstm,256,44,investigation,0.25,622,0.5625,0.5693473573654195,13.0,10.0,13.5,28.0,20.0,24.0,63.0,44.0
