split,video_id,prediction_type,class,gt_frames,pred_frames,frame_precision,frame_recall,frame_f1,bout_tp_iou10,bout_fp_iou10,bout_fn_iou10,bout_precision_iou10,bout_recall_iou10,bout_f1_iou10,bout_tp_iou25,bout_fp_iou25,bout_fn_iou25,bout_precision_iou25,bout_recall_iou25,bout_f1_iou25,bout_tp_iou50,bout_fp_iou50,bout_fn_iou50,bout_precision_iou50,bout_recall_iou50,bout_f1_iou50,cm_attack,cm_investigation,cm_mount,cm_other,stream,head,capacity,seed,model_name,eval_dir,train_dir
test_1,Mouse060_20160526_18-16-27,raw_windows,attack,0,1408,0.0,0.0,0.0,0,31,0,0.0,0.0,0.0,0,31,0,0.0,0.0,0.0,0,31,0,0.0,0.0,0.0,0,0,0,0,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse060_20160526_18-16-27,raw_windows,investigation,4887,6512,0.5945945945945946,0.7923061182729692,0.6793578384068778,55,35,28,0.6111111111111112,0.6626506024096386,0.6358381502890174,48,42,35,0.5333333333333333,0.5783132530120482,0.5549132947976878,25,65,58,0.2777777777777778,0.3012048192771084,0.2890173410404624,636,3872,141,238,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse060_20160526_18-16-27,raw_windows,mount,2868,2368,0.8471283783783784,0.699442119944212,0.7662337662337664,19,9,7,0.6785714285714286,0.7307692307692307,0.7037037037037038,18,10,8,0.6428571428571429,0.6923076923076923,0.6666666666666666,15,13,11,0.5357142857142857,0.5769230769230769,0.5555555555555555,545,317,2006,0,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse060_20160526_18-16-27,raw_windows,other,16533,14000,0.983,0.8323958144317426,0.9014508892018472,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,227,2323,221,13762,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse060_20160526_18-16-27,smoothed_frames,attack,0,1408,0.0,0.0,0.0,0,31,0,0.0,0.0,0.0,0,31,0,0.0,0.0,0.0,0,31,0,0.0,0.0,0.0,0,0,0,0,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse060_20160526_18-16-27,smoothed_frames,investigation,4887,6512,0.5945945945945946,0.7923061182729692,0.6793578384068778,55,35,28,0.6111111111111112,0.6626506024096386,0.6358381502890174,48,42,35,0.5333333333333333,0.5783132530120482,0.5549132947976878,25,65,58,0.2777777777777778,0.3012048192771084,0.2890173410404624,636,3872,141,238,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse060_20160526_18-16-27,smoothed_frames,mount,2868,2368,0.8471283783783784,0.699442119944212,0.7662337662337664,19,9,7,0.6785714285714286,0.7307692307692307,0.7037037037037038,18,10,8,0.6428571428571429,0.6923076923076923,0.6666666666666666,15,13,11,0.5357142857142857,0.5769230769230769,0.5555555555555555,545,317,2006,0,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse060_20160526_18-16-27,smoothed_frames,other,16533,14000,0.983,0.8323958144317426,0.9014508892018472,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,227,2323,221,13762,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse061_20160526_18-38-49,raw_windows,attack,0,80,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0,0,0,0,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse061_20160526_18-38-49,raw_windows,investigation,4598,7744,0.5830320247933884,0.9819486733362331,0.7316480311132718,36,25,17,0.5901639344262295,0.6792452830188679,0.631578947368421,35,26,18,0.5737704918032787,0.660377358490566,0.6140350877192982,25,36,28,0.4098360655737705,0.4716981132075472,0.4385964912280701,16,4515,31,36,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
