model_name,stream,head,capacity,seed,mean_bout_macro_f1_iou25_present_behaviors_raw_windows,mean_bout_macro_f1_iou25_present_behaviors_smoothed_frames,mean_frame_macro_f1_present_behaviors_raw_windows,mean_frame_macro_f1_present_behaviors_smoothed_frames,pred_bouts_total_raw_windows,pred_bouts_total_smoothed_frames,delta_mean_frame_macro_f1_present_behaviors_smoothed_minus_raw,delta_mean_bout_macro_f1_iou25_present_behaviors_smoothed_minus_raw,delta_pred_bouts_total_smoothed_minus_raw
yolo_sppf_animal_visual_only_attention256_seed42,animal_visual_only,attention,256,42,0.5760252869693526,0.5758133054416537,0.6764863570218068,0.6764464812625145,1562.0,1566.0,-3.9875759292318236e-05,-0.00021198152769896783,4.0
yolo_sppf_animal_visual_only_attention256_seed43,animal_visual_only,attention,256,43,0.5826840508595558,0.5824483594328279,0.6803691009209523,0.6803262948617345,1502.0,1506.0,-4.280605921780367e-05,-0.0002356914267278576,4.0
yolo_sppf_animal_visual_only_attention256_seed44,animal_visual_only,attention,256,44,0.5831312923639007,0.5829377189995956,0.683273870475,0.6832330929534948,1579.0,1582.0,-4.077752150521974e-05,-0.00019357336430514405,3.0
yolo_sppf_animal_visual_only_attention512_seed42,animal_visual_only,attention,512,42,0.5411097054754603,0.5408099201900163,0.6655300130890208,0.6654954347813848,1630.0,1632.0,-3.457830763597958e-05,-0.00029978528544405414,2.0
yolo_sppf_animal_visual_only_attention512_seed43,animal_visual_only,attention,512,43,0.5847895746003848,0.5845500465547343,0.6828241446674249,0.6827803567341132,1578.0,1582.0,-4.378793331172304e-05,-0.00023952804565052777,4.0
yolo_sppf_animal_visual_only_attention512_seed44,animal_visual_only,attention,512,44,0.5762289115405129,0.576044341588501,0.6790303196684774,0.6789900437905837,1655.0,1658.0,-4.02758778936807e-05,-0.00018456995201188153,3.0
yolo_sppf_animal_visual_only_attention896_seed42,animal_visual_only,attention,896,42,0.56071477250135,0.5605041473419915,0.6757390969642606,0.6757016370338735,1559.0,1563.0,-3.7459930387062634e-05,-0.0002106251593585462,4.0
yolo_sppf_animal_visual_only_attention896_seed43,animal_visual_only,attention,896,43,0.5831059740542016,0.5829124006898966,0.6829734728422089,0.6829322645382181,1557.0,1560.0,-4.1208303990791784e-05,-0.00019357336430503302,3.0
yolo_sppf_animal_visual_only_attention896_seed44,animal_visual_only,attention,896,44,0.5783914613306832,0.5781930486322705,0.6663698636042261,0.666326305901072,1630.0,1633.0,-4.355770315411789e-05,-0.0001984126984126977,3.0
yolo_sppf_animal_visual_only_lstm256_seed42,animal_visual_only,lstm,256,42,0.5307919895336322,0.5305582682781255,0.6110932384342159,0.611050703088018,1750.0,1754.0,-4.253534619791388e-05,-0.00023372125550669143,4.0
yolo_sppf_animal_visual_only_lstm256_seed43,animal_visual_only,lstm,256,43,0.5793534956554557,0.5791551303211365,0.6537297116116579,0.6536878657620229,1593.0,1597.0,-4.184584963506932e-05,-0.0001983653343191616,4.0
yolo_sppf_animal_visual_only_lstm256_seed44,animal_visual_only,lstm,256,44,0.5624645591929435,0.562236655609308,0.6484503487499619,0.6484089272516734,1567.0,1571.0,-4.1421498288451986e-05,-0.00022790358363544705,4.0
yolo_sppf_animal_visual_only_lstm512_seed42,animal_visual_only,lstm,512,42,0.5472615610439913,0.5471091529968464,0.6336145819035547,0.6335733008501702,1595.0,1598.0,-4.128105338452315e-05,-0.00015240804714489187,3.0
yolo_sppf_animal_visual_only_lstm512_seed43,animal_visual_only,lstm,512,43,0.5395151207049113,0.5393357522665326,0.6155751494752142,0.6155357140866575,1446.0,1450.0,-3.94353885566634e-05,-0.00017936843837862426,4.0
yolo_sppf_animal_visual_only_lstm512_seed44,animal_visual_only,lstm,512,44,0.5637233454509057,0.5635512229285801,0.6513981148569238,0.6513591044064689,1778.0,1782.0,-3.901045045484608e-05,-0.00017212252232567948,4.0
