stream,head,capacity,seed,model_name,aggregate_mode,aggregate_manifest_path,aggregate_feature_cache_dir,aggregate_model_path,aggregate_n_windows,aggregate_n_manifest_videos,aggregate_n_evaluated_videos,aggregate_n_gt_missing_or_excluded_videos,aggregate_n_failures,aggregate_n_blocking_failures,aggregate_threshold_decoder_disabled,aggregate_threshold_decoder_enabled,aggregate_elapsed_s,aggregate_n_videos
animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.315,
animal_visual_only,attention,256,43,yolo_sppf_animal_visual_only_attention256_seed43,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed43\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.13,
animal_visual_only,attention,256,44,yolo_sppf_animal_visual_only_attention256_seed44,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed44\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.344,
animal_visual_only,attention,512,42,yolo_sppf_animal_visual_only_attention512_seed42,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention512_seed42\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.525,
animal_visual_only,attention,512,43,yolo_sppf_animal_visual_only_attention512_seed43,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention512_seed43\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.652,
animal_visual_only,attention,512,44,yolo_sppf_animal_visual_only_attention512_seed44,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention512_seed44\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.594,
animal_visual_only,attention,896,42,yolo_sppf_animal_visual_only_attention896_seed42,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed42\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,58.417,
animal_visual_only,attention,896,43,yolo_sppf_animal_visual_only_attention896_seed43,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed43\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.349,
animal_visual_only,attention,896,44,yolo_sppf_animal_visual_only_attention896_seed44,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed44\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,58.147,
animal_visual_only,lstm,256,42,yolo_sppf_animal_visual_only_lstm256_seed42,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm256_seed42\best_model_macro_f1.pt,22527,,,,2,,True,False,138.853,30.0
