epoch,train_loss,train_acc,val_loss,val_acc,val_macroF1,elapsed_s,lr_head,lr_backbone,cpu_pct,ram_gb_used,gpu_util_pct,vram_gb_used,gpu_temp_c,gpu_power_w,precision_attack,recall_attack,f1_attack,precision_investigation,recall_investigation,f1_investigation,precision_mount,recall_mount,f1_mount,precision_other,recall_other,f1_other,stream,head,capacity,seed,model_name,eval_dir,train_dir
1,0.8236368684255778,0.6530812187714313,0.5986015540444188,0.7797400535767437,0.7013508896238146,166.92446517944336,5e-05,5e-05,50.7,9.2,8.0,1.14,42.0,15.0,0.4844290657439446,0.425531914893617,0.4530744336569579,0.7503717165042127,0.8890193775689958,0.8138326464791256,0.8551890587288817,0.7496473906911142,0.7989477639984967,0.8476343223736968,0.6559106422587652,0.7395487143606786,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
2,0.5952480437531834,0.7698148329577741,0.5682728389958067,0.789562456592916,0.724937054417251,174.3612763881683,5e-05,5e-05,50.6,9.21,9.0,1.14,40.0,14.9,0.3734939759036144,0.6595744680851063,0.4769230769230769,0.8265615524560339,0.8003523194362889,0.8132458233890214,0.8822593476531424,0.7820874471086037,0.8291588785046728,0.7720097146326654,0.7890164443065467,0.7804204388522327,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
3,0.5508257049459929,0.7855883217399824,0.5682083828759099,0.7970036709991071,0.7284007795418629,174.03684186935425,5e-05,5e-05,50.7,9.21,8.0,1.14,40.0,15.3,0.4405286343612334,0.60790273556231,0.5108556832694764,0.7726273050245306,0.8939127030730084,0.8288566243194192,0.9178082191780822,0.7087447108603667,0.799840827695981,0.8633066055746468,0.7015203226807323,0.7740499828825745,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
4,0.5233535160278452,0.8002841187420398,0.5810507635038996,0.7710090286734795,0.7154801127136073,174.17837166786194,5e-05,5e-05,50.7,9.21,8.0,1.14,39.0,15.1,0.4080459770114942,0.6474164133738601,0.500587544065805,0.8398489560195469,0.7400665492268546,0.7868067838934555,0.8975694444444444,0.7291960507757405,0.804669260700389,0.7027927235459903,0.8510704312752094,0.7698568621947798,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
5,0.5029529954327218,0.8130204761438229,0.6687721140741829,0.7379700367099911,0.6537213353407783,174.37608218193054,5e-05,5e-05,50.8,9.21,8.0,1.14,39.0,14.6,0.2302092811646952,0.7689969604863222,0.3543417366946779,0.8214597902097902,0.7357604227833235,0.7762519359834795,0.9376443418013856,0.5726375176304654,0.7110332749562172,0.7388355002826456,0.8110456096804219,0.7732583937287383,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
6,0.4932357082289401,0.8107181346135005,0.5499107456189536,0.7811290802658994,0.7289460243187392,173.89212322235107,5e-05,5e-05,50.8,9.23,8.0,1.14,38.0,15.2,0.3819334389857369,0.7325227963525835,0.5020833333333333,0.855512440082173,0.733607359561558,0.7898840885142254,0.8628912071535022,0.8166431593794076,0.8391304347826087,0.7318120805369127,0.8457958423828731,0.7846862406447898,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
7,0.4810917109636397,0.8186048790046047,0.5706671610991988,0.7714058934418097,0.7174068740911947,174.1610860824585,5e-05,5e-05,50.7,9.23,9.0,1.14,38.0,14.9,0.3888888888888889,0.723404255319149,0.5058448459086079,0.8430533663589281,0.732824427480916,0.7840837696335078,0.8932291666666666,0.7256699576868829,0.8007782101167316,0.7134744450180692,0.857586099906919,0.7789206707059321,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
8,0.4762967418015096,0.8176741451944743,0.5793745213705632,0.7712074610576446,0.7093918910435996,174.2106683254242,5e-05,5e-05,50.8,9.24,8.0,1.14,38.0,15.6,0.3982905982905982,0.7082066869300911,0.5098468271334792,0.8158444816053512,0.7639459776864357,0.7890427575053068,0.9098196392785572,0.6403385049365303,0.7516556291390729,0.7351831896551724,0.8467266521874031,0.7870223503965392,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
9,0.465305881130985,0.8241892818653865,0.597386642532157,0.7581109237027482,0.7115522872898825,174.2282166481018,5e-05,5e-05,50.8,9.24,8.0,1.14,38.0,15.4,0.3778735632183908,0.7993920972644377,0.5131707317073171,0.8935371413247519,0.6521824231747896,0.7540167458701064,0.7002652519893899,0.930888575458392,0.7992733878292461,0.7232687715574423,0.8457958423828731,0.7797482837528603,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
10,0.4609001798607806,0.8273733712158323,0.4855709840587917,0.8175414227601945,0.7591312108179467,173.73855805397034,5e-05,5e-05,50.7,9.22,8.0,1.14,37.0,14.4,0.425569176882662,0.7386018237082067,0.54,0.842178493341284,0.829320806420043,0.8357001972386587,0.8746223564954683,0.8166431593794076,0.8446389496717724,0.8252457976530289,0.8073223704623022,0.8161856963613551,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
1,0.8231801739937646,0.6585186636621926,0.7046459398631538,0.6919337235836889,0.6534500304485481,166.39630484580994,5e-05,5e-05,50.8,9.29,9.0,1.14,37.0,14.3,0.4380403458213256,0.4620060790273556,0.4497041420118343,0.8497377352668929,0.53904873752202,0.6596407185628742,0.7677756033920418,0.8300423131170663,0.7976956963741104,0.5830980233965308,0.8969903816320198,0.7067595648453735,animal_visual_only,attention,256,43,yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed43
