cache,split,geometry,keypoint,n_keypoints,contained_n,contained_pct
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w8s4,train,actual_crop,all_keypoints,397570,397570,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w8s4,train,actual_crop,axis_endpoint_1,79514,79514,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w8s4,train,actual_crop,axis_endpoint_2,79514,79514,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w8s4,train,actual_crop,centroid,79514,79514,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w8s4,train,actual_crop,left_wing,79514,79514,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w8s4,train,actual_crop,right_wing,79514,79514,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w8s4,train,bbox_x1.20,all_keypoints,397570,287273,72.25721256634053
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w8s4,train,bbox_x1.20,axis_endpoint_1,79514,79512,99.997484719672
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w8s4,train,bbox_x1.20,axis_endpoint_2,79514,79511,99.99622707950802
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w8s4,train,bbox_x1.20,centroid,79514,79514,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w8s4,train,bbox_x1.20,left_wing,79514,24803,31.19324898759967
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w8s4,train,bbox_x1.20,right_wing,79514,23933,30.099102044922905
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w8s4,train,raw_bbox,all_keypoints,397570,244491,61.496340267122775
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w8s4,train,raw_bbox,axis_endpoint_1,79514,79404,99.86165958196041
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w8s4,train,raw_bbox,axis_endpoint_2,79514,79418,99.87926654425637
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w8s4,train,raw_bbox,centroid,79514,79514,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w8s4,train,raw_bbox,left_wing,79514,2933,3.6886586010010816
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w8s4,train,raw_bbox,right_wing,79514,3222,4.052116608396005
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w16s8,train,actual_crop,all_keypoints,789570,789570,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/npz_cache/w16s8,train,actual_crop,axis_endpoint_1,157914,157914,100.0
