movie_id,split,behavior,primary_priority_bouts,median_duration_frames,median_duration_seconds,min_duration_frames,max_duration_frames
1,train_or_validation,lunge,66,4.0,0.133333,3,9
1,train_or_validation,wing_threat,3,42,1.4,23,492
1,train_or_validation,charge,0,,,,
1,train_or_validation,hold,0,,,,
1,train_or_validation,tussle,0,,,,
2,train_or_validation,lunge,538,4.0,0.133333,3,8
2,train_or_validation,wing_threat,59,8,0.266667,1,549
2,train_or_validation,charge,30,1.5,0.05,1,3
2,train_or_validation,hold,60,5.0,0.166667,1,48
2,train_or_validation,tussle,17,5,0.166667,1,27
3,train_or_validation,lunge,410,4.0,0.133333,3,10
3,train_or_validation,wing_threat,32,12.0,0.4,1,394
3,train_or_validation,charge,11,1,0.033333,1,2
3,train_or_validation,hold,4,16.0,0.533333,4,75
3,train_or_validation,tussle,23,8,0.266667,4,27
4,train_or_validation,lunge,172,4.0,0.133333,3,8
4,train_or_validation,wing_threat,31,30,1.0,1,3915
4,train_or_validation,charge,13,2,0.066667,1,2
4,train_or_validation,hold,8,9.0,0.3,5,87
4,train_or_validation,tussle,12,16.0,0.533333,1,47
5,train_or_validation,lunge,285,4,0.133333,3,13
5,train_or_validation,wing_threat,12,12.0,0.4,1,101
5,train_or_validation,charge,3,1,0.033333,1,1
5,train_or_validation,hold,9,10,0.333333,2,94
5,train_or_validation,tussle,54,7.0,0.233333,1,43
6,heldout,lunge,580,4.0,0.133333,3,15
6,heldout,wing_threat,29,9,0.3,1,826
6,heldout,charge,12,2.0,0.066667,1,4
6,heldout,hold,21,11,0.366667,4,59
6,heldout,tussle,57,10,0.333333,1,66
7,heldout,lunge,335,4,0.133333,3,11
7,heldout,wing_threat,4,34.5,1.15,19,61
7,heldout,charge,1,1,0.033333,1,1
7,heldout,hold,9,24,0.8,5,61
7,heldout,tussle,75,6,0.2,1,66
8,heldout,lunge,478,4.0,0.133333,3,8
8,heldout,wing_threat,99,13,0.433333,1,413
8,heldout,charge,37,1,0.033333,1,2
8,heldout,hold,9,11,0.366667,5,30
8,heldout,tussle,3,9,0.3,1,17
9,heldout,lunge,57,4,0.133333,4,8
9,heldout,wing_threat,0,,,,
9,heldout,charge,0,,,,
9,heldout,hold,6,12.5,0.416667,5,30
9,heldout,tussle,1,14,0.466667,14,14
10,heldout,lunge,140,4.0,0.133333,3,11
10,heldout,wing_threat,22,17.5,0.583333,2,113
10,heldout,charge,7,1,0.033333,1,2
10,heldout,hold,5,29,0.966667,7,59
10,heldout,tussle,19,8,0.266667,2,61
