source,track,window,n,n_samples,ngram_f1_mean,ngram_f1_sd,ngram_precision_mean,ngram_recall_mean,sequence_length_ratio_pred_over_gt_mean,sequence_length_ratio_pred_over_gt_sd
length_matched_null,16-frame window length Markov,w16s8,1,1,0.6324071032592933,0.011788008394927352,0.9393322081537764,0.4932904186112356,0.5261034130038553,0.0
length_matched_null,16-frame window length Markov,w16s8,2,1,0.5969369882816861,0.017931288224549292,0.8912239846347861,0.4648527178831012,0.5261034130038553,0.0
length_matched_null,16-frame window length Markov,w16s8,3,1,0.55384220493245,0.02265461090364736,0.8322278030870451,0.4300623100002424,0.5261034130038553,0.0
length_matched_null,16-frame window length Markov,w16s8,4,1,0.504893863115087,0.025770925357190885,0.7647095937754838,0.39040615475122253,0.5261034130038553,0.0
length_matched_null,16-frame window length unigram,w16s8,1,1,0.631101249942064,0.009762467420902735,0.937685878481855,0.492225846491086,0.5261034130038553,0.0
length_matched_null,16-frame window length unigram,w16s8,2,1,0.5739678826393106,0.017204197416444612,0.8571550836234406,0.4469359889831709,0.5261034130038553,0.0
length_matched_null,16-frame window length unigram,w16s8,3,1,0.5156372376802361,0.02189025563882253,0.77310178105686,0.40088104804233476,0.5261034130038553,0.0
length_matched_null,16-frame window length unigram,w16s8,4,1,0.4551362818019339,0.02516725871709172,0.6866452174903996,0.3526699098705709,0.5261034130038553,0.0
length_matched_null,8-frame window length Markov,w8s4,1,1,0.79761238746056,0.013722553453135925,0.8854708079711555,0.746468794258218,0.8612037431524234,0.0
length_matched_null,8-frame window length Markov,w8s4,2,1,0.744200840685002,0.02013642817569272,0.8284131178689303,0.6955987577302642,0.8612037431524234,0.0
length_matched_null,8-frame window length Markov,w8s4,3,1,0.681024464035637,0.024623295317763833,0.758494646095125,0.6363906580528279,0.8612037431524234,0.0
length_matched_null,8-frame window length Markov,w8s4,4,1,0.612036459637283,0.02784817752578343,0.682415047618336,0.5710793084569461,0.8612037431524234,0.0
length_matched_null,8-frame window length unigram,w8s4,1,1,0.7968322170187423,0.011186116663270308,0.8845193866223792,0.7458745674074995,0.8612037431524234,0.0
length_matched_null,8-frame window length unigram,w8s4,2,1,0.7162747935799945,0.018501061172348728,0.7964146468201355,0.6702070371813325,0.8612037431524234,0.0
length_matched_null,8-frame window length unigram,w8s4,3,1,0.6339706965492019,0.023154445869841493,0.7047874661259543,0.5935036431536271,0.8612037431524234,0.0
length_matched_null,8-frame window length unigram,w8s4,4,1,0.552812632954998,0.026167140453764323,0.6150754890983389,0.5170190921248863,0.8612037431524234,0.0
model,16-frame window,w16s8,1,1,0.6308333040694832,,0.9347743359633546,0.4921059128941879,0.5261034130038553,
model,16-frame window,w16s8,2,1,0.5840511941503377,,0.8702725239729853,0.45422193147498185,0.5261034130038553,
model,16-frame window,w16s8,3,1,0.536634307497416,,0.8044590444928478,0.41568446621647104,0.5261034130038553,
model,16-frame window,w16s8,4,1,0.47967663677765504,,0.7233908753024536,0.37007612073653673,0.5261034130038553,
model,8-frame window,w8s4,1,1,0.8070816728778517,,0.8930828795748871,0.7572800040945258,0.8612037431524234,
model,8-frame window,w8s4,2,1,0.7291840564792816,,0.811551378231709,0.680492533392556,0.8612037431524234,
model,8-frame window,w8s4,3,1,0.6552497880846925,,0.7334451675599631,0.60794827495196,0.8612037431524234,
model,8-frame window,w8s4,4,1,0.5894983717157843,,0.663301486701916,0.543571370389113,0.8612037431524234,
null,GT Markov baseline,null,1,1,0.897027110668891,0.014207935436408603,0.897027110668891,0.897027110668891,1.0,0.0
null,GT Markov baseline,null,2,1,0.8235693178836431,0.019799240825235473,0.8235693178836431,0.8235693178836431,1.0,0.0
null,GT Markov baseline,null,3,1,0.7473057639520541,0.023674859821162447,0.7473057639520541,0.7473057639520541,1.0,0.0
null,GT Markov baseline,null,4,1,0.6663409032943927,0.026554755865934917,0.6663409032943927,0.6663409032943927,1.0,0.0
null,GT composition shuffle,null,1,1,1.0,0.0,1.0,1.0,1.0,0.0
null,GT composition shuffle,null,2,1,0.9211490939597382,0.006885571741228184,0.9211490939597382,0.9211490939597382,1.0,0.0
null,GT composition shuffle,null,3,1,0.8260468664593562,0.010575367212666966,0.8260468664593562,0.8260468664593562,1.0,0.0
null,GT composition shuffle,null,4,1,0.7394329905442761,0.01380003306281426,0.7394329905442761,0.7394329905442761,1.0,0.0
