backbone,head,track,seed,class,threshold,matched_bouts,median_tiou,median_abs_mean_boundary_offset_frames,median_abs_start_offset_frames,median_abs_end_offset_frames
mobilenetv3_native,attention,MobileNetV3 Attention-256,42,attack,0.1,226,0.529296875,17.0,13.0,12.5
mobilenetv3_native,attention,MobileNetV3 Attention-256,42,attack,0.25,202,0.5812250891546046,16.0,12.0,11.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,42,attack,0.5,125,0.7083333333333334,11.0,9.0,8.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,42,investigation,0.1,759,0.5625,12.0,9.0,11.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,42,investigation,0.25,657,0.6190476190476191,10.5,8.0,9.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,42,investigation,0.5,435,0.7564102564102564,8.0,7.0,8.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,42,mount,0.1,119,0.7924528301886793,13.0,8.0,14.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,42,mount,0.25,115,0.8,12.5,8.0,14.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,42,mount,0.5,101,0.828125,10.0,8.0,12.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,43,attack,0.1,225,0.5,17.5,14.0,13.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,43,attack,0.25,204,0.5326704545454546,17.0,14.0,12.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,43,attack,0.5,114,0.6971726190476191,10.0,11.0,6.5
mobilenetv3_native,attention,MobileNetV3 Attention-256,43,investigation,0.1,721,0.6136363636363636,10.0,7.0,9.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,43,investigation,0.25,654,0.6486486486486487,9.0,7.0,9.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,43,investigation,0.5,471,0.75,7.0,5.0,7.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,43,mount,0.1,150,0.8313008130081301,9.5,8.0,9.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,43,mount,0.25,149,0.8333333333333334,9.5,8.0,9.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,43,mount,0.5,135,0.8507462686567164,8.5,7.0,7.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,44,attack,0.1,219,0.5260416666666666,18.0,14.0,13.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,44,attack,0.25,200,0.5493055555555556,17.0,14.5,10.5
mobilenetv3_native,attention,MobileNetV3 Attention-256,44,attack,0.5,119,0.7125,11.0,11.0,7.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,44,investigation,0.1,707,0.6097560975609756,10.5,8.0,9.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,44,investigation,0.25,643,0.64,9.5,7.0,9.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,44,investigation,0.5,452,0.7555998008959681,7.5,6.0,7.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,44,mount,0.1,152,0.8205907567609695,10.0,8.0,9.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,44,mount,0.25,149,0.8235294117647058,9.5,8.0,9.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,44,mount,0.5,137,0.8461538461538461,9.0,8.0,8.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,42,attack,0.1,225,0.5357142857142857,16.0,12.0,12.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,42,attack,0.25,208,0.5769345238095238,14.75,12.0,10.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,42,attack,0.5,126,0.7243522408963585,9.5,9.0,6.5
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,42,investigation,0.1,736,0.5891996142719382,11.0,8.0,9.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,42,investigation,0.25,652,0.625,10.0,8.0,9.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,42,investigation,0.5,446,0.7477272727272728,7.5,7.0,7.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,42,mount,0.1,147,0.8110236220472441,11.5,8.0,11.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,42,mount,0.25,143,0.8135593220338984,11.0,8.0,10.0
