backbone,head,model_base,seed,n_videos,n_frames,gt_bouts_total,pred_bouts_total,frame_macro_f1_present_behaviors,bout_macro_f1_iou25_present_behaviors,bout_macro_f1_iou50_present_behaviors
mobilenetv3_native,attention,mobilenetv3_native_full_attention256,42,28,348368,2031,1403,0.6767837859292963,0.6005937149840302,0.43882442978663294
mobilenetv3_native,attention,mobilenetv3_native_full_attention256,43,28,348368,2031,1344,0.7349180660778198,0.6582406737048557,0.5110733865592254
mobilenetv3_native,attention,mobilenetv3_native_full_attention256,44,28,348368,2031,1310,0.7328261446489852,0.6478437359487506,0.5072200418083463
mobilenetv3_native,lstm,mobilenetv3_native_full_lstm256,42,28,348368,2031,1378,0.708124079263847,0.6335907663700083,0.47605450068848054
mobilenetv3_native,lstm,mobilenetv3_native_full_lstm256,43,28,348368,2031,1405,0.6987437383627124,0.6268490658895901,0.4590610270359076
mobilenetv3_native,lstm,mobilenetv3_native_full_lstm256,44,28,348368,2031,1477,0.7030513858474404,0.617545467333145,0.4653526785791895
yolo_sppf,attention,yolo_sppf_full_attention256,42,28,348368,2031,1362,0.7574996495656833,0.6905859231369221,0.5485878103086235
yolo_sppf,attention,yolo_sppf_full_attention256,43,28,348368,2031,1337,0.7518410525613002,0.6683549697442859,0.5340042575115437
yolo_sppf,attention,yolo_sppf_full_attention256,44,28,348368,2031,1419,0.7461950411183075,0.6795822797900676,0.5297194815638712
yolo_sppf,lstm,yolo_sppf_full_lstm256,42,28,348368,2031,1375,0.7519064630128555,0.6706020749192385,0.5474456683946921
yolo_sppf,lstm,yolo_sppf_full_lstm256,43,28,348368,2031,1359,0.7402378325308344,0.67456869530558,0.5398920047158678
yolo_sppf,lstm,yolo_sppf_full_lstm256,44,28,348368,2031,1446,0.7478108053794527,0.6715028119446137,0.5375892303334574
