epoch,train_loss,train_acc,val_loss,val_acc,val_macroF1,elapsed_s,lr_head,lr_backbone,cpu_pct,ram_gb_used,gpu_util_pct,vram_gb_used,gpu_temp_c,gpu_power_w,precision_attack,recall_attack,f1_attack,precision_investigation,recall_investigation,f1_investigation,precision_mount,recall_mount,f1_mount,precision_other,recall_other,f1_other,backbone,head,seed,model_name
1,0.6431293103750503,0.757078475555991,0.4720812557614783,0.8520686576049211,0.777817873688506,241.559072971344,5e-05,5e-05,52.4,12.0,27.0,1.85,47.0,45.5,0.5634674922600619,0.5531914893617021,0.558282208588957,0.8320298613579808,0.9162262673713056,0.872100605496041,0.954119850187266,0.7186177715091678,0.8197908286403862,0.883736120182887,0.8395904436860068,0.8610978520286395,mobilenetv3_native,attention,42,mobilenetv3_native_full_attention256_seed42
2,0.4548977571393605,0.8312922504163809,0.3963201343491886,0.8675463835697986,0.8104506036060458,248.8027291297913,5e-05,5e-05,53.4,11.88,30.0,1.85,49.0,26.2,0.5487804878048781,0.6838905775075987,0.6089309878213802,0.8495846876128567,0.9209238598551576,0.8838170376631915,0.9036496350364964,0.8730606488011283,0.8880918220946916,0.9329952915610286,0.799255352156376,0.8609625668449197,mobilenetv3_native,attention,42,mobilenetv3_native_full_attention256_seed42
3,0.426816159496551,0.844371509748212,0.4957280068099429,0.846611767040381,0.7648817461782708,243.5843870639801,5e-05,5e-05,50.7,11.86,35.0,1.85,51.0,24.7,0.7397959183673469,0.4407294832826747,0.5523809523809523,0.8065989847715737,0.9330593071051086,0.8652327797440784,0.9614984391259104,0.6516220028208745,0.7767969735182849,0.8954183266932271,0.836798014272417,0.8651162790697674,mobilenetv3_native,attention,42,mobilenetv3_native_full_attention256_seed42
4,0.3962232319610397,0.8538747918095425,0.5592096589993104,0.8522670899890862,0.7832307406395713,244.8977072238922,5e-05,5e-05,52.7,11.95,32.0,1.85,52.0,21.1,0.5238095238095238,0.7021276595744681,0.6,0.8162472555311603,0.9459776864357016,0.8763372620126927,0.9635995955510616,0.6720733427362482,0.7918570835064396,0.9431818181818182,0.7983245423518461,0.8647286170391532,mobilenetv3_native,attention,42,mobilenetv3_native_full_attention256_seed42
5,0.3700003912752687,0.8640148917409621,0.4930885110601565,0.8561365214803056,0.7978858192123237,244.63560366630557,5e-05,5e-05,53.3,11.9,17.0,1.88,55.0,31.9,0.6513761467889908,0.6474164133738601,0.6493902439024389,0.8209442060085836,0.9359953024075162,0.8747027620267055,0.9623389494549058,0.6847672778561354,0.800164812525752,0.9126113776559288,0.8262488364877444,0.8672854583943983,mobilenetv3_native,attention,42,mobilenetv3_native_full_attention256_seed42
6,0.3624624262496735,0.8691094347016753,0.521191181280301,0.8675463835697986,0.8224348228642071,245.09467315673828,5e-05,5e-05,52.9,11.98,40.0,1.96,54.0,23.4,0.6586021505376344,0.7446808510638298,0.6990014265335235,0.8318950638591647,0.9434331571736152,0.8841603228469229,0.956442831215971,0.7433004231311706,0.8365079365079365,0.9338313767342584,0.8144585789636984,0.8700696055684455,mobilenetv3_native,attention,42,mobilenetv3_native_full_attention256_seed42
7,0.3430686929791605,0.8751347114725189,0.4104783109805938,0.8546482785990673,0.8077062175340012,243.579332113266,5e-05,5e-05,53.1,11.86,32.0,1.96,55.0,24.7,0.5398773006134969,0.8024316109422492,0.645476772616137,0.8846232387175822,0.8479154433352907,0.8658804717169698,0.9164658634538152,0.8046544428772919,0.8569282763800226,0.8343967517401392,0.8926466025442135,0.862539349422875,mobilenetv3_native,attention,42,mobilenetv3_native_full_attention256_seed42
8,0.3486968700746278,0.8715097482120113,0.5684540261927136,0.8388729040579422,0.7776962262498307,242.57252025604248,5e-05,5e-05,53.8,11.82,38.0,1.98,57.0,28.0,0.4903677758318739,0.851063829787234,0.6222222222222222,0.8519234486758167,0.8625954198473282,0.8572262205796538,0.9585987261146496,0.6368124118476728,0.7652542372881357,0.8443854995579133,0.8889233633260937,0.8660822249093107,mobilenetv3_native,attention,42,mobilenetv3_native_full_attention256_seed42
9,0.311744518013128,0.8841971196237876,0.471267401688018,0.8513741442603433,0.7861140403023051,243.52814173698425,2.5e-05,2.5e-05,53.7,11.87,39.0,2.0,56.0,22.9,0.3926701570680628,0.9118541033434652,0.5489478499542544,0.8762701733413031,0.8608338226658837,0.8684834123222749,0.9031746031746032,0.8025387870239774,0.8498879761015683,0.9041501976284584,0.8516909711448961,0.8771369228311232,mobilenetv3_native,attention,42,mobilenetv3_native_full_attention256_seed42
10,0.3146564534173396,0.8848339374938767,0.4392542870608084,0.8679432483381287,0.8203701027993915,243.4546172618866,2.5e-05,2.5e-05,52.1,11.84,27.0,1.99,56.0,25.9,0.5557729941291585,0.8632218844984803,0.6761904761904762,0.8640776699029126,0.905852417302799,0.8844720496894409,0.9016,0.7947813822284908,0.8448275862068966,0.9145847400405132,0.8405212534905367,0.8759902991107519,mobilenetv3_native,attention,42,mobilenetv3_native_full_attention256_seed42
