"route","stream","head","hidden_dim","window_frames","stride_frames","total_parameters","trainable_parameters","trainable_backbone_parameters","trainable_head_parameters","visual_feature_dim_per_crop","combined_sequence_dim","n_seed_configs","seeds","n_source_configs","source_configs"
"DLC-HRNet top-down","full","attention","256","32","16","8214012","8214012","0","8214012","480","1344","1","42","1","<RUN_ROOT>\MARS_DLC_SuperAnimal\behaviorscope_outputs\dlc_topdown_attention256_training\mars_dlc_topdown_hrnet_attention256_seed42\config.json"
"Fly-v-Fly YOLO/SPPF","full","attention","256","8","4","4972742","3856998","0","3856998","256","896","1","42","1","<RUN_ROOT>\outputs\controlled_comparison_runs\fly_adaptation_attention256_cw12_seed42\fly\training\fly_yolo_sppf_full_attention256_w8s4_seed42\config.json"
"Fly-v-Fly YOLO/SPPF","full","attention","256","16","8","4972742","3856998","0","3856998","256","896","1","42","1","<RUN_ROOT>\outputs\controlled_comparison_runs\fly_adaptation_attention256_cw12_seed42\fly\training\fly_yolo_sppf_full_attention256_w16s8_seed42\config.json"
"MARS MobileNetV3 native","full","attention","256","32","16","23119572","23119572","0","23119572","960","2304","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\mobilenetv3_native_full_attention256_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\mobilenetv3_native_full_attention256_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\mobilenetv3_native_full_attention256_seed44\config.json"
"MARS MobileNetV3 native","full","lstm","256","32","16","4480980","4480980","0","4480980","960","2304","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\mobilenetv3_native_full_lstm256_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\mobilenetv3_native_full_lstm256_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\mobilenetv3_native_full_lstm256_seed44\config.json"
"MARS YOLO/SPPF","animal_visual_only","attention","256","32","16","2085572","969828","0","969828","256","384","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed44\config.json"
"MARS YOLO/SPPF","animal_visual_only","attention","512","32","16","2332612","1216868","0","1216868","256","384","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention512_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention512_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention512_seed44\config.json"
"MARS YOLO/SPPF","animal_visual_only","attention","896","32","16","2948932","1833188","0","1833188","256","384","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed44\config.json"
"MARS YOLO/SPPF","animal_visual_only","lstm","256","32","16","2149700","1033956","0","1033956","256","384","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm256_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm256_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm256_seed44\config.json"
"MARS YOLO/SPPF","animal_visual_only","lstm","512","32","16","3579972","2464228","0","2464228","256","384","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm512_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm512_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm512_seed44\config.json"
"MARS YOLO/SPPF","animal_visual_only","lstm","896","32","16","6954180","5838436","0","5838436","256","384","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm896_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm896_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm896_seed44\config.json"
"MARS YOLO/SPPF","full","attention","256","32","16","4975812","3860068","0","3860068","256","896","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed44\config.json"
"MARS YOLO/SPPF","full","attention","512","32","16","7454404","6338660","0","6338660","256","1152","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention512_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention512_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention512_seed44\config.json"
