"route","model_name","stream","head","hidden_dim","window_frames","stride_frames","seed","total_parameters","trainable_parameters","trainable_backbone_parameters","trainable_head_parameters","visual_feature_dim_per_crop","combined_sequence_dim","source_config"
"DLC-HRNet top-down","mars_dlc_topdown_hrnet_attention256_seed42","full","attention","256","32","16","42","8214012","8214012","0","8214012","480","1344","<RUN_ROOT>\MARS_DLC_SuperAnimal\behaviorscope_outputs\dlc_topdown_attention256_training\mars_dlc_topdown_hrnet_attention256_seed42\config.json"
"Fly-v-Fly YOLO/SPPF","fly_yolo_sppf_full_attention256_w16s8_seed42","full","attention","256","16","8","42","4972742","3856998","0","3856998","256","896","<RUN_ROOT>\outputs\controlled_comparison_runs\fly_adaptation_attention256_cw12_seed42\fly\training\fly_yolo_sppf_full_attention256_w16s8_seed42\config.json"
"Fly-v-Fly YOLO/SPPF","fly_yolo_sppf_full_attention256_w8s4_seed42","full","attention","256","8","4","42","4972742","3856998","0","3856998","256","896","<RUN_ROOT>\outputs\controlled_comparison_runs\fly_adaptation_attention256_cw12_seed42\fly\training\fly_yolo_sppf_full_attention256_w8s4_seed42\config.json"
"MARS MobileNetV3 native","mobilenetv3_native_full_attention256_seed42","full","attention","256","32","16","42","23119572","23119572","0","23119572","960","2304","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\mobilenetv3_native_full_attention256_seed42\config.json"
"MARS MobileNetV3 native","mobilenetv3_native_full_attention256_seed43","full","attention","256","32","16","43","23119572","23119572","0","23119572","960","2304","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\mobilenetv3_native_full_attention256_seed43\config.json"
"MARS MobileNetV3 native","mobilenetv3_native_full_attention256_seed44","full","attention","256","32","16","44","23119572","23119572","0","23119572","960","2304","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\mobilenetv3_native_full_attention256_seed44\config.json"
"MARS MobileNetV3 native","mobilenetv3_native_full_lstm256_seed42","full","lstm","256","32","16","42","4480980","4480980","0","4480980","960","2304","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\mobilenetv3_native_full_lstm256_seed42\config.json"
"MARS MobileNetV3 native","mobilenetv3_native_full_lstm256_seed43","full","lstm","256","32","16","43","4480980","4480980","0","4480980","960","2304","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\mobilenetv3_native_full_lstm256_seed43\config.json"
"MARS MobileNetV3 native","mobilenetv3_native_full_lstm256_seed44","full","lstm","256","32","16","44","4480980","4480980","0","4480980","960","2304","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\mobilenetv3_native_full_lstm256_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_attention256_seed42","animal_visual_only","attention","256","32","16","42","2085572","969828","0","969828","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_attention256_seed43","animal_visual_only","attention","256","32","16","43","2085572","969828","0","969828","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_attention256_seed44","animal_visual_only","attention","256","32","16","44","2085572","969828","0","969828","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_attention512_seed42","animal_visual_only","attention","512","32","16","42","2332612","1216868","0","1216868","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention512_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_attention512_seed43","animal_visual_only","attention","512","32","16","43","2332612","1216868","0","1216868","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention512_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_attention512_seed44","animal_visual_only","attention","512","32","16","44","2332612","1216868","0","1216868","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention512_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_attention896_seed42","animal_visual_only","attention","896","32","16","42","2948932","1833188","0","1833188","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_attention896_seed43","animal_visual_only","attention","896","32","16","43","2948932","1833188","0","1833188","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_attention896_seed44","animal_visual_only","attention","896","32","16","44","2948932","1833188","0","1833188","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention896_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_lstm256_seed42","animal_visual_only","lstm","256","32","16","42","2149700","1033956","0","1033956","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm256_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_lstm256_seed43","animal_visual_only","lstm","256","32","16","43","2149700","1033956","0","1033956","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm256_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_lstm256_seed44","animal_visual_only","lstm","256","32","16","44","2149700","1033956","0","1033956","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm256_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_lstm512_seed42","animal_visual_only","lstm","512","32","16","42","3579972","2464228","0","2464228","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm512_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_lstm512_seed43","animal_visual_only","lstm","512","32","16","43","3579972","2464228","0","2464228","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm512_seed43\config.json"
