model_name,head,capacity,seed,track,source,frequency_bin,motif_recall
yolo_sppf_full_attention256_seed42,attention,256,42,Attention-256,model,Rare,0.8571428571428571
yolo_sppf_full_attention256_seed42,attention,256,42,Attention-256,model,Intermediate,0.6323529411764706
yolo_sppf_full_attention256_seed42,attention,256,42,Attention-256,model,Common,0.5730958230958231
yolo_sppf_full_attention256_seed43,attention,256,43,Attention-256,model,Rare,0.8571428571428571
yolo_sppf_full_attention256_seed43,attention,256,43,Attention-256,model,Intermediate,0.5676470588235294
yolo_sppf_full_attention256_seed43,attention,256,43,Attention-256,model,Common,0.5884520884520884
yolo_sppf_full_attention256_seed44,attention,256,44,Attention-256,model,Rare,1.0
yolo_sppf_full_attention256_seed44,attention,256,44,Attention-256,model,Intermediate,0.6705882352941176
yolo_sppf_full_attention256_seed44,attention,256,44,Attention-256,model,Common,0.6167076167076168
yolo_sppf_full_attention512_seed42,attention,512,42,Attention-512,model,Rare,0.8571428571428571
yolo_sppf_full_attention512_seed42,attention,512,42,Attention-512,model,Intermediate,0.7323529411764705
yolo_sppf_full_attention512_seed42,attention,512,42,Attention-512,model,Common,0.5331695331695332
yolo_sppf_full_attention512_seed43,attention,512,43,Attention-512,model,Rare,0.8571428571428571
yolo_sppf_full_attention512_seed43,attention,512,43,Attention-512,model,Intermediate,0.6558823529411765
yolo_sppf_full_attention512_seed43,attention,512,43,Attention-512,model,Common,0.60995085995086
yolo_sppf_full_attention512_seed44,attention,512,44,Attention-512,model,Rare,0.8571428571428571
yolo_sppf_full_attention512_seed44,attention,512,44,Attention-512,model,Intermediate,0.6705882352941176
yolo_sppf_full_attention512_seed44,attention,512,44,Attention-512,model,Common,0.5700245700245701
yolo_sppf_full_attention896_seed42,attention,896,42,Attention-896,model,Rare,0.8571428571428571
yolo_sppf_full_attention896_seed42,attention,896,42,Attention-896,model,Intermediate,0.6735294117647059
yolo_sppf_full_attention896_seed42,attention,896,42,Attention-896,model,Common,0.5399262899262899
yolo_sppf_full_attention896_seed43,attention,896,43,Attention-896,model,Rare,0.8571428571428571
yolo_sppf_full_attention896_seed43,attention,896,43,Attention-896,model,Intermediate,0.6705882352941176
yolo_sppf_full_attention896_seed43,attention,896,43,Attention-896,model,Common,0.6406633906633906
yolo_sppf_full_attention896_seed44,attention,896,44,Attention-896,model,Rare,0.8571428571428571
yolo_sppf_full_attention896_seed44,attention,896,44,Attention-896,model,Intermediate,0.6970588235294117
yolo_sppf_full_attention896_seed44,attention,896,44,Attention-896,model,Common,0.605036855036855
yolo_sppf_full_lstm256_seed42,lstm,256,42,LSTM-256,model,Rare,1.0
yolo_sppf_full_lstm256_seed42,lstm,256,42,LSTM-256,model,Intermediate,0.6588235294117647
yolo_sppf_full_lstm256_seed42,lstm,256,42,LSTM-256,model,Common,0.547911547911548
yolo_sppf_full_lstm256_seed43,lstm,256,43,LSTM-256,model,Rare,0.8571428571428571
yolo_sppf_full_lstm256_seed43,lstm,256,43,LSTM-256,model,Intermediate,0.6235294117647059
yolo_sppf_full_lstm256_seed43,lstm,256,43,LSTM-256,model,Common,0.5952088452088452
yolo_sppf_full_lstm256_seed44,lstm,256,44,LSTM-256,model,Rare,0.8571428571428571
yolo_sppf_full_lstm256_seed44,lstm,256,44,LSTM-256,model,Intermediate,0.6617647058823529
yolo_sppf_full_lstm256_seed44,lstm,256,44,LSTM-256,model,Common,0.6326781326781327
yolo_sppf_full_lstm512_seed42,lstm,512,42,LSTM-512,model,Rare,0.8571428571428571
yolo_sppf_full_lstm512_seed42,lstm,512,42,LSTM-512,model,Intermediate,0.6911764705882353
yolo_sppf_full_lstm512_seed42,lstm,512,42,LSTM-512,model,Common,0.6081081081081081
yolo_sppf_full_lstm512_seed43,lstm,512,43,LSTM-512,model,Rare,0.8571428571428571
yolo_sppf_full_lstm512_seed43,lstm,512,43,LSTM-512,model,Intermediate,0.6529411764705882
yolo_sppf_full_lstm512_seed43,lstm,512,43,LSTM-512,model,Common,0.5988943488943489
yolo_sppf_full_lstm512_seed44,lstm,512,44,LSTM-512,model,Rare,0.8571428571428571
yolo_sppf_full_lstm512_seed44,lstm,512,44,LSTM-512,model,Intermediate,0.6617647058823529
yolo_sppf_full_lstm512_seed44,lstm,512,44,LSTM-512,model,Common,0.648034398034398
yolo_sppf_full_lstm896_seed42,lstm,896,42,LSTM-896,model,Rare,0.8571428571428571
yolo_sppf_full_lstm896_seed42,lstm,896,42,LSTM-896,model,Intermediate,0.7176470588235294
yolo_sppf_full_lstm896_seed42,lstm,896,42,LSTM-896,model,Common,0.585995085995086
yolo_sppf_full_lstm896_seed43,lstm,896,43,LSTM-896,model,Rare,0.7142857142857143
yolo_sppf_full_lstm896_seed43,lstm,896,43,LSTM-896,model,Intermediate,0.6676470588235294
yolo_sppf_full_lstm896_seed43,lstm,896,43,LSTM-896,model,Common,0.6486486486486487
yolo_sppf_full_lstm896_seed44,lstm,896,44,LSTM-896,model,Rare,0.8571428571428571
yolo_sppf_full_lstm896_seed44,lstm,896,44,LSTM-896,model,Intermediate,0.7352941176470589
yolo_sppf_full_lstm896_seed44,lstm,896,44,LSTM-896,model,Common,0.6535626535626535
Composition shuffle,null,0,0,Composition shuffle,null,Rare,0.7142857142857143
Composition shuffle,null,0,0,Composition shuffle,null,Intermediate,0.9176470588235294
Composition shuffle,null,0,0,Composition shuffle,null,Common,0.7536855036855037
Markov baseline,null,0,0,Markov baseline,null,Rare,0.7142857142857143
Markov baseline,null,0,0,Markov baseline,null,Intermediate,0.8676470588235294
Markov baseline,null,0,0,Markov baseline,null,Common,0.8458230958230958
Composition shuffle,null,0,1,Composition shuffle,null,Rare,0.7142857142857143
Composition shuffle,null,0,1,Composition shuffle,null,Intermediate,0.9382352941176471
Composition shuffle,null,0,1,Composition shuffle,null,Common,0.7358722358722358
Markov baseline,null,0,1,Markov baseline,null,Rare,0.5714285714285714
Markov baseline,null,0,1,Markov baseline,null,Intermediate,0.9176470588235294
Markov baseline,null,0,1,Markov baseline,null,Common,0.8083538083538083
Composition shuffle,null,0,2,Composition shuffle,null,Rare,0.5714285714285714
Composition shuffle,null,0,2,Composition shuffle,null,Intermediate,0.9147058823529411
Composition shuffle,null,0,2,Composition shuffle,null,Common,0.7487714987714987
Markov baseline,null,0,2,Markov baseline,null,Rare,0.7142857142857143
Markov baseline,null,0,2,Markov baseline,null,Intermediate,0.8588235294117647
Markov baseline,null,0,2,Markov baseline,null,Common,0.8495085995085995
