source,track,head,capacity,frequency_bin,n_samples,motif_recall_mean,motif_recall_sd,n_motifs
model,Attention-256,attention,256,Common,3,0.5927518427518428,0.0221215517264977,6
model,Attention-256,attention,256,Intermediate,3,0.6235294117647059,0.052034723567512126,5
model,Attention-256,attention,256,Rare,3,0.9047619047619048,0.08247860988423227,6
model,Attention-512,attention,512,Common,3,0.571048321048321,0.038400899536263376,6
model,Attention-512,attention,512,Intermediate,3,0.6862745098039215,0.04057686683642132,5
model,Attention-512,attention,512,Rare,3,0.8571428571428571,0.0,6
model,Attention-896,attention,896,Common,3,0.5952088452088452,0.05108261151423044,6
model,Attention-896,attention,896,Intermediate,3,0.680392156862745,0.01450847900681245,5
model,Attention-896,attention,896,Rare,3,0.8571428571428571,0.0,6
model,LSTM-256,lstm,256,Common,3,0.5919328419328419,0.04247814286601913,6
model,LSTM-256,lstm,256,Intermediate,3,0.6480392156862745,0.02127699452373598,5
model,LSTM-256,lstm,256,Rare,3,0.9047619047619048,0.08247860988423232,6
model,LSTM-512,lstm,512,Common,3,0.6183456183456183,0.026120701929101302,6
model,LSTM-512,lstm,512,Intermediate,3,0.6686274509803921,0.02002017436927664,5
model,LSTM-512,lstm,512,Rare,3,0.8571428571428571,0.0,6
model,LSTM-896,lstm,896,Common,3,0.6294021294021294,0.03767181206259436,6
model,LSTM-896,lstm,896,Intermediate,3,0.7068627450980393,0.035089274839555484,5
model,LSTM-896,lstm,896,Rare,3,0.8095238095238094,0.08247860988423221,6
null,Composition shuffle,null,0,Common,250,0.7476142506142507,0.013356381843207317,6
null,Composition shuffle,null,0,Intermediate,250,0.9010823529411766,0.015491807802948244,5
null,Composition shuffle,null,0,Rare,250,0.5462857142857143,0.21081643721295554,6
null,Markov baseline,null,0,Common,250,0.8476093366093367,0.01360052046879287,6
null,Markov baseline,null,0,Intermediate,250,0.8599294117647058,0.024339823521840907,5
null,Markov baseline,null,0,Rare,250,0.6508571428571429,0.20914977306110222,6
