source,track,head,capacity,n,n_samples,ngram_f1_mean,ngram_f1_sd,ngram_precision_mean,ngram_precision_sd,ngram_recall_mean,ngram_recall_sd,sequence_length_ratio_pred_over_gt_mean,sequence_length_ratio_pred_over_gt_sd
model,Attention-256,attention,256,1,3,0.7924590444892138,0.01384022744527767,0.9634946031784738,0.0046635921765377925,0.6944474518437884,0.01775132251410935,0.7242114325880568,0.020854702711957013
model,Attention-256,attention,256,2,3,0.7431194421741786,0.012645044147090558,0.9024658562216197,0.01018295105875936,0.6522941701732211,0.015215906865557639,0.7242114325880568,0.020854702711957013
model,Attention-256,attention,256,3,3,0.6824502263466591,0.01434392139531662,0.8332672626401179,0.02066022465406103,0.5976205881363027,0.014234973060825046,0.7242114325880568,0.020854702711957013
model,Attention-256,attention,256,4,3,0.6131461990870846,0.01792474248440815,0.7487421894367324,0.024797223076732034,0.5367630252937575,0.01575210926932251,0.7242114325880568,0.020854702711957013
model,Attention-512,attention,512,1,3,0.7851312972424217,0.010952287691556994,0.9473156864745645,0.012906818901626725,0.6956657109085151,0.004067883930384241,0.7429177492361049,0.010784795859072542
model,Attention-512,attention,512,2,3,0.718974623713871,0.02987154843499231,0.865427760470399,0.03810431367351434,0.63823757442101,0.020707385409809657,0.7429177492361049,0.010784795859072542
model,Attention-512,attention,512,3,3,0.6490716914049629,0.0411212141020588,0.7865048824057981,0.05169850677786984,0.5738643773082309,0.031763642357905734,0.7429177492361049,0.010784795859072542
model,Attention-512,attention,512,4,3,0.5743405607318222,0.04384995081039407,0.6946280336760338,0.05710759100802596,0.5085696211259689,0.033679489843129094,0.7429177492361049,0.010784795859072542
model,Attention-896,attention,896,1,3,0.7947542189325886,0.013197686400380134,0.9556176151293831,0.0118856226216703,0.7028479132235897,0.012939784259878809,0.7420116675137444,0.008595136596013584
model,Attention-896,attention,896,2,3,0.7394814869953349,0.03643422771086113,0.8866946750666953,0.04537277325084432,0.6556171448018544,0.03173464696892832,0.7420116675137444,0.008595136596013584
model,Attention-896,attention,896,3,3,0.6774301083653539,0.041988897163178135,0.8152626829539811,0.056625283966185984,0.599698926369404,0.03465452511543396,0.7420116675137444,0.008595136596013584
model,Attention-896,attention,896,4,3,0.6028706839409889,0.047783398177571115,0.7238019014507028,0.06773917860106589,0.5344185142428647,0.03815538758787671,0.7420116675137444,0.008595136596013584
model,LSTM-256,lstm,256,1,3,0.7878084187696798,0.012035271748015938,0.9521611675469462,0.015083474355060448,0.6925250405519413,0.01680756265391364,0.7304883100413625,0.02455267106887465
model,LSTM-256,lstm,256,2,3,0.7377576156277152,0.021694451753536972,0.89259876577047,0.029937753832715516,0.6491623381296716,0.020825271959687586,0.7304883100413625,0.02455267106887465
model,LSTM-256,lstm,256,3,3,0.6741616697852462,0.03010695854053268,0.8219414005141733,0.041910241174200634,0.5912691992772201,0.025410084216900098,0.7304883100413625,0.02455267106887465
model,LSTM-256,lstm,256,4,3,0.6028619230541739,0.03685011761136102,0.7378630925098806,0.051218041669152656,0.5282330064140531,0.029787926269946738,0.7304883100413625,0.02455267106887465
model,LSTM-512,lstm,512,1,3,0.7977114876632866,0.017237203610164266,0.9629298628629345,0.007447298602466375,0.7038519103188453,0.02518505121049054,0.7365683397254802,0.03238366168265231
model,LSTM-512,lstm,512,2,3,0.7574244086359346,0.022925299944253755,0.9152092445274894,0.01828863122439981,0.6686388631994467,0.02736995864270361,0.7365683397254802,0.03238366168265231
