source,track,head,capacity,seed,split,video_id,gt_sequence_length,pred_sequence_length,sequence_length_ratio_pred_over_gt,n,ngram_tp,pred_ngram_total,gt_ngram_total,ngram_precision,ngram_recall,ngram_f1
model,Attention-256,attention,256,42,test_1,Mouse060_20160526_18-16-27,109,104,0.9541284403669725,1,99,104,109,0.9519230769230769,0.908256880733945,0.9295774647887324
model,Attention-256,attention,256,42,test_1,Mouse060_20160526_18-16-27,109,104,0.9541284403669725,2,94,103,108,0.912621359223301,0.8703703703703703,0.8909952606635072
model,Attention-256,attention,256,42,test_1,Mouse060_20160526_18-16-27,109,104,0.9541284403669725,3,83,102,107,0.8137254901960784,0.7757009345794392,0.7942583732057417
model,Attention-256,attention,256,42,test_1,Mouse060_20160526_18-16-27,109,104,0.9541284403669725,4,76,101,106,0.7524752475247525,0.7169811320754716,0.7342995169082124
model,Attention-256,attention,256,43,test_1,Mouse060_20160526_18-16-27,109,101,0.926605504587156,1,99,101,109,0.9801980198019802,0.908256880733945,0.9428571428571428
model,Attention-256,attention,256,43,test_1,Mouse060_20160526_18-16-27,109,101,0.926605504587156,2,97,100,108,0.97,0.8981481481481481,0.9326923076923077
model,Attention-256,attention,256,43,test_1,Mouse060_20160526_18-16-27,109,101,0.926605504587156,3,84,99,107,0.8484848484848485,0.7850467289719626,0.8155339805825242
model,Attention-256,attention,256,43,test_1,Mouse060_20160526_18-16-27,109,101,0.926605504587156,4,77,98,106,0.7857142857142857,0.7264150943396226,0.7549019607843137
model,Attention-256,attention,256,44,test_1,Mouse060_20160526_18-16-27,109,111,1.018348623853211,1,104,111,109,0.9369369369369369,0.9541284403669725,0.9454545454545454
model,Attention-256,attention,256,44,test_1,Mouse060_20160526_18-16-27,109,111,1.018348623853211,2,97,110,108,0.8818181818181818,0.8981481481481481,0.8899082568807339
model,Attention-256,attention,256,44,test_1,Mouse060_20160526_18-16-27,109,111,1.018348623853211,3,87,109,107,0.7981651376146789,0.8130841121495327,0.8055555555555556
model,Attention-256,attention,256,44,test_1,Mouse060_20160526_18-16-27,109,111,1.018348623853211,4,82,108,106,0.7592592592592593,0.7735849056603774,0.7663551401869159
model,Attention-512,attention,512,42,test_1,Mouse060_20160526_18-16-27,109,123,1.128440366972477,1,101,123,109,0.8211382113821138,0.926605504587156,0.8706896551724138
model,Attention-512,attention,512,42,test_1,Mouse060_20160526_18-16-27,109,123,1.128440366972477,2,82,122,108,0.6721311475409836,0.7592592592592593,0.7130434782608696
model,Attention-512,attention,512,42,test_1,Mouse060_20160526_18-16-27,109,123,1.128440366972477,3,68,121,107,0.5619834710743802,0.6355140186915887,0.5964912280701754
model,Attention-512,attention,512,42,test_1,Mouse060_20160526_18-16-27,109,123,1.128440366972477,4,56,120,106,0.4666666666666667,0.5283018867924528,0.49557522123893805
model,Attention-512,attention,512,43,test_1,Mouse060_20160526_18-16-27,109,114,1.0458715596330275,1,104,114,109,0.9122807017543859,0.9541284403669725,0.9327354260089685
model,Attention-512,attention,512,43,test_1,Mouse060_20160526_18-16-27,109,114,1.0458715596330275,2,96,113,108,0.8495575221238938,0.8888888888888888,0.8687782805429864
model,Attention-512,attention,512,43,test_1,Mouse060_20160526_18-16-27,109,114,1.0458715596330275,3,83,112,107,0.7410714285714286,0.7757009345794392,0.7579908675799087
model,Attention-512,attention,512,43,test_1,Mouse060_20160526_18-16-27,109,114,1.0458715596330275,4,77,111,106,0.6936936936936937,0.7264150943396226,0.7096774193548386
model,Attention-512,attention,512,44,test_1,Mouse060_20160526_18-16-27,109,116,1.0642201834862386,1,104,116,109,0.896551724137931,0.9541284403669725,0.9244444444444444
model,Attention-512,attention,512,44,test_1,Mouse060_20160526_18-16-27,109,116,1.0642201834862386,2,96,115,108,0.8347826086956521,0.8888888888888888,0.8609865470852016
model,Attention-512,attention,512,44,test_1,Mouse060_20160526_18-16-27,109,116,1.0642201834862386,3,83,114,107,0.7280701754385965,0.7757009345794392,0.751131221719457
model,Attention-512,attention,512,44,test_1,Mouse060_20160526_18-16-27,109,116,1.0642201834862386,4,76,113,106,0.672566371681416,0.7169811320754716,0.6940639269406392
model,Attention-896,attention,896,42,test_1,Mouse060_20160526_18-16-27,109,103,0.944954128440367,1,90,103,109,0.8737864077669902,0.8256880733944955,0.8490566037735849
model,Attention-896,attention,896,42,test_1,Mouse060_20160526_18-16-27,109,103,0.944954128440367,2,82,102,108,0.803921568627451,0.7592592592592593,0.780952380952381
model,Attention-896,attention,896,42,test_1,Mouse060_20160526_18-16-27,109,103,0.944954128440367,3,73,101,107,0.7227722772277227,0.6822429906542056,0.7019230769230769
model,Attention-896,attention,896,42,test_1,Mouse060_20160526_18-16-27,109,103,0.944954128440367,4,64,100,106,0.64,0.6037735849056604,0.6213592233009708
model,Attention-896,attention,896,43,test_1,Mouse060_20160526_18-16-27,109,107,0.981651376146789,1,103,107,109,0.9626168224299065,0.944954128440367,0.9537037037037037
model,Attention-896,attention,896,43,test_1,Mouse060_20160526_18-16-27,109,107,0.981651376146789,2,98,106,108,0.9245283018867925,0.9074074074074074,0.9158878504672898
model,Attention-896,attention,896,43,test_1,Mouse060_20160526_18-16-27,109,107,0.981651376146789,3,84,105,107,0.8,0.7850467289719626,0.7924528301886793
model,Attention-896,attention,896,43,test_1,Mouse060_20160526_18-16-27,109,107,0.981651376146789,4,77,104,106,0.7403846153846154,0.7264150943396226,0.7333333333333334
model,Attention-896,attention,896,44,test_1,Mouse060_20160526_18-16-27,109,111,1.018348623853211,1,103,111,109,0.9279279279279279,0.944954128440367,0.9363636363636363
model,Attention-896,attention,896,44,test_1,Mouse060_20160526_18-16-27,109,111,1.018348623853211,2,95,110,108,0.8636363636363636,0.8796296296296297,0.8715596330275229
model,Attention-896,attention,896,44,test_1,Mouse060_20160526_18-16-27,109,111,1.018348623853211,3,79,109,107,0.7247706422018348,0.7383177570093458,0.7314814814814815
model,Attention-896,attention,896,44,test_1,Mouse060_20160526_18-16-27,109,111,1.018348623853211,4,69,108,106,0.6388888888888888,0.6509433962264151,0.6448598130841121
model,LSTM-256,lstm,256,42,test_1,Mouse060_20160526_18-16-27,109,98,0.8990825688073395,1,89,98,109,0.9081632653061225,0.8165137614678899,0.8599033816425121
model,LSTM-256,lstm,256,42,test_1,Mouse060_20160526_18-16-27,109,98,0.8990825688073395,2,81,97,108,0.8350515463917526,0.75,0.7902439024390243
model,LSTM-256,lstm,256,42,test_1,Mouse060_20160526_18-16-27,109,98,0.8990825688073395,3,73,96,107,0.7604166666666666,0.6822429906542056,0.7192118226600985
model,LSTM-256,lstm,256,42,test_1,Mouse060_20160526_18-16-27,109,98,0.8990825688073395,4,64,95,106,0.6736842105263158,0.6037735849056604,0.6368159203980099
model,LSTM-256,lstm,256,43,test_1,Mouse060_20160526_18-16-27,109,98,0.8990825688073395,1,96,98,109,0.9795918367346939,0.8807339449541285,0.927536231884058
