track,head,capacity,prediction_type,threshold,class,n_seeds,gt_bouts_mean,matched_bouts_mean,recall_mean,recall_sd
Attention-256,attention,256,raw_windows,0.25,attack,3,356.0,78.33333333333333,0.2200374531835206,0.011694752805989505
Attention-256,attention,256,raw_windows,0.25,investigation,3,1467.0,534.0,0.3640081799591002,0.002457771830582104
Attention-256,attention,256,raw_windows,0.25,mount,3,208.0,39.333333333333336,0.1891025641025641,0.005551444896054108
Attention-256,attention,256,raw_windows,0.5,attack,3,356.0,50.0,0.1404494382022472,0.00280898876404493
Attention-256,attention,256,raw_windows,0.5,investigation,3,1467.0,389.3333333333333,0.26539422858441264,0.00964820438335021
Attention-256,attention,256,raw_windows,0.5,mount,3,208.0,37.0,0.1778846153846154,0.0
Attention-256,attention,256,smoothed_frames,0.25,attack,3,356.0,78.33333333333333,0.2200374531835206,0.011694752805989505
Attention-256,attention,256,smoothed_frames,0.25,investigation,3,1467.0,534.0,0.3640081799591002,0.002457771830582104
Attention-256,attention,256,smoothed_frames,0.25,mount,3,208.0,39.333333333333336,0.1891025641025641,0.005551444896054108
Attention-256,attention,256,smoothed_frames,0.5,attack,3,356.0,50.0,0.1404494382022472,0.00280898876404493
Attention-256,attention,256,smoothed_frames,0.5,investigation,3,1467.0,389.3333333333333,0.26539422858441264,0.00964820438335021
Attention-256,attention,256,smoothed_frames,0.5,mount,3,208.0,37.0,0.1778846153846154,0.0
LSTM-256,lstm,256,raw_windows,0.25,attack,3,356.0,77.0,0.21629213483146068,0.005617977528089894
LSTM-256,lstm,256,raw_windows,0.25,investigation,3,1467.0,527.0,0.35923653715064763,0.013305535989054647
LSTM-256,lstm,256,raw_windows,0.25,mount,3,208.0,38.333333333333336,0.1842948717948718,0.005551444896054092
LSTM-256,lstm,256,raw_windows,0.5,attack,3,356.0,52.0,0.14606741573033707,0.008426966292134824
LSTM-256,lstm,256,raw_windows,0.5,investigation,3,1467.0,396.6666666666667,0.2703930924789821,0.007988364385933654
LSTM-256,lstm,256,raw_windows,0.5,mount,3,208.0,35.0,0.16826923076923075,0.004807692307692308
LSTM-256,lstm,256,smoothed_frames,0.25,attack,3,356.0,77.0,0.21629213483146068,0.005617977528089894
LSTM-256,lstm,256,smoothed_frames,0.25,investigation,3,1467.0,527.0,0.35923653715064763,0.013305535989054647
LSTM-256,lstm,256,smoothed_frames,0.25,mount,3,208.0,38.333333333333336,0.1842948717948718,0.005551444896054092
LSTM-256,lstm,256,smoothed_frames,0.5,attack,3,356.0,52.0,0.14606741573033707,0.008426966292134824
LSTM-256,lstm,256,smoothed_frames,0.5,investigation,3,1467.0,396.6666666666667,0.2703930924789821,0.007988364385933654
LSTM-256,lstm,256,smoothed_frames,0.5,mount,3,208.0,35.0,0.16826923076923075,0.004807692307692308
