track,head,capacity,prediction_type,threshold,class,duration_bin,n_seeds,gt_bouts_mean,matched_bouts_mean,recall_mean,recall_sd
Attention-256,attention,256,raw_windows,0.25,attack,<0.25,3,26.0,5.0,0.1923076923076923,0.06661733875264911
Attention-256,attention,256,raw_windows,0.25,attack,0.25-0.5,3,46.0,10.333333333333334,0.2246376811594203,0.01255109280847013
Attention-256,attention,256,raw_windows,0.25,attack,0.5-1,3,77.0,15.666666666666666,0.20346320346320348,0.00749805544402112
Attention-256,attention,256,raw_windows,0.25,attack,1-2,3,91.0,25.0,0.2747252747252747,0.01903352535789975
Attention-256,attention,256,raw_windows,0.25,attack,2-4,3,78.0,15.0,0.19230769230769232,0.0
Attention-256,attention,256,raw_windows,0.25,attack,4-8,3,36.0,7.333333333333333,0.20370370370370372,0.016037507477489586
Attention-256,attention,256,raw_windows,0.25,attack,>=8,3,2.0,0.0,0.0,0.0
Attention-256,attention,256,raw_windows,0.25,investigation,<0.25,3,220.0,47.0,0.21363636363636362,0.02530801983104554
Attention-256,attention,256,raw_windows,0.25,investigation,0.25-0.5,3,301.0,92.33333333333333,0.3067552602436323,0.009590536033050264
Attention-256,attention,256,raw_windows,0.25,investigation,0.5-1,3,379.0,127.33333333333333,0.335971855760774,0.003046703267491404
Attention-256,attention,256,raw_windows,0.25,investigation,1-2,3,238.0,95.66666666666667,0.40196078431372545,0.00970336586873321
Attention-256,attention,256,raw_windows,0.25,investigation,2-4,3,165.0,70.66666666666667,0.4282828282828283,0.003499092540543169
Attention-256,attention,256,raw_windows,0.25,investigation,4-8,3,111.0,63.666666666666664,0.5735735735735735,0.005201353776483166
Attention-256,attention,256,raw_windows,0.25,investigation,>=8,3,53.0,37.333333333333336,0.7044025157232704,0.02882123078588578
Attention-256,attention,256,raw_windows,0.25,mount,<0.25,3,5.0,1.0,0.20000000000000004,0.0
Attention-256,attention,256,raw_windows,0.25,mount,0.25-0.5,3,13.0,3.0,0.23076923076923075,0.0
Attention-256,attention,256,raw_windows,0.25,mount,0.5-1,3,25.0,2.6666666666666665,0.10666666666666667,0.023094010767585025
Attention-256,attention,256,raw_windows,0.25,mount,1-2,3,34.0,6.0,0.17647058823529413,0.0
