split,video_id,class,start_frame,end_frame,duration_frames,stream,head,capacity,seed,model_name,gt_bout_index,duration_s,duration_bin,track,prediction_type,threshold,matched
test_1,Mouse060_20160526_18-16-27,investigation,6,22,17,full,attention,256,42,yolo_sppf_full_attention256_seed42,0,0.5666666666666667,0.5-1,Attention-256,smoothed_frames,0.25,0
test_1,Mouse060_20160526_18-16-27,investigation,49,123,75,full,attention,256,42,yolo_sppf_full_attention256_seed42,1,2.5,2-4,Attention-256,smoothed_frames,0.25,0
test_1,Mouse060_20160526_18-16-27,investigation,152,293,142,full,attention,256,42,yolo_sppf_full_attention256_seed42,2,4.733333333333333,4-8,Attention-256,smoothed_frames,0.25,0
test_1,Mouse060_20160526_18-16-27,investigation,313,689,377,full,attention,256,42,yolo_sppf_full_attention256_seed42,3,12.566666666666666,>=8,Attention-256,smoothed_frames,0.25,1
test_1,Mouse060_20160526_18-16-27,investigation,716,1090,375,full,attention,256,42,yolo_sppf_full_attention256_seed42,4,12.5,>=8,Attention-256,smoothed_frames,0.25,0
test_1,Mouse060_20160526_18-16-27,investigation,1117,1288,172,full,attention,256,42,yolo_sppf_full_attention256_seed42,5,5.733333333333333,4-8,Attention-256,smoothed_frames,0.25,0
test_1,Mouse060_20160526_18-16-27,investigation,1306,1602,297,full,attention,256,42,yolo_sppf_full_attention256_seed42,6,9.9,>=8,Attention-256,smoothed_frames,0.25,1
test_1,Mouse060_20160526_18-16-27,investigation,1653,1780,128,full,attention,256,42,yolo_sppf_full_attention256_seed42,7,4.266666666666667,4-8,Attention-256,smoothed_frames,0.25,0
test_1,Mouse060_20160526_18-16-27,investigation,1801,1967,167,full,attention,256,42,yolo_sppf_full_attention256_seed42,8,5.566666666666666,4-8,Attention-256,smoothed_frames,0.25,1
test_1,Mouse060_20160526_18-16-27,investigation,2178,2323,146,full,attention,256,42,yolo_sppf_full_attention256_seed42,9,4.866666666666666,4-8,Attention-256,smoothed_frames,0.25,1
test_1,Mouse060_20160526_18-16-27,investigation,2559,2597,39,full,attention,256,42,yolo_sppf_full_attention256_seed42,10,1.3,1-2,Attention-256,smoothed_frames,0.25,0
