track,from_behavior,to_behavior,model_probability,ground_truth_probability,difference_model_minus_ground_truth
Full attention-256,attack,attack,0.0,0.0,0.0
Full attention-256,attack,investigation,0.358974358974359,0.042134831460674156,0.3168395275136848
Full attention-256,attack,mount,0.047619047619047616,0.0,0.047619047619047616
Full attention-256,attack,other,0.5934065934065934,0.9578651685393258,-0.3644585751327324
Full attention-256,investigation,attack,0.14869466515323496,0.010238907849829351,0.1384557573034056
Full attention-256,investigation,investigation,0.0,0.0,0.0
Full attention-256,investigation,mount,0.18501702610669693,0.010921501706484642,0.17409552440021228
Full attention-256,investigation,other,0.6662883087400681,0.978839590443686,-0.3125512817036179
Full attention-256,mount,attack,0.054187192118226604,0.0,0.054187192118226604
Full attention-256,mount,investigation,0.6896551724137931,0.09223300970873786,0.5974221627050553
Full attention-256,mount,mount,0.0,0.0,0.0
Full attention-256,mount,other,0.2561576354679803,0.9077669902912622,-0.6516093548232819
Full attention-256,other,attack,0.1613722998729352,0.17344862665310273,-0.01207632678016754
Full attention-256,other,investigation,0.8017789072426937,0.7288911495422177,0.07288775770047606
Full attention-256,other,mount,0.036848792884371026,0.09766022380467955,-0.060811430920308523
Full attention-256,other,other,0.0,0.0,0.0
Full LSTM-256,attack,attack,0.0,0.0,0.0
Full LSTM-256,attack,investigation,0.34516129032258064,0.042134831460674156,0.3030264588619065
Full LSTM-256,attack,mount,0.04516129032258064,0.0,0.04516129032258064
Full LSTM-256,attack,other,0.6096774193548387,0.9578651685393258,-0.34818774918448714
Full LSTM-256,investigation,attack,0.17488262910798122,0.010238907849829351,0.16464372125815185
Full LSTM-256,investigation,investigation,0.0,0.0,0.0
Full LSTM-256,investigation,mount,0.19718309859154928,0.010921501706484642,0.18626159688506463
Full LSTM-256,investigation,other,0.6279342723004695,0.978839590443686,-0.35090531814321646
Full LSTM-256,mount,attack,0.08173076923076923,0.0,0.08173076923076923
Full LSTM-256,mount,investigation,0.6490384615384616,0.09223300970873786,0.5568054518297237
Full LSTM-256,mount,mount,0.0,0.0,0.0
Full LSTM-256,mount,other,0.2692307692307692,0.9077669902912622,-0.638536221060493
Full LSTM-256,other,attack,0.1814621409921671,0.17344862665310273,0.00801351433906436
Full LSTM-256,other,investigation,0.7819843342036553,0.7288911495422177,0.05309318466143764
Full LSTM-256,other,mount,0.03655352480417755,0.09766022380467955,-0.061106699000502
Full LSTM-256,other,other,0.0,0.0,0.0
