track,from_behavior,to_behavior,transition_probability
Ground truth,attack,attack,0.0
Ground truth,attack,investigation,0.042134831460674156
Ground truth,attack,mount,0.0
Ground truth,attack,other,0.9578651685393258
Ground truth,investigation,attack,0.010238907849829351
Ground truth,investigation,investigation,0.0
Ground truth,investigation,mount,0.010921501706484642
Ground truth,investigation,other,0.978839590443686
Ground truth,mount,attack,0.0
Ground truth,mount,investigation,0.09223300970873786
Ground truth,mount,mount,0.0
Ground truth,mount,other,0.9077669902912622
Ground truth,other,attack,0.17344862665310273
Ground truth,other,investigation,0.7288911495422177
Ground truth,other,mount,0.09766022380467955
Ground truth,other,other,0.0
Full attention-256,attack,attack,0.0
Full attention-256,attack,investigation,0.358974358974359
Full attention-256,attack,mount,0.047619047619047616
Full attention-256,attack,other,0.5934065934065934
Full attention-256,investigation,attack,0.14869466515323496
Full attention-256,investigation,investigation,0.0
Full attention-256,investigation,mount,0.18501702610669693
Full attention-256,investigation,other,0.6662883087400681
Full attention-256,mount,attack,0.054187192118226604
Full attention-256,mount,investigation,0.6896551724137931
Full attention-256,mount,mount,0.0
Full attention-256,mount,other,0.2561576354679803
Full attention-256,other,attack,0.1613722998729352
Full attention-256,other,investigation,0.8017789072426937
Full attention-256,other,mount,0.036848792884371026
Full attention-256,other,other,0.0
Full LSTM-256,attack,attack,0.0
Full LSTM-256,attack,investigation,0.34516129032258064
Full LSTM-256,attack,mount,0.04516129032258064
Full LSTM-256,attack,other,0.6096774193548387
Full LSTM-256,investigation,attack,0.17488262910798122
Full LSTM-256,investigation,investigation,0.0
Full LSTM-256,investigation,mount,0.19718309859154928
Full LSTM-256,investigation,other,0.6279342723004695
Full LSTM-256,mount,attack,0.08173076923076923
Full LSTM-256,mount,investigation,0.6490384615384616
Full LSTM-256,mount,mount,0.0
Full LSTM-256,mount,other,0.2692307692307692
Full LSTM-256,other,attack,0.1814621409921671
Full LSTM-256,other,investigation,0.7819843342036553
Full LSTM-256,other,mount,0.03655352480417755
Full LSTM-256,other,other,0.0
