track,head,capacity,class,n_seeds,n_bouts_mean,median_duration_frames_mean,mean_duration_frames_mean,total_duration_frames_mean,n_bouts_sd,median_duration_frames_sd,mean_duration_frames_sd,total_duration_frames_sd
Ground truth,ground_truth,0,attack,1,356.0,39.0,53.561797752808985,19068.0,0.0,0.0,0.0,0.0
Ground truth,ground_truth,0,investigation,1,1467.0,21.0,52.29652351738241,76719.0,0.0,0.0,0.0,0.0
Ground truth,ground_truth,0,mount,1,208.0,74.5,169.61057692307693,35279.0,0.0,0.0,0.0,0.0
Attention-256,attention,256,attack,3,269.0,64.0,88.36750889853796,23776.0,3.605551275463989,0.0,2.7272113700912595,1000.8636270741384
Attention-256,attention,256,investigation,3,904.3333333333334,48.0,96.10131826741997,86938.66666666667,34.35597958628646,0.0,1.5285092599447097,4597.608653782237
Attention-256,attention,256,mount,3,199.33333333333334,80.0,181.63502991925665,36197.333333333336,11.59022576714247,0.0,1.6174985859100115,1904.627347628226
Attention-512,attention,512,attack,3,302.0,69.33333333333333,92.20484168378904,27824.0,26.888659319497503,9.237604307034013,3.0510193912171197,2235.0230423868115
Attention-512,attention,512,investigation,3,903.0,48.0,97.12182819144066,87728.0,30.805843601498726,0.0,1.9108478030927802,4341.015549384729
Attention-512,attention,512,mount,3,192.33333333333334,80.0,183.54467571763664,35301.333333333336,4.163331998932262,0.0,2.9979570665860233,933.5466422912845
Attention-896,attention,896,attack,3,278.0,69.33333333333333,94.25121803572226,26202.666666666668,11.532562594670797,9.237604307034012,0.7375601395964153,1132.3132664299808
Attention-896,attention,896,investigation,3,925.3333333333334,48.0,97.16687032772182,90064.0,64.63229326995393,0.0,3.6331017454517944,9450.285921600467
Attention-896,attention,896,mount,3,201.66666666666666,80.0,178.82103203717293,35962.666666666664,26.312227829154512,0.0,5.676557756615728,3475.439156902812
LSTM-256,lstm,256,attack,3,282.3333333333333,58.666666666666664,76.29024914066264,21530.666666666668,25.106440076867393,9.237604307034013,1.1852740048008186,1778.4007797269246
LSTM-256,lstm,256,investigation,3,905.3333333333334,48.0,94.37213725568851,85365.33333333333,51.53962876596349,0.0,2.4956831464933265,3178.903794287167
LSTM-256,lstm,256,mount,3,205.66666666666666,80.0,176.69494781947614,36309.333333333336,9.291573243177572,0.0,5.454287429267073,792.0134678989577
LSTM-512,lstm,512,attack,3,264.0,64.0,83.74724365873746,22144.0,12.489995996796797,0.0,6.0822939501960205,2424.9898968861708
LSTM-512,lstm,512,investigation,3,944.6666666666666,48.0,96.0702050458562,90869.33333333333,33.531080109852326,0.0,5.323525214104146,8155.439248338091
LSTM-512,lstm,512,mount,3,194.33333333333334,80.0,175.66567637155876,34112.0,6.350852961085888,0.0,6.075796713376429,69.74238309665078
LSTM-896,lstm,896,attack,3,265.6666666666667,69.33333333333333,90.14939205295742,23930.666666666668,18.556220879622373,9.237604307034012,1.8270364866810815,1293.9572378302669
LSTM-896,lstm,896,investigation,3,954.6666666666666,48.0,97.8821683550367,93488.0,33.47138081007914,0.0,3.4221983841706396,5823.91208724857
LSTM-896,lstm,896,mount,3,199.33333333333334,80.0,158.51534957417311,31594.666666666668,4.163331998932268,0.0,4.088029634134452,908.2495985869382
