track,head,capacity,seed,class,gt_bouts,gt_bouts_with_any_overlap,gt_bouts_split_by_multiple_predictions,fraction_gt_bouts_split,mean_gt_coverage_fraction
Attention-256,attention,256,42,attack,356,327,21,0.05898876404494382,0.8551976513682037
Attention-256,attention,256,42,investigation,1467,925,22,0.014996591683708248,0.546712128495383
Attention-256,attention,256,42,mount,208,185,2,0.009615384615384616,0.8113666465524894
Attention-256,attention,256,43,attack,356,323,15,0.042134831460674156,0.8206137810288762
Attention-256,attention,256,43,investigation,1467,925,15,0.010224948875255624,0.5451777425516998
Attention-256,attention,256,43,mount,208,167,9,0.04326923076923077,0.6999267431857557
Attention-256,attention,256,44,attack,356,325,18,0.05056179775280899,0.8311544596730048
Attention-256,attention,256,44,investigation,1467,1003,18,0.012269938650306749,0.6015830924853309
Attention-256,attention,256,44,mount,208,180,1,0.004807692307692308,0.7857416598304331
Attention-512,attention,512,42,attack,356,341,11,0.03089887640449438,0.9194296352677389
Attention-512,attention,512,42,investigation,1467,891,36,0.024539877300613498,0.5224471848556872
Attention-512,attention,512,42,mount,208,174,6,0.028846153846153848,0.745753610372193
Attention-512,attention,512,43,attack,356,335,17,0.047752808988764044,0.8795121747196694
Attention-512,attention,512,43,investigation,1467,992,18,0.012269938650306749,0.604057700370584
Attention-512,attention,512,43,mount,208,167,8,0.038461538461538464,0.7008798358437575
Attention-512,attention,512,44,attack,356,335,13,0.03651685393258427,0.8928715206351479
Attention-512,attention,512,44,investigation,1467,952,23,0.015678254942058625,0.5709703240454455
Attention-512,attention,512,44,mount,208,176,2,0.009615384615384616,0.7630535713757538
Attention-896,attention,896,42,attack,356,332,12,0.033707865168539325,0.8897035587306352
Attention-896,attention,896,42,investigation,1467,863,35,0.023858214042263123,0.4896494454659383
Attention-896,attention,896,42,mount,208,197,2,0.009615384615384616,0.8951042549620799
Attention-896,attention,896,43,attack,356,332,15,0.042134831460674156,0.8750826586433432
Attention-896,attention,896,43,investigation,1467,1040,14,0.00954328561690525,0.6394242652896897
Attention-896,attention,896,43,mount,208,168,8,0.038461538461538464,0.7016441563744316
Attention-896,attention,896,44,attack,356,336,16,0.0449438202247191,0.8928968141906878
Attention-896,attention,896,44,investigation,1467,1002,15,0.010224948875255624,0.613319258859739
Attention-896,attention,896,44,mount,208,169,9,0.04326923076923077,0.7055715837078356
LSTM-256,lstm,256,42,attack,356,319,18,0.05056179775280899,0.8005824320613477
LSTM-256,lstm,256,42,investigation,1467,889,25,0.017041581458759374,0.5188826638775088
LSTM-256,lstm,256,42,mount,208,179,1,0.004807692307692308,0.7747486038836775
LSTM-256,lstm,256,43,attack,356,301,13,0.03651685393258427,0.7297021332801122
LSTM-256,lstm,256,43,investigation,1467,930,17,0.011588275391956374,0.537182198654958
LSTM-256,lstm,256,43,mount,208,172,4,0.019230769230769232,0.7189721009822116
LSTM-256,lstm,256,44,attack,356,312,21,0.05898876404494382,0.7640897601935535
LSTM-256,lstm,256,44,investigation,1467,968,19,0.012951601908657124,0.5750940988980378
LSTM-256,lstm,256,44,mount,208,182,3,0.014423076923076924,0.7549186211966392
LSTM-512,lstm,512,42,attack,356,328,19,0.05337078651685393,0.8484923547817813
LSTM-512,lstm,512,42,investigation,1467,966,21,0.014314928425357873,0.5797723707379037
LSTM-512,lstm,512,42,mount,208,175,7,0.03365384615384615,0.7104969683872076
LSTM-512,lstm,512,43,attack,356,299,16,0.0449438202247191,0.7330944683573338
LSTM-512,lstm,512,43,investigation,1467,910,25,0.017041581458759374,0.5172937802422259
LSTM-512,lstm,512,43,mount,208,167,10,0.04807692307692308,0.6699333147007628
LSTM-512,lstm,512,44,attack,356,320,15,0.042134831460674156,0.8143675907938918
LSTM-512,lstm,512,44,investigation,1467,1050,11,0.007498295841854124,0.6382367798120813
LSTM-512,lstm,512,44,mount,208,169,5,0.02403846153846154,0.6763247236538455
LSTM-896,lstm,896,42,attack,356,331,16,0.0449438202247191,0.8694155795132348
LSTM-896,lstm,896,42,investigation,1467,920,26,0.01772324471710975,0.5427957897180623
LSTM-896,lstm,896,42,mount,208,168,13,0.0625,0.6703093518979123
LSTM-896,lstm,896,43,attack,356,316,16,0.0449438202247191,0.8155673914520674
LSTM-896,lstm,896,43,investigation,1467,996,15,0.010224948875255624,0.5964537689345801
LSTM-896,lstm,896,43,mount,208,162,13,0.0625,0.6303261122725023
LSTM-896,lstm,896,44,attack,356,322,14,0.03932584269662921,0.8295918684352038
LSTM-896,lstm,896,44,investigation,1467,1043,11,0.007498295841854124,0.6326418591116671
LSTM-896,lstm,896,44,mount,208,159,15,0.07211538461538461,0.6040571709998731
