track,head,capacity,seed,from_behavior,same_class_transitions,median_same_class_gap_frames,p25_same_class_gap_frames,p75_same_class_gap_frames,fraction_same_class_gap_le_15_frames
Attention-256,attention,256,42,attack,92,48.0,32.0,100.0,0.0
Attention-256,attention,256,42,investigation,511,144.0,64.0,320.0,0.0
Attention-256,attention,256,42,mount,6,128.0,128.0,332.0,0.0
Attention-256,attention,256,43,attack,85,48.0,32.0,80.0,0.0
Attention-256,attention,256,43,investigation,518,144.0,64.0,304.0,0.0
Attention-256,attention,256,43,mount,4,128.0,104.0,196.0,0.0
Attention-256,attention,256,44,attack,72,48.0,32.0,96.0,0.0
Attention-256,attention,256,44,investigation,550,144.0,68.0,304.0,0.0
Attention-256,attention,256,44,mount,5,128.0,128.0,400.0,0.0
Attention-512,attention,512,42,attack,114,48.0,32.0,112.0,0.0
Attention-512,attention,512,42,investigation,503,144.0,80.0,304.0,0.0
Attention-512,attention,512,42,mount,6,128.0,92.0,332.0,0.0
Attention-512,attention,512,43,attack,81,48.0,32.0,96.0,0.0
Attention-512,attention,512,43,investigation,549,144.0,64.0,304.0,0.0
Attention-512,attention,512,43,mount,3,80.0,56.0,104.0,0.0
Attention-512,attention,512,44,attack,92,56.0,32.0,112.0,0.0
Attention-512,attention,512,44,investigation,524,144.0,80.0,320.0,0.0
Attention-512,attention,512,44,mount,5,128.0,112.0,400.0,0.0
Attention-896,attention,896,42,attack,105,48.0,32.0,112.0,0.0
Attention-896,attention,896,42,investigation,468,144.0,64.0,304.0,0.0
Attention-896,attention,896,42,mount,10,128.0,104.0,340.0,0.0
Attention-896,attention,896,43,attack,66,48.0,32.0,80.0,0.0
Attention-896,attention,896,43,investigation,587,144.0,64.0,304.0,0.0
Attention-896,attention,896,43,mount,2,104.0,92.0,116.0,0.0
Attention-896,attention,896,44,attack,84,48.0,32.0,84.0,0.0
Attention-896,attention,896,44,investigation,571,144.0,80.0,304.0,0.0
Attention-896,attention,896,44,mount,2,104.0,92.0,116.0,0.0
Ground truth,ground_truth,0,0,attack,24,14.0,8.75,38.25,0.5833333333333334
Ground truth,ground_truth,0,0,investigation,910,103.0,36.0,236.75,0.08351648351648351
LSTM-256,lstm,256,42,attack,105,64.0,48.0,112.0,0.0
LSTM-256,lstm,256,42,investigation,469,144.0,64.0,320.0,0.0
LSTM-256,lstm,256,42,mount,7,224.0,144.0,304.0,0.0
LSTM-256,lstm,256,43,attack,72,64.0,48.0,100.0,0.0
LSTM-256,lstm,256,43,investigation,523,144.0,64.0,320.0,0.0
LSTM-256,lstm,256,43,mount,4,112.0,92.0,192.0,0.0
LSTM-256,lstm,256,44,attack,67,64.0,48.0,112.0,0.0
LSTM-256,lstm,256,44,investigation,552,144.0,64.0,320.0,0.0
LSTM-256,lstm,256,44,mount,3,128.0,72.0,176.0,0.0
LSTM-512,lstm,512,42,attack,84,64.0,32.0,100.0,0.0
LSTM-512,lstm,512,42,investigation,556,144.0,64.0,308.0,0.0
LSTM-512,lstm,512,42,mount,2,104.0,84.0,124.0,0.0
LSTM-512,lstm,512,43,attack,69,64.0,48.0,112.0,0.0
LSTM-512,lstm,512,43,investigation,532,144.0,64.0,320.0,0.0
LSTM-512,lstm,512,43,mount,4,120.0,92.0,240.0,0.0
LSTM-512,lstm,512,44,attack,58,64.0,48.0,108.0,0.0
LSTM-512,lstm,512,44,investigation,586,144.0,64.0,304.0,0.0
LSTM-512,lstm,512,44,mount,1,384.0,384.0,384.0,0.0
LSTM-896,lstm,896,42,attack,97,64.0,32.0,112.0,0.0
LSTM-896,lstm,896,42,investigation,531,144.0,64.0,320.0,0.0
LSTM-896,lstm,896,42,mount,3,144.0,104.0,264.0,0.0
LSTM-896,lstm,896,43,attack,59,48.0,32.0,88.0,0.0
LSTM-896,lstm,896,43,investigation,565,144.0,64.0,320.0,0.0
LSTM-896,lstm,896,44,attack,55,48.0,32.0,80.0,0.0
LSTM-896,lstm,896,44,investigation,569,144.0,80.0,320.0,0.0
