track,head,capacity,from_behavior,n_seeds,n_transitions_mean,same_class_transitions_mean,same_class_transition_fraction_mean,median_gap_frames_mean,n_transitions_sd,same_class_transitions_sd,same_class_transition_fraction_sd,median_gap_frames_sd
Ground truth,ground_truth,0,attack,1,356.0,24.0,0.06741573033707865,14.0,0.0,0.0,0.0,0.0
Ground truth,ground_truth,0,investigation,1,1444.0,910.0,0.6301939058171745,31.0,0.0,0.0,0.0,0.0
Ground truth,ground_truth,0,mount,1,203.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Attention-256,attention,256,attack,3,267.6666666666667,83.0,0.3099559708118862,26.666666666666668,4.0414518843273814,10.14889156509222,0.035830012405108386,9.237604307034013
Attention-256,attention,256,investigation,3,882.6666666666666,526.3333333333334,0.5962912485986211,64.0,34.078341117685504,20.792626898334245,0.003371115039059751,0.0
Attention-256,attention,256,mount,3,194.33333333333334,5.0,0.0256173075871123,0.0,11.59022576714247,1.0,0.004020650896117393,0.0
Attention-512,attention,512,attack,3,300.6666666666667,95.66666666666667,0.3167265450092543,26.666666666666668,26.31222782915452,16.802777548171413,0.029785156109984702,9.237604307034012
Attention-512,attention,512,investigation,3,881.3333333333334,525.3333333333334,0.5959409817876143,64.0,30.353473167552565,23.028967265887832,0.006143887482016388,0.0
Attention-512,attention,512,mount,3,187.33333333333334,4.666666666666667,0.024926464858968364,0.0,4.163331998932262,1.5275252316519465,0.008296239069584934,0.0
Attention-896,attention,896,attack,3,276.6666666666667,85.0,0.305784478991072,21.333333333333332,11.150485789118484,19.519221295943137,0.059507140978259154,9.237604307034012
Attention-896,attention,896,investigation,3,903.3333333333334,542.0,0.5985745415674714,69.33333333333333,63.689350234818164,64.5832795698701,0.030670655453887898,9.237604307034013
Attention-896,attention,896,mount,3,197.0,4.666666666666667,0.02201051631388777,0.0,26.0,4.618802153517007,0.019089328061995946,0.0
LSTM-256,lstm,256,attack,3,279.3333333333333,81.33333333333333,0.28892670683983357,32.0,23.45918441321721,20.647840887931437,0.05075949180157317,0.0
LSTM-256,lstm,256,investigation,3,884.6666666666666,514.6666666666666,0.5812405682177325,58.666666666666664,49.60174728105185,42.122836245121654,0.01820987040359967,9.237604307034013
LSTM-256,lstm,256,mount,3,201.33333333333334,4.666666666666667,0.023170608921151636,0.0,9.073771725877464,2.081665999466133,0.010048654102957095,0.0
LSTM-512,lstm,512,attack,3,262.0,70.33333333333333,0.26772881614385163,16.0,12.767145334803704,13.05118130030126,0.04068168781577854,0.0
LSTM-512,lstm,512,investigation,3,922.6666666666666,558.0,0.6045814270781977,64.0,32.532035493238574,27.055498516937366,0.007981674692603743,0.0
LSTM-512,lstm,512,mount,3,190.33333333333334,2.3333333333333335,0.012130771975287778,0.0,6.350852961085888,1.5275252316519468,0.007739501457410803,0.0
LSTM-896,lstm,896,attack,3,264.3333333333333,70.33333333333333,0.2635826852639626,21.333333333333332,18.036999011291577,23.180451534284945,0.07016026474382925,9.237604307034012
LSTM-896,lstm,896,investigation,3,932.0,555.0,0.5954644844421155,64.0,32.90896534380867,20.8806130178211,0.0032096514696436144,0.0
LSTM-896,lstm,896,mount,3,195.33333333333334,1.0,0.005154639175257732,0.0,4.163331998932268,1.7320508075688772,0.008928096946231328,0.0
