track,head,capacity,seed,from_behavior,n_transitions,same_class_transitions,same_class_transition_fraction,median_gap_frames
Attention-256,attention,256,42,attack,272,92,0.3382352941176471,32.0
Attention-256,attention,256,42,investigation,862,511,0.5928074245939675,64.0
Attention-256,attention,256,42,mount,200,6,0.03,0.0
Attention-256,attention,256,43,attack,264,85,0.32196969696969696,32.0
Attention-256,attention,256,43,investigation,864,518,0.5995370370370371,64.0
Attention-256,attention,256,43,mount,181,4,0.022099447513812154,0.0
Attention-256,attention,256,44,attack,267,72,0.2696629213483146,16.0
Attention-256,attention,256,44,investigation,922,550,0.596529284164859,64.0
Attention-256,attention,256,44,mount,202,5,0.024752475247524754,0.0
Attention-512,attention,512,42,attack,331,114,0.34441087613293053,32.0
Attention-512,attention,512,42,investigation,854,503,0.5889929742388759,64.0
Attention-512,attention,512,42,mount,184,6,0.03260869565217391,0.0
Attention-512,attention,512,43,attack,284,81,0.2852112676056338,16.0
Attention-512,attention,512,43,investigation,914,549,0.600656455142232,64.0
Attention-512,attention,512,43,mount,186,3,0.016129032258064516,0.0
Attention-512,attention,512,44,attack,287,92,0.3205574912891986,32.0
Attention-512,attention,512,44,investigation,876,524,0.5981735159817352,64.0
Attention-512,attention,512,44,mount,192,5,0.026041666666666668,0.0
Attention-896,attention,896,42,attack,285,105,0.3684210526315789,32.0
Attention-896,attention,896,42,investigation,831,468,0.5631768953068592,64.0
Attention-896,attention,896,42,mount,227,10,0.04405286343612335,0.0
Attention-896,attention,896,43,attack,264,66,0.25,16.0
Attention-896,attention,896,43,investigation,951,587,0.6172450052576236,64.0
Attention-896,attention,896,43,mount,181,2,0.011049723756906077,0.0
Attention-896,attention,896,44,attack,281,84,0.298932384341637,16.0
Attention-896,attention,896,44,investigation,928,571,0.615301724137931,80.0
Attention-896,attention,896,44,mount,183,2,0.01092896174863388,0.0
Ground truth,ground_truth,0,0,attack,356,24,0.06741573033707865,14.0
Ground truth,ground_truth,0,0,investigation,1444,910,0.6301939058171745,31.0
Ground truth,ground_truth,0,0,mount,203,0,0.0,1.0
LSTM-256,lstm,256,42,attack,305,105,0.3442622950819672,32.0
LSTM-256,lstm,256,42,investigation,837,469,0.5603345280764636,48.0
LSTM-256,lstm,256,42,mount,205,7,0.03414634146341464,0.0
LSTM-256,lstm,256,43,attack,259,72,0.277992277992278,32.0
LSTM-256,lstm,256,43,investigation,881,523,0.5936435868331441,64.0
LSTM-256,lstm,256,43,mount,191,4,0.020942408376963352,0.0
LSTM-256,lstm,256,44,attack,274,67,0.24452554744525548,32.0
LSTM-256,lstm,256,44,investigation,936,552,0.5897435897435898,64.0
LSTM-256,lstm,256,44,mount,208,3,0.014423076923076924,0.0
LSTM-512,lstm,512,42,attack,276,84,0.30434782608695654,16.0
LSTM-512,lstm,512,42,investigation,921,556,0.6036916395222585,64.0
LSTM-512,lstm,512,42,mount,194,2,0.010309278350515464,0.0
LSTM-512,lstm,512,43,attack,251,69,0.2749003984063745,16.0
LSTM-512,lstm,512,43,investigation,891,532,0.5970819304152637,64.0
LSTM-512,lstm,512,43,mount,194,4,0.020618556701030927,0.0
LSTM-512,lstm,512,44,attack,259,58,0.22393822393822393,16.0
LSTM-512,lstm,512,44,investigation,956,586,0.6129707112970711,64.0
LSTM-512,lstm,512,44,mount,183,1,0.00546448087431694,0.0
LSTM-896,lstm,896,42,attack,283,97,0.34275618374558303,32.0
LSTM-896,lstm,896,42,investigation,895,531,0.5932960893854748,64.0
LSTM-896,lstm,896,42,mount,194,3,0.015463917525773196,0.0
LSTM-896,lstm,896,43,attack,247,59,0.2388663967611336,16.0
LSTM-896,lstm,896,43,investigation,943,565,0.5991516436903499,64.0
LSTM-896,lstm,896,43,mount,200,0,0.0,0.0
LSTM-896,lstm,896,44,attack,263,55,0.20912547528517111,16.0
LSTM-896,lstm,896,44,investigation,958,569,0.593945720250522,64.0
LSTM-896,lstm,896,44,mount,192,0,0.0,0.0
