track,head,capacity,n,n_seeds,ngram_precision_mean,ngram_recall_mean,ngram_f1_mean,sequence_length_ratio_pred_over_gt_mean,normalized_edit_similarity_mean,ngram_precision_sd,ngram_recall_sd,ngram_f1_sd,sequence_length_ratio_pred_over_gt_sd,normalized_edit_similarity_sd
Attention-256,attention,256,1,3,0.9634946031784738,0.6944474518437884,0.7924590444892138,0.7242114325880568,0.656964923498644,0.0046635921765377925,0.01775132251410935,0.01384022744527767,0.020854702711957013,0.01754509396476035
Attention-256,attention,256,2,3,0.9024658562216197,0.6522941701732211,0.7431194421741786,0.7242114325880568,0.656964923498644,0.01018295105875936,0.015215906865557639,0.012645044147090558,0.020854702711957013,0.01754509396476035
Attention-256,attention,256,3,3,0.8332672626401179,0.5976205881363027,0.6824502263466591,0.7242114325880568,0.656964923498644,0.02066022465406103,0.014234973060825046,0.01434392139531662,0.020854702711957013,0.01754509396476035
Attention-256,attention,256,4,3,0.7487421894367324,0.5367630252937575,0.6131461990870846,0.7242114325880568,0.656964923498644,0.024797223076732034,0.01575210926932251,0.01792474248440815,0.020854702711957013,0.01754509396476035
Attention-512,attention,512,1,3,0.9473156864745645,0.6956657109085151,0.7851312972424217,0.7429177492361049,0.6504466704952958,0.012906818901626725,0.004067883930384241,0.010952287691556994,0.010784795859072542,0.012791257865329598
Attention-512,attention,512,2,3,0.865427760470399,0.63823757442101,0.718974623713871,0.7429177492361049,0.6504466704952958,0.03810431367351434,0.020707385409809657,0.02987154843499231,0.010784795859072542,0.012791257865329598
Attention-512,attention,512,3,3,0.7865048824057981,0.5738643773082309,0.6490716914049629,0.7429177492361049,0.6504466704952958,0.05169850677786984,0.031763642357905734,0.0411212141020588,0.010784795859072542,0.012791257865329598
Attention-512,attention,512,4,3,0.6946280336760338,0.5085696211259689,0.5743405607318222,0.7429177492361049,0.6504466704952958,0.05710759100802596,0.033679489843129094,0.04384995081039407,0.010784795859072542,0.012791257865329598
Attention-896,attention,896,1,3,0.9556176151293831,0.7028479132235897,0.7947542189325886,0.7420116675137444,0.6639712290849397,0.0118856226216703,0.012939784259878809,0.013197686400380134,0.008595136596013584,0.00926254705056505
Attention-896,attention,896,2,3,0.8866946750666953,0.6556171448018544,0.7394814869953349,0.7420116675137444,0.6639712290849397,0.04537277325084432,0.03173464696892832,0.03643422771086113,0.008595136596013584,0.00926254705056505
Attention-896,attention,896,3,3,0.8152626829539811,0.599698926369404,0.6774301083653539,0.7420116675137444,0.6639712290849397,0.056625283966185984,0.03465452511543396,0.041988897163178135,0.008595136596013584,0.00926254705056505
Attention-896,attention,896,4,3,0.7238019014507028,0.5344185142428647,0.6028706839409889,0.7420116675137444,0.6639712290849397,0.06773917860106589,0.03815538758787671,0.047783398177571115,0.008595136596013584,0.00926254705056505
LSTM-256,lstm,256,1,3,0.9521611675469462,0.6925250405519413,0.7878084187696798,0.7304883100413625,0.6544211120213596,0.015083474355060448,0.01680756265391364,0.012035271748015938,0.02455267106887465,0.008619616387170195
LSTM-256,lstm,256,2,3,0.89259876577047,0.6491623381296716,0.7377576156277152,0.7304883100413625,0.6544211120213596,0.029937753832715516,0.020825271959687586,0.021694451753536972,0.02455267106887465,0.008619616387170195
LSTM-256,lstm,256,3,3,0.8219414005141733,0.5912691992772201,0.6741616697852462,0.7304883100413625,0.6544211120213596,0.041910241174200634,0.025410084216900098,0.03010695854053268,0.02455267106887465,0.008619616387170195
LSTM-256,lstm,256,4,3,0.7378630925098806,0.5282330064140531,0.6028619230541739,0.7304883100413625,0.6544211120213596,0.051218041669152656,0.029787926269946738,0.03685011761136102,0.02455267106887465,0.008619616387170195
LSTM-512,lstm,512,1,3,0.9629298628629345,0.7038519103188453,0.7977114876632866,0.7365683397254802,0.661594370035973,0.007447298602466375,0.02518505121049054,0.017237203610164266,0.03238366168265231,0.01776817313801239
LSTM-512,lstm,512,2,3,0.9152092445274894,0.6686388631994467,0.7574244086359346,0.7365683397254802,0.661594370035973,0.01828863122439981,0.02736995864270361,0.022925299944253755,0.03238366168265231,0.01776817313801239
LSTM-512,lstm,512,3,3,0.8553013695929105,0.6193435323746986,0.7036522577370595,0.7365683397254802,0.661594370035973,0.026070132513697407,0.024850967400703135,0.02442659005948315,0.03238366168265231,0.01776817313801239
LSTM-512,lstm,512,4,3,0.7714362767490028,0.557642390765573,0.6339715202124103,0.7365683397254802,0.661594370035973,0.03398677793724285,0.02274976475969083,0.026410967917496884,0.03238366168265231,0.01776817313801239
LSTM-896,lstm,896,1,3,0.9575867347634787,0.7079110211770058,0.7954031881191795,0.7493298674043568,0.6589703330058878,0.0013865987617525243,0.006613405406143693,0.00568134638144764,0.007977367912112903,0.007910060950543512
LSTM-896,lstm,896,2,3,0.9097292418784386,0.6705479877307994,0.75365837551777,0.7493298674043568,0.6589703330058878,0.016146164428906668,0.013158473043696134,0.015024276311955465,0.007977367912112903,0.007910060950543512
LSTM-896,lstm,896,3,3,0.8483701488001643,0.6173272223083491,0.6968065898997513,0.7493298674043568,0.6589703330058878,0.027894312839034627,0.020133128849534547,0.02347972579875776,0.007977367912112903,0.007910060950543512
LSTM-896,lstm,896,4,3,0.770540199821629,0.5556851424859448,0.628807628854942,0.7493298674043568,0.6589703330058878,0.038931111399932335,0.0257036638874725,0.030474439033064814,0.007977367912112903,0.007910060950543512
