head,stream,capacity,frame_f1,bout_f1_iou25,reduction_frame_vs_full_best,reduction_bout_vs_full_best
attention,full,256,0.7518452477484304,0.6795077242237585,0.0,0.0
attention,no_group_visual,512,0.7391695045066622,0.6662885935650542,0.012675743241768234,0.013219130658704281
attention,pose_relations_only,896,0.7279640520343964,0.6618180663228063,0.02388119571403402,0.017689657900952227
attention,no_relations,896,0.6972828824796533,0.6136070866847679,0.05456236526877711,0.06590063753899056
attention,visual_only,896,0.6867240836390641,0.6000510108107545,0.0651211641093663,0.07945671341300398
attention,animal_visual_only,256,0.680001956359248,0.5803997946246924,0.07184329138918244,0.09910792959906611
lstm,full,256,0.7466517003077143,0.6722245273898108,0.0,0.0
lstm,no_group_visual,256,0.7338022464570075,0.6588834903059047,0.012849453850706793,0.013341037083906104
lstm,pose_relations_only,896,0.712162034511144,0.6402645798416439,0.03448966579657031,0.03195994754816689
lstm,no_relations,512,0.6980449608492701,0.631645302400821,0.04860673945844418,0.040579224988989804
lstm,visual_only,896,0.6745861200251818,0.595141843360259,0.07206558028253252,0.07708268402955176
lstm,animal_visual_only,256,0.6377158320339048,0.55731668473619,0.10893586827380952,0.11490784265362075
