stream,head,capacity,prediction_type,n_seeds,evaluated_videos,mean_accuracy_seed_mean,mean_frame_macro_f1_present_behaviors_seed_mean,mean_bout_macro_f1_iou10_present_behaviors_seed_mean,mean_bout_macro_f1_iou25_present_behaviors_seed_mean,mean_bout_macro_f1_iou50_present_behaviors_seed_mean,mean_accuracy_seed_sd,mean_frame_macro_f1_present_behaviors_seed_sd,mean_bout_macro_f1_iou10_present_behaviors_seed_sd,mean_bout_macro_f1_iou25_present_behaviors_seed_sd,mean_bout_macro_f1_iou50_present_behaviors_seed_sd
animal_visual_only,attention,256,raw_windows,3,28.0,0.8419997397693314,0.6800431094725864,0.643456239665229,0.5806135433976031,0.41424558663725125,0.004052743435955924,0.0034054790467164917,0.009110811201624372,0.003979834045451899,0.0020728232202972797
animal_visual_only,attention,256,smoothed_frames,3,28.0,0.8419374956022136,0.680001956359248,0.6433947169864536,0.5803997946246924,0.4141150101815623,0.004052743435955783,0.0034049113291221003,0.009136226749335905,0.003979545258694127,0.0020851482489147757
animal_visual_only,attention,512,raw_windows,3,28.0,0.8320368392401128,0.6757948258083077,0.6372828807662055,0.5673760638721194,0.4008196869171971,0.007187065421034748,0.009089722886435265,0.019479175440299104,0.023146542410746124,0.009707867412284334
animal_visual_only,attention,512,smoothed_frames,3,28.0,0.8319745950729952,0.6757552784353607,0.637202887223702,0.5671347694444172,0.4007155221682705,0.007187065421034706,0.009085147874717873,0.019489072300867227,0.023191270349925908,0.00971181439229065
animal_visual_only,attention,896,raw_windows,3,28.0,0.8319462840614813,0.6750274778035652,0.6421550400771098,0.5740707359620782,0.40453487892459133,0.01377723573446323,0.008324647818635228,0.01650987815674709,0.01180436264811808,0.01110433685915066
animal_visual_only,attention,896,smoothed_frames,3,28.0,0.8318840398943638,0.6749867358243878,0.6421130620230261,0.5738698655547195,0.40441406945528424,0.01377723573446323,0.008326030168642468,0.016516698991690806,0.011813123569466805,0.011114292229137143
animal_visual_only,lstm,256,raw_windows,3,28.0,0.8167496901581105,0.6377577662652786,0.6416841745965781,0.5575366814606771,0.37261648246655293,0.027876473495127722,0.023242540768954243,0.012279133177816464,0.02465295019694606,0.029528478366816116
animal_visual_only,lstm,256,smoothed_frames,3,28.0,0.816687445990993,0.6377158320339048,0.6415947848379792,0.55731668473619,0.3724952074288806,0.027876473495127736,0.023243033885975182,0.012290395250026238,0.024669177836950898,0.029536518461540085
animal_visual_only,lstm,512,raw_windows,3,28.0,0.8204099257348921,0.6335292820785642,0.6272001974316271,0.5501666757332694,0.37468924186792724,0.02456927652116613,0.017911635023913856,0.011564307380507706,0.012362819454175446,0.005269439912752545
animal_visual_only,lstm,512,smoothed_frames,3,28.0,0.8203476815677746,0.6334893731144322,0.6271657911277565,0.5499987093973197,0.37461691748979126,0.0245692765211661,0.017911842629947623,0.011572615549954457,0.012363632435079762,0.005280376934458965
animal_visual_only,lstm,896,raw_windows,3,28.0,0.8149076388991868,0.6358797679570206,0.6314916893055708,0.5454428123608318,0.37744880956160576,0.012857036028905165,0.026583185133964484,0.006878596866787037,0.022537784197818968,0.021425744552253455
animal_visual_only,lstm,896,smoothed_frames,3,28.0,0.8148453947320693,0.6358404610941354,0.631434701940799,0.5452568995227492,0.3773460712150049,0.012857036028905165,0.026583569265276306,0.006877477105907837,0.02255010576892058,0.02144133249615492
full,attention,256,raw_windows,3,28.0,0.8852884636098257,0.7518945479300493,0.7196079780242318,0.679780231513612,0.5376160998854309,0.008993145501323314,0.005652810375468319,0.014860708873290584,0.011132861162650248,0.009922767238570936
full,attention,256,smoothed_frames,3,28.0,0.8852262194427082,0.7518452477484304,0.7194812116694315,0.6795077242237585,0.5374371831280128,0.008993145501323331,0.005652305391326327,0.014845688082964515,0.011115664221527325,0.009891521173265886
full,attention,512,raw_windows,3,28.0,0.8785124584613137,0.7382026703420718,0.7084480196144876,0.6643139954523879,0.5159668216527082,0.0008056703158314747,0.005011773443568095,0.007156776834868027,0.009812235669598691,0.011258725350875078
full,attention,512,smoothed_frames,3,28.0,0.878450214294196,0.738155189449417,0.7082654329208967,0.6640247360368163,0.5157525257512617,0.0008056703158315327,0.005011123937037181,0.0072233247838302235,0.009787736879811701,0.011244898608547042
full,attention,896,raw_windows,3,28.0,0.8772232940857689,0.7431921892677967,0.7155015282037472,0.670794070441057,0.5199319403981572,0.006388754758474423,0.003098000891038627,0.004295384417350066,0.005614592891524487,0.013439148483257527
full,attention,896,smoothed_frames,3,28.0,0.8771610499186512,0.7431439288973868,0.7153229627640774,0.6705013869770339,0.5197317565264336,0.00638875475847436,0.0030973240531960286,0.004354688320817994,0.005591583419169534,0.013417296282575026
full,lstm,256,raw_windows,3,28.0,0.8851896802620535,0.7467011437789027,0.712781344188119,0.6724746933402092,0.5418104807432326,0.004211865065501884,0.005919640306850328,0.0069985682454128005,0.00210167705787766,0.00515953772917464
full,lstm,256,smoothed_frames,3,28.0,0.8851274360949359,0.7466517003077143,0.7126127958750051,0.6722245273898108,0.5416423011480057,0.004211865065501884,0.005920040350959065,0.00693286955731416,0.0020794648855443506,0.005156064004064117
